# c-balanced sequence
# n=101
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
14,37,78,91,55,18,39,84,53,33,77,34,41,66,20,93,70,11,25,89,30,64,69,85,31,73,52,32,54,76,98,27,68,62,28,26,51,94,16,88,36,101,8,86,90,58,40,23,46,75,67,21,45,7,59,96,80,2,56,57,74,10,65,97,63,9,15,79,3,48,5,92,83,50,44,19,12,38,100,43,99,87,13,6,49,29,24,17,81,4,60,72,47,82,95,35,61,42,22,71,1
15,101,47,54,52,95,3,42,89,75,49,97,83,63,29,32,26,35,46,60,92,87,80,12,36,48,4,86,77,13,5,1,50,6,55,34,20,61,21,2,18,24,73,31,19,43,71,82,94,91,93,65,22,99,58,33,9,90,27,70,72,100,11,7,45,51,98,17,81,41,39,38,68,10,85,76,53,30,44,23,84,59,88,78,28,69,79,25,14,62,66,56,57,8,37,64,16,40,67,74,96
16,82,88,27,21,8,66,4,28,62,100,38,72,56,59,30,43,50,78,71,7,70,86,74,6,29,44,57,23,96,65,2,83,60,85,10,79,81,67,80,84,49,22,40,9,75,92,11,69,98,55,5,73,37,35,14,52,25,12,26,17,68,20,89,34,46,61,93,99,64,24,42,77,97,51,47,90,63,54,18,95,101,76,32,1,45,53,39,41,87,91,94,58,13,3,33,19,15,36,31,48
17,46,76,94,81,1,67,97,79,58,90,15,98,45,31,74,48,8,54,33,13,68,40,71,59,69,14,93,61,9,62,42,92,53,91,41,19,96,23,63,3,95,77,30,57,51,47,25,56,99,18,78,10,87,83,36,49,44,39,60,4,64,28,66,85,80,86,50,22,82,43,101,16,11,72,84,37,21,26,27,7,5,29,35,12,34,20,75,88,6,73,52,89,32,38,24,65,100,2,70,55
18,85,34,25,51,12,48,43,10,24,36,26,3,55,73,99,72,28,84,9,5,41,65,49,95,22,19,78,20,39,38,101,11,35,1,32,7,82,74,64,27,70,44,100,37,87,15,79,29,45,66,31,89,13,2,16,6,98,33,53,97,52,92,40,62,91,76,88,83,23,60,58,94,75,71,46,61,59,14,4,21,69,8,47,67,96,50,56,63,57,68,77,42,80,90,93,17,54,30,86,81
19,90,50,35,93,30,86,77,83,64,88,53,87,80,6,67,17,65,68,23,61,45,4,57,75,60,91,63,16,56,21,37,8,13,33,58,2,47,76,12,46,52,72,85,97,39,14,96,84,27,54,42,100,41,1,43,24,38,94,51,95,31,101,69,81,36,89,73,20,59,32,70,29,34,55,9,98,7,25,48,15,22,82,10,40,74,44,49,18,3,71,26,28,11,62,92,78,66,5,79,99
20,81,40,69,32,92,73,29,70,2,46,6,31,37,44,47,52,42,14,93,66,101,98,100,11,96,25,10,7,82,80,64,28,94,99,88,68,22,15,24,48,61,26,78,5,89,76,16,38,34,59,86,90,74,62,71,77,75,55,18,63,30,8,17,50,3,65,57,49,35,67,54,19,53,56,79,39,97,33,36,1,51,41,95,87,58,83,21,27,23,13,43,45,85,72,12,9,91,84,4,60
21,33,44,58,82,13,49,75,41,1,91,99,39,5,34,94,79,62,96,18,53,38,56,27,45,43,55,97,51,47,63,12,3,73,4,57,83,87,59,95,50,66,17,71,29,35,67,19,36,70,26,9,60,92,32,85,81,72,54,86,88,84,23,14,37,25,2,48,16,6,30,15,78,80,100,42,8,40,28,101,90,74,11,61,68,31,93,98,46,69,64,24,10,20,77,89,22,7,76,65,52
22,74,89,59,100,68,36,7,95,40,71,9,23,11,85,84,61,16,15,3,10,76,60,81,72,20,77,31,69,90,24,26,79,18,30,78,67,54,49,98,86,43,55,42,25,8,33,4,52,28,101,46,6,64,80,65,45,32,91,93,48,44,56,58,38,96,5,13,27,21,14,47,87,12,2,99,62,1,94,19,57,70,66,17,37,88,73,92,82,51,63,97,83,29,75,50,34,39,41,53,35
23,98,41,87,14,78,11,64,50,37,42,54,12,88,8,51,27,32,21,97,83,47,89,91,28,35,34,13,58,70,92,15,95,29,66,71,53,39,101,17,99,90,62,79,65,69,1,48,93,7,20,94,63,76,61,72,82,57,10,19,40,22,43,4,68,77,33,46,74,84,75,85,55,45,52,73,3,5,31,24,96,6,67,26,60,30,100,80,86,9,44,38,36,2,49,81,56,59,16,18,25
