# c-balanced Latin square
# n=84
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
17,66,38,23,39,74,41,34,83,55,1,36,82,71,6,48,67,29,45,14,25,21,8,43,65,2,11,80,64,12,3,70,27,35,84,40,32,15,42,62,20,19,44,75,68,24,5,51,54,22,26,53,16,4,33,56,46,58,59,69,60,9,76,63,28,13,57,47,73,52,81,10,37,49,18,50,7,31,78,30,72,79,77,61
18,44,56,60,5,61,49,35,6,13,50,28,45,10,81,68,65,33,62,16,26,75,73,74,42,77,53,22,51,54,72,63,58,4,1,30,31,3,37,23,76,59,47,39,14,29,57,64,83,36,9,20,12,40,52,7,27,79,70,8,67,66,84,80,21,41,78,69,38,82,71,43,17,15,55,24,25,19,2,48,11,46,32,34
19,43,58,29,10,33,57,79,41,4,15,62,27,31,52,30,78,55,48,76,9,69,22,63,70,24,46,81,34,21,47,17,13,67,71,59,2,11,66,82,36,25,40,38,7,54,72,8,80,51,77,75,32,50,14,73,1,61,3,74,42,37,18,20,49,44,26,60,6,16,23,5,39,45,56,83,84,64,12,68,35,28,65,53
20,72,37,6,83,54,24,73,53,75,32,59,66,38,69,8,64,39,47,12,84,28,56,18,46,80,5,71,7,41,15,44,82,23,16,50,60,68,27,45,61,49,30,17,48,74,22,63,19,65,1,11,67,34,35,36,10,21,78,58,4,52,2,77,55,25,79,33,70,9,14,40,29,62,13,31,26,43,42,81,57,3,51,76
21,46,40,11,2,77,65,70,42,3,82,78,43,26,25,84,19,4,36,1,34,68,49,23,13,50,14,67,48,58,32,35,38,62,55,83,6,39,9,51,57,28,29,52,79,81,16,31,59,66,76,45,33,41,37,18,72,44,15,5,64,73,22,53,12,8,17,56,71,63,30,47,24,74,69,20,61,27,60,54,75,7,80,10
22,45,73,14,9,80,71,20,44,30,7,16,17,60,64,35,53,76,51,32,27,61,52,55,29,57,25,42,40,37,31,26,75,18,79,12,33,8,74,24,63,10,4,41,77,69,13,3,78,15,56,2,70,47,5,84,68,48,11,83,62,19,43,82,65,81,49,54,23,21,58,66,46,28,39,1,38,6,36,67,34,59,50,72
23,64,28,47,62,59,52,18,8,68,67,74,49,63,11,54,56,31,80,21,15,81,35,3,1,60,65,36,66,19,34,77,10,7,61,72,5,20,69,78,46,50,83,43,26,33,58,25,42,75,12,55,13,82,6,39,22,38,71,57,40,53,24,32,27,14,4,45,48,76,2,70,51,41,44,30,79,37,29,73,16,17,84,9
24,82,51,12,1,34,39,81,84,48,37,72,29,5,4,33,58,41,2,40,57,44,17,10,79,43,83,28,45,30,6,54,74,70,76,65,47,14,38,16,22,53,18,21,36,73,61,50,9,27,62,49,71,64,66,60,35,67,20,23,26,7,55,46,56,31,59,68,78,75,42,8,13,32,3,63,77,80,52,69,15,19,25,11
25,69,31,15,7,50,38,36,67,78,14,77,61,3,55,27,13,66,42,75,59,6,71,41,39,63,9,82,68,20,2,49,73,44,11,19,56,80,43,48,84,81,60,32,12,8,23,10,34,17,70,24,76,30,46,54,29,65,28,37,79,1,47,51,16,33,52,18,57,35,72,22,58,83,26,45,74,53,62,4,5,40,21,64
26,70,32,13,65,48,62,75,5,18,58,56,23,8,21,76,50,16,9,74,30,46,79,47,33,22,64,4,3,78,45,53,15,29,57,42,71,72,17,34,35,51,7,1,37,6,2,27,44,52,68,40,63,19,69,61,77,55,80,24,84,59,10,38,39,83,67,11,25,31,36,28,81,54,73,12,66,60,82,43,41,14,49,20
27,60,19,49,71,79,22,10,17,46,40,57,20,36,53,24,73,43,83,72,37,32,66,77,11,69,38,12,59,70,51,5,39,81,52,21,26,28,64,25,54,62,67,55,82,45,84,30,4,35,80,58,14,42,16,31,9,13,41,48,76,63,34,78,3,74,7,29,15,18,61,1,68,65,75,23,8,50,33,6,44,47,56,2
28,67,78,68,52,35,2,33,51,9,45,76,1,12,83,44,81,63,23,61,54,18,7,80,26,16,84,13,31,55,69,56,14,66,60,41,53,4,32,59,73,75,11,49,15,20,46,65,47,39,29,74,5,3,17,38,43,8,62,50,25,58,72,6,36,42,40,24,30,64,79,19,77,82,21,34,48,70,10,27,37,22,57,71
29,57,80,50,41,64,43,54,60,21,63,10,34,39,15,19,42,68,37,82,24,14,65,58,8,6,52,75,62,17,27,25,46,48,47,36,77,30,31,3,40,23,79,74,56,70,28,66,1,53,18,22,72,83,78,12,59,2,26,51,33,32,16,44,69,61,73,71,5,20,4,7,11,84,9,49,13,81,35,45,67,76,38,55
30,59,84,16,55,6,11,4,7,56,66,79,69,47,22,70,28,35,25,38,45,74,34,40,20,76,44,72,29,61,73,10,1,80,58,8,49,83,2,13,42,5,68,24,71,64,48,33,43,37,67,21,77,54,23,57,81,50,82,39,15,75,65,14,9,53,36,19,62,60,27,32,3,26,52,41,51,46,17,63,78,18,31,12
31,61,8,74,42,47,5,3,39,72,53,71,73,62,82,38,52,17,65,55,48,77,27,2,49,84,51,37,15,26,50,33,23,40,78,67,63,12,18,41,9,13,36,19,16,34,60,32,14,25,44,57,81,11,10,45,7,75,64,4,43,6,21,83,35,20,28,76,46,54,1,69,56,80,68,70,22,30,59,24,29,58,79,66
32,63,4,44,77,12,58,30,14,36,29,46,83,41,9,26,1,49,78,11,20,19,67,21,59,81,68,54,18,43,57,24,71,64,82,3,22,27,76,75,69,70,15,6,35,62,80,52,38,7,84,51,79,8,28,55,25,56,47,66,31,17,73,60,40,45,48,50,72,53,37,34,2,10,33,16,39,65,5,23,74,61,13,42
33,53,26,48,81,45,40,24,69,38,80,70,25,51,37,10,23,18,22,6,13,60,64,72,5,75,7,56,1,35,46,67,16,19,9,28,17,50,79,21,66,29,31,65,58,39,82,54,76,20,73,61,59,2,3,34,52,74,42,44,68,30,11,41,15,63,27,84,12,57,47,49,78,43,4,71,55,32,14,36,62,77,8,83
34,73,65,54,25,20,66,16,27,11,2,13,42,84,75,32,15,12,56,33,8,3,39,50,31,4,62,40,79,76,83,36,22,21,43,45,74,44,61,55,10,14,80,78,57,63,68,47,41,30,81,71,29,60,1,24,49,18,77,53,70,46,26,23,5,58,37,59,17,38,6,67,28,35,72,64,19,7,51,9,52,48,69,82
35,55,9,17,57,49,76,61,82,28,64,19,58,68,2,7,43,14,71,62,5,73,70,78,30,41,34,23,47,48,60,42,79,59,32,51,38,24,52,65,77,8,46,37,11,53,26,72,15,6,69,31,4,20,27,21,63,83,22,36,81,74,12,29,67,75,10,13,3,66,44,45,80,50,16,84,18,54,25,40,33,56,1,39
36,77,79,75,13,72,83,71,1,31,52,67,50,59,45,3,20,44,46,69,29,10,51,12,53,58,66,74,39,63,25,4,6,30,37,35,84,81,7,19,5,33,22,27,42,17,18,40,56,62,28,78,43,48,32,82,70,41,16,54,9,2,49,8,64,80,34,23,11,55,26,24,14,38,61,21,76,57,15,47,65,60,73,68
37,56,76,18,8,21,75,78,23,47,43,54,81,6,65,74,80,60,57,41,49,16,36,82,15,61,27,33,14,24,11,28,2,55,69,48,68,29,1,39,71,45,26,10,67,38,83,34,5,64,46,50,9,73,12,51,84,30,40,17,35,13,66,19,79,7,22,32,52,62,77,63,25,31,42,53,59,58,72,44,70,4,20,3
38,51,7,3,63,70,17,84,15,26,22,35,5,30,48,18,34,40,67,24,64,4,47,53,9,55,42,21,32,80,52,12,66,41,31,23,73,62,11,20,60,72,61,25,44,50,59,49,77,45,16,13,19,65,68,58,33,71,10,14,27,57,36,54,76,1,43,82,39,74,8,56,83,69,29,78,2,79,75,37,6,81,46,28
39,83,62,10,68,46,29,74,37,32,59,44,6,16,27,79,66,1,31,84,50,76,78,28,45,19,57,77,8,81,63,13,20,43,72,25,54,70,58,36,56,30,14,82,9,75,4,2,33,69,61,3,35,7,67,53,80,23,60,38,5,21,52,18,42,71,47,55,65,40,51,48,22,73,12,15,34,24,11,64,26,49,41,17
40,58,82,2,60,15,19,23,4,12,61,33,24,55,14,56,69,21,59,29,52,54,11,44,73,32,71,49,22,8,38,34,3,65,68,7,18,64,57,53,16,17,74,48,84,51,1,13,79,83,42,41,26,75,47,62,76,37,6,28,72,45,39,81,46,78,25,77,9,70,10,80,5,20,36,66,67,35,50,31,63,30,43,27
41,52,81,5,14,27,53,80,65,64,77,25,28,11,13,72,47,48,35,51,42,63,83,62,2,30,17,10,70,7,9,58,67,75,26,34,46,40,78,37,49,12,43,59,76,3,66,55,22,74,23,36,6,39,15,4,20,31,79,73,32,24,50,69,68,56,44,8,16,29,33,61,18,60,38,82,57,1,84,21,19,71,54,45
42,71,22,66,24,69,6,68,73,45,20,49,39,9,17,31,46,77,26,70,79,43,60,36,56,67,82,50,72,16,84,18,76,61,5,33,15,38,35,1,47,44,28,54,19,21,12,57,52,29,58,10,8,80,11,64,14,78,34,63,3,25,4,37,2,51,81,30,75,41,13,65,55,27,74,62,83,48,40,59,32,23,53,7
43,34,54,1,74,67,36,55,78,50,48,41,8,53,30,57,4,75,7,39,38,26,23,52,25,20,3,68,65,69,37,45,29,51,10,2,13,66,80,31,83,63,64,73,40,5,81,71,32,60,24,72,82,27,18,19,44,46,56,61,59,77,62,28,84,49,70,6,21,14,35,79,15,47,17,11,58,42,9,12,76,16,33,22
44,16,12,42,11,22,9,19,33,76,57,63,21,23,40,15,62,58,61,80,18,17,28,13,81,14,35,5,6,64,59,78,54,56,77,49,55,82,20,84,27,32,39,79,45,47,41,24,73,8,25,70,38,52,71,26,48,66,1,65,69,67,60,31,74,72,50,34,83,43,7,46,53,3,30,37,4,10,68,51,36,2,29,75
45,18,3,79,70,10,32,60,38,34,51,27,31,29,72,71,84,81,82,73,74,37,33,1,24,47,48,65,12,59,40,83,62,46,53,76,19,6,8,4,21,69,50,7,2,43,30,35,75,11,36,15,57,56,22,49,54,42,55,16,41,68,80,9,61,17,66,64,20,58,67,26,23,25,63,13,44,39,28,14,77,52,5,78
46,35,64,30,59,26,50,56,49,14,62,65,32,66,7,67,36,2,10,28,58,25,68,22,16,83,80,53,41,60,21,11,44,39,4,27,75,42,51,74,3,52,23,9,29,61,78,77,70,48,37,63,17,84,40,79,13,69,45,20,18,47,82,33,57,5,24,15,1,12,31,6,71,76,54,19,81,73,43,34,8,55,72,38
47,20,1,31,61,13,28,2,25,81,84,37,52,43,63,78,54,5,19,8,55,9,69,66,4,46,77,79,74,38,75,73,33,17,24,57,50,71,70,26,6,15,34,68,72,16,7,67,53,23,65,14,30,44,51,76,83,32,12,35,29,10,58,27,59,11,42,39,49,22,21,36,64,48,41,56,45,40,3,60,18,62,82,80
48,15,21,80,4,40,72,57,16,8,3,75,56,82,77,83,51,64,6,27,76,71,12,45,54,39,10,29,30,44,23,14,42,9,34,60,41,22,65,47,25,18,13,58,49,28,31,36,20,68,55,1,62,33,50,43,53,5,19,84,78,11,17,70,63,35,38,52,32,81,73,37,7,59,79,2,46,67,69,61,66,26,74,24
