# c-balanced sequence
# n=51
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
1,27,18,25,24,9,50,16,45,33,38,14,51,39,48,49,44,3,31,8,6,23,7,37,32,10,22,30,34,28,40,11,26,12,35,41,36,42,13,19,21,43,15,29,17,4,5,46,20,47,2
2,29,21,34,12,41,47,23,46,6,15,37,5,36,4,45,24,18,11,33,13,50,35,42,20,38,25,1,43,16,19,39,17,27,9,48,31,30,3,49,10,28,44,40,8,51,22,32,7,26,14
3,30,20,19,31,26,42,13,35,7,17,8,43,10,22,40,32,16,28,5,47,15,1,39,36,44,51,48,2,21,49,14,4,29,33,46,18,24,6,25,27,34,9,11,50,41,38,45,37,23,12
4,10,22,49,44,32,36,43,51,40,11,28,29,30,21,27,42,12,19,34,26,17,2,46,41,9,14,7,45,15,47,38,3,5,8,37,23,50,20,16,39,48,31,1,33,24,35,18,25,6,13
5,40,17,33,38,11,8,39,37,48,50,26,9,13,23,25,35,41,20,14,21,27,12,29,18,4,3,6,31,24,46,36,32,45,15,10,7,1,2,22,51,47,42,49,34,28,43,44,19,30,16
6,43,48,14,45,15,28,1,25,22,44,49,20,47,34,2,7,46,38,37,4,24,16,31,50,19,11,12,23,33,35,42,18,13,51,21,40,17,32,41,8,5,30,26,3,39,9,27,10,29,36
7,39,35,16,46,51,27,3,20,12,32,24,41,18,19,17,47,29,36,30,10,25,9,43,34,26,49,8,13,5,50,1,2,6,44,22,28,4,15,33,23,45,14,38,37,42,21,11,48,40,31
8,23,42,13,28,4,10,5,14,21,2,19,46,31,11,6,15,1,9,39,44,48,51,30,40,45,33,29,37,27,41,25,22,43,38,34,16,47,12,26,7,35,32,20,18,36,50,49,17,3,24
9,36,41,47,37,35,18,34,49,30,31,42,33,16,3,38,50,26,45,51,40,22,32,8,6,5,21,17,20,44,48,7,23,28,24,25,11,14,43,29,46,13,2,10,19,27,12,15,1,4,39
50,31,32,26,23,7,2,38,19,29,34,48,27,12,1,28,14,43,17,22,42,41,3,49,13,24,15,35,4,10,9,30,37,47,40,20,39,45,44,11,18,36,16,51,46,6,25,33,21,8,5
11,44,45,15,17,21,6,29,24,18,4,10,25,40,26,8,5,13,2,43,46,20,36,33,47,28,27,39,42,32,12,51,16,30,49,19,3,9,48,38,37,50,41,23,7,1,14,31,22,34,35
12,24,51,30,39,48,40,22,44,3,41,36,1,15,7,37,33,10,49,25,35,38,19,14,21,16,23,46,18,11,29,34,31,20,50,6,27,8,5,17,9,26,4,13,45,47,2,43,32,42,28
13,46,25,1,5,20,33,32,42,16,43,39,45,6,9,50,34,4,27,23,7,31,18,28,11,2,47,40,22,3,17,8,10,36,14,26,49,35,21,30,24,29,12,37,15,44,19,48,41,51,38
14,37,28,8,36,19,49,9,17,27,47,23,21,35,32,16,51,30,48,24,29,11,5,45,15,12,50,41,26,38,43,13,44,39,1,42,2,10,34,4,31,6,3,25,22,20,40,7,18,33,46
15,34,38,3,50,22,14,31,10,26,13,35,11,2,20,12,36,21,42,18,9,39,4,44,48,43,37,32,19,25,6,45,33,46,7,29,51,41,27,47,1,40,24,5,16,23,8,28,30,49,17
16,33,47,29,6,43,46,7,4,8,25,18,3,28,24,30,23,22,44,41,1,49,40,10,27,17,31,5,51,14,26,20,15,48,2,32,12,19,37,35,42,38,39,36,21,11,34,13,45,50,9
19,51,49,27,2,30,12,11,41,5,1,40,44,17,42,13,39,37,47,32,45,28,34,26,35,46,20,38,7,8,23,24,9,21,18,4,50,33,31,36,14,25,22,6,48,29,10,3,16,43,15
18,48,37,10,41,29,45,21,2,24,9,22,50,38,14,31,20,8,7,15,3,33,6,25,51,42,13,16,36,1,4,28,49,19,34,5,43,46,39,40,12,11,17,35,32,30,26,47,23,44,27
20,35,4,43,40,23,17,26,15,39,36,12,32,27,33,46,48,5,6,16,19,37,8,38,22,29,34,10,47,30,31,21,50,11,3,45,13,25,7,28,44,2,18,14,24,49,42,9,51,1,41
26,38,7,11,42,13,25,30,47,28,45,6,34,49,44,29,19,51,40,50,2,14,21,17,3,1,36,24,9,39,18,27,35,41,16,43,15,22,23,10,32,33,8,48,12,31,46,4,5,37,20
21,32,9,5,1,3,34,48,50,31,46,16,4,8,51,41,10,25,35,38,12,43,30,24,23,14,18,33,49,6,37,22,40,42,17,47,44,26,28,45,15,20,7,27,2,13,39,36,29,11,19
22,42,31,24,33,39,44,20,36,23,14,47,19,37,45,18,9,49,15,17,11,46,13,27,4,7,48,28,50,12,2,5,41,25,32,30,38,29,8,1,3,51,21,43,40,26,16,6,34,35,10
28,41,6,12,10,8,1,18,27,32,51,30,7,26,5,43,11,40,21,31,34,16,29,15,2,39,35,45,3,42,44,19,48,24,23,13,37,36,49,20,17,4,46,47,9,25,33,50,14,38,22
17,49,50,40,4,16,37,15,13,38,35,29,2,46,43,22,3,27,23,10,48,12,26,20,9,25,8,44,41,36,51,33,47,1,11,14,24,6,18,5,34,30,19,28,31,45,32,42,39,7,21
25,45,44,2,14,34,24,35,11,19,20,33,42,23,13,39,29,6,4,28,36,5,47,22,1,30,32,26,21,40,7,43,46,10,31,17,9,38,51,48,16,49,27,50,41,15,37,8,3,12,18
27,47,46,21,9,36,5,51,33,43,37,3,31,48,15,7,26,14,50,1,32,18,42,41,19,49,28,4,17,35,16,29,12,38,22,8,20,34,11,39,13,23,45,44,30,10,6,2,40,24,25
23,22,16,51,18,49,3,40,8,2,7,25,39,41,10,24,38,36,12,20,30,13,44,11,45,31,6,47,15,46,32,9,34,37,28,27,1,21,14,50,43,19,33,42,5,35,17,29,26,48,4
30,26,39,35,32,28,19,12,6,9,10,21,17,50,25,1,18,34,41,47,49,45,43,48,5,37,24,42,14,29,13,15,8,51,4,40,33,16,46,7,2,22,36,3,27,38,20,23,11,31,44
29,15,11,20,7,31,38,17,48,42,16,45,22,14,30,4,37,44,46,9,8,19,23,6,33,50,40,2,27,34,10,3,39,26,36,35,5,12,25,24,41,32,49,21,43,18,51,1,28,13,47
34,8,36,38,48,44,43,4,29,1,27,13,12,5,47,33,28,35,24,2,31,21,20,3,7,51,39,18,11,22,25,50,30,49,19,23,26,32,42,9,6,37,10,17,14,16,41,40,15,46,45
43,3,13,6,26,37,41,50,28,46,5,15,24,32,49,21,17,42,39,40,51,4,25,34,16,27,10,9,1,23,20,18,14,7,45,2,35,44,29,31,11,12,47,22,38,48,30,19,33,36,8
10,19,2,45,47,25,20,14,23,41,40,11,18,44,16,35,8,32,33,27,22,29,50,36,46,13,12,15,38,37,3,17,6,31,42,39,48,51,30,21,26,1,28,34,4,7,24,5,43,9,49
33,1,24,9,22,46,30,42,21,34,49,7,38,51,36,11,31,45,16,26,14,44,10,32,17,23,43,19,8,48,28,41,5,4,29,15,47,3,40,37,50,18,25,39,35,12,13,20,27,2,6
40,18,12,42,51,27,31,47,39,49,26,4,28,29,6,19,22,48,13,3,17,35,37,7,8,21,30,36,5,20,11,2,24,16,25,33,10,43,45,15,38,46,23,9,44,14,1,41,50,32,34
36,14,5,50,15,17,32,10,12,37,30,34,23,9,40,20,2,39,43,7,33,1,24,47,38,35,41,25,48,31,45,46,27,44,21,18,6,49,4,13,19,16,29,8,11,3,28,51,42,22,26
48,16,19,4,25,5,35,45,18,44,6,1,8,21,41,9,46,23,3,29,38,51,28,2,42,11,26,43,30,49,22,32,13,14,12,50,34,31,36,27,40,7,20,15,39,33,47,10,24,17,37
