# c-balanced Latin square
# n=61
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
23,41,4,49,60,50,3,59,30,32,17,34,48,28,11,33,18,56,58,29,44,16,43,37,40,10,54,1,45,19,15,21,13,5,61,36,26,9,24,35,55,25,6,46,57,20,27,53,12,7,51,52,38,14,2,39,8,22,47,42,31
24,55,5,39,57,14,61,35,6,27,7,53,8,12,31,4,26,52,60,9,18,45,54,46,21,16,38,22,3,49,51,17,25,42,50,47,41,37,29,30,10,11,2,13,48,56,59,19,32,58,33,23,40,43,34,28,44,20,1,36,15
25,51,59,10,44,36,9,56,48,37,11,14,2,52,58,19,43,28,13,23,47,20,8,30,22,29,15,18,32,42,6,40,27,34,39,35,1,7,55,12,60,5,24,31,17,50,38,45,57,33,46,26,54,16,4,3,61,41,53,21,49
26,40,58,42,5,34,15,21,29,45,31,36,54,22,35,3,10,55,38,6,17,49,50,1,51,24,2,33,4,47,61,48,41,59,16,53,57,46,23,20,39,19,56,8,32,37,28,43,18,44,30,11,27,7,9,60,52,14,13,12,25
27,37,60,53,12,16,25,13,18,50,46,39,1,40,30,32,41,20,11,57,14,23,31,42,61,45,28,55,44,56,8,9,38,7,10,52,4,54,51,15,43,21,26,33,36,3,34,49,17,22,59,35,6,58,47,2,5,19,29,24,48
28,48,61,32,4,33,20,19,56,22,47,44,43,21,38,2,9,35,54,24,34,7,30,5,36,49,13,12,60,59,17,14,26,11,29,1,3,31,6,58,57,42,40,27,18,52,25,41,45,39,16,55,15,51,53,50,10,37,46,8,23
29,52,15,57,55,6,37,23,16,49,26,24,39,51,17,42,8,59,7,41,3,33,53,25,18,34,50,48,14,58,43,10,36,46,60,19,20,45,22,27,35,47,61,9,11,44,54,5,2,13,21,1,12,30,31,38,32,28,40,56,4
30,1,43,47,3,11,38,46,54,8,28,10,5,45,55,53,19,36,16,12,21,27,37,35,58,52,56,9,40,15,31,29,2,50,44,23,13,33,32,49,4,48,41,60,39,7,51,26,24,20,25,18,22,59,61,6,42,34,57,17,14
31,57,9,51,17,2,7,18,41,61,13,6,14,58,34,60,22,46,50,44,4,56,39,40,33,26,20,32,27,25,24,30,49,28,12,8,37,3,38,36,53,59,23,43,42,11,16,21,52,15,19,10,5,47,29,48,55,1,54,35,45
32,49,42,59,23,60,40,44,12,4,45,38,35,29,56,15,25,1,52,10,48,11,5,2,26,47,41,61,19,6,21,16,54,51,30,39,34,17,28,18,7,22,3,55,46,24,31,14,37,8,53,50,57,9,13,27,43,36,20,58,33
33,19,50,21,8,27,58,47,36,3,53,25,20,17,24,48,29,31,12,39,51,28,15,13,23,54,42,43,55,57,46,37,45,38,9,16,59,22,14,2,5,34,52,30,1,6,10,32,35,40,49,61,41,56,7,4,26,44,60,11,18
34,22,14,13,18,43,24,52,10,20,59,56,21,26,44,54,61,37,32,5,6,58,27,17,9,19,1,31,11,41,7,53,35,4,33,55,47,57,15,40,25,28,29,12,49,38,8,36,60,46,2,48,23,45,30,42,39,3,16,51,50
2,11,39,41,35,15,45,5,55,48,52,30,42,16,49,18,23,7,28,14,46,38,36,51,57,8,37,53,22,60,50,3,47,24,40,6,56,61,21,26,54,44,33,1,13,29,58,4,10,9,20,32,43,19,59,25,31,17,34,27,12
36,26,16,46,6,1,32,30,27,31,19,7,60,9,4,57,40,8,33,43,2,61,29,3,25,21,59,20,34,39,12,45,11,13,18,10,48,14,42,41,50,17,38,58,15,51,55,35,56,28,47,24,44,54,52,23,53,49,37,22,5
56,28,53,25,54,9,22,12,34,51,24,1,37,3,50,5,45,13,42,47,59,60,10,4,55,44,30,17,16,35,48,49,23,32,58,15,46,43,8,52,19,14,31,57,20,61,21,18,29,27,26,39,36,33,11,40,6,7,2,41,38
35,10,7,54,11,40,39,17,14,23,58,43,61,47,33,41,57,38,49,26,55,19,52,31,50,60,6,24,29,51,18,44,1,27,5,20,2,32,36,25,45,56,16,59,4,22,53,42,3,12,37,34,13,28,48,46,15,8,30,9,21
38,8,20,37,46,48,4,29,33,53,44,41,23,13,27,11,21,34,15,3,35,22,12,18,32,56,10,49,5,2,52,36,59,43,42,26,40,28,30,50,9,51,60,39,45,47,7,17,6,25,14,31,58,1,55,54,16,57,19,61,24
45,17,18,61,49,31,51,15,50,2,42,55,25,59,6,40,36,16,20,30,1,8,24,14,48,28,7,4,39,26,9,54,19,57,21,41,58,34,44,53,46,10,37,35,43,12,33,27,23,38,11,22,52,5,60,32,56,13,3,29,47
52,3,12,24,29,47,19,57,21,5,32,60,22,36,28,43,37,58,27,54,9,53,34,11,45,35,46,13,23,38,33,20,56,31,55,25,7,4,16,1,48,6,8,49,61,40,50,30,15,17,41,42,18,2,51,14,59,26,39,44,10
44,6,38,30,13,58,42,1,59,9,39,15,26,46,51,14,2,47,56,31,22,10,41,57,16,40,52,36,25,27,3,8,53,61,17,29,54,60,11,24,12,32,20,18,19,48,23,34,50,5,7,4,35,37,21,49,33,43,45,55,28
48,7,33,60,56,8,55,10,44,28,4,18,16,50,61,30,20,25,45,17,32,51,49,43,39,15,5,21,37,12,42,6,34,14,22,24,35,19,31,23,27,41,13,2,52,26,47,54,11,59,9,46,3,29,1,57,36,58,38,40,53
40,14,34,5,41,52,27,26,35,43,49,57,33,11,12,1,48,53,19,18,23,13,7,58,46,38,29,54,9,28,59,61,4,15,47,50,51,56,37,39,3,55,30,36,21,2,22,24,44,16,60,45,10,17,25,8,20,31,6,32,42
50,9,36,23,59,29,21,25,37,17,16,54,6,31,32,39,55,26,24,61,40,3,42,20,11,2,53,44,47,8,30,58,22,60,46,49,45,27,33,10,13,7,15,38,5,28,19,57,14,51,1,43,56,41,18,34,12,48,52,4,35
53,16,31,4,2,28,41,22,51,7,34,3,19,56,52,38,35,42,59,60,45,21,33,47,30,48,12,14,57,37,10,43,55,39,1,32,5,25,18,6,11,58,17,29,8,9,44,40,20,61,36,13,26,50,49,24,54,23,27,15,46
43,27,45,58,47,61,13,11,24,46,40,20,12,8,23,10,15,5,29,50,49,54,4,26,6,17,32,41,1,18,19,2,52,44,7,3,36,38,35,21,16,57,42,14,37,34,56,31,55,30,48,28,9,53,39,33,60,25,22,59,51
39,18,22,55,15,3,14,38,49,60,35,9,27,30,37,13,51,17,44,8,28,36,1,56,59,50,25,34,33,24,26,31,48,23,52,57,42,29,54,43,47,40,45,10,53,41,46,11,58,4,6,5,20,32,12,19,7,21,61,2,16
1,20,19,31,21,25,36,48,32,54,10,46,53,57,2,7,4,60,6,34,41,44,16,15,29,61,23,35,42,45,56,13,5,26,11,38,17,59,12,51,22,49,9,28,24,18,3,8,33,43,55,37,39,27,58,47,14,40,50,52,30
57,30,32,33,42,37,5,2,11,6,50,47,52,18,14,58,24,39,48,46,12,43,9,22,27,3,55,28,7,31,40,51,21,41,4,60,8,20,19,61,44,26,53,34,54,1,45,59,16,56,35,25,49,15,36,13,38,29,10,23,17
51,12,49,26,43,44,56,28,45,29,8,61,34,55,36,59,17,54,40,35,52,37,6,19,53,4,16,38,58,20,14,15,33,10,2,13,9,50,48,57,30,23,5,32,25,27,39,60,7,42,3,21,47,24,22,41,11,46,18,31,1
42,24,10,9,20,17,59,7,58,38,23,5,13,41,21,29,56,30,1,25,11,57,55,60,49,31,22,40,46,36,34,27,32,16,53,28,18,39,47,3,33,43,4,6,50,14,52,12,51,54,15,2,48,8,26,61,35,45,44,37,19
47,15,35,40,16,26,50,8,13,1,22,48,4,39,3,45,33,14,21,19,27,18,2,61,10,42,11,51,43,54,25,41,17,6,59,37,30,24,7,55,31,52,46,44,23,58,32,38,49,36,29,12,60,57,20,5,9,53,28,34,56
54,23,3,34,53,12,46,60,19,57,27,2,24,7,25,44,31,18,9,58,15,14,32,38,52,5,39,45,30,29,1,28,50,8,56,61,22,16,49,42,20,35,48,26,59,36,13,37,47,21,10,40,11,4,43,17,51,55,41,33,6
59,4,6,52,39,32,49,53,61,41,56,11,44,10,20,46,28,43,51,37,33,50,17,23,13,36,47,26,48,21,35,60,12,58,45,14,55,2,5,34,29,1,25,22,40,57,15,9,19,31,27,38,30,42,3,16,18,24,8,54,7
55,25,8,28,36,30,34,31,42,18,37,29,38,48,54,26,12,41,22,16,5,47,35,21,7,20,57,3,10,53,11,24,9,40,19,27,6,52,46,4,15,39,50,51,60,17,43,61,1,45,58,33,14,23,44,56,2,59,32,49,13
58,21,17,1,22,51,33,43,47,15,14,45,40,5,19,16,27,32,55,36,56,30,59,8,24,9,60,2,6,44,23,39,18,37,49,12,11,41,13,28,38,61,54,3,31,10,4,46,26,52,57,53,7,34,35,29,50,42,25,48,20
60,13,11,14,7,57,35,40,3,25,33,51,49,1,53,9,50,23,4,38,20,48,45,34,12,43,18,15,52,61,16,46,42,29,54,31,44,10,58,17,59,36,21,41,56,30,6,2,22,24,32,8,19,55,28,37,27,47,5,26,39
41,29,2,48,19,24,54,9,52,26,36,31,28,43,22,47,6,61,10,13,42,39,46,44,37,51,58,8,50,4,55,57,3,20,35,33,15,1,45,56,32,18,27,7,16,49,5,25,53,34,23,17,59,38,40,21,30,12,14,60,11
46,5,44,27,38,10,16,6,20,55,21,59,32,15,42,8,49,3,57,7,24,26,40,28,41,14,19,56,17,13,22,47,30,25,34,51,23,53,9,60,37,2,12,11,33,35,29,48,39,18,50,54,61,31,45,52,1,4,58,43,36
37,61,56,50,45,18,23,4,39,30,12,17,58,35,60,34,52,11,2,53,29,31,25,54,1,33,27,59,49,32,5,38,7,36,48,43,21,26,40,14,8,24,19,47,55,42,20,28,13,41,44,51,16,46,6,10,22,15,9,57,3
