# c-balanced Latin square
# n=91
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
16,84,73,60,72,55,48,30,32,46,80,12,24,77,64,23,71,86,27,58,39,76,88,4,20,5,25,2,13,36,11,42,83,33,78,40,82,61,56,85,15,29,62,89,65,37,8,67,70,28,10,3,6,41,31,57,1,90,19,9,63,43,7,81,69,51,91,18,38,50,22,21,87,66,79,74,45,17,75,14,34,44,49,52,35,59,54,47,53,26,68
17,85,59,31,88,69,56,7,65,21,1,57,3,44,62,43,91,53,13,33,22,42,70,66,54,78,45,61,75,41,52,18,81,73,89,34,10,51,5,49,26,38,47,12,14,87,30,68,11,64,63,80,74,35,71,58,60,29,72,36,32,4,48,86,27,79,15,16,77,25,39,6,8,37,28,23,55,19,83,50,76,20,90,40,82,9,46,24,67,84,2
18,54,83,45,81,40,6,23,8,38,60,37,2,76,39,55,10,15,25,67,29,26,24,9,85,46,16,4,80,28,44,27,48,50,47,35,19,66,30,68,84,7,75,74,72,86,91,12,21,82,90,79,62,49,53,20,70,14,5,87,77,88,89,31,65,17,36,41,56,73,33,51,3,43,64,59,34,52,61,78,42,63,22,32,1,71,13,57,69,58,11
19,68,41,43,51,78,64,79,58,28,36,5,47,14,71,31,30,52,35,87,73,49,90,34,2,86,84,82,72,83,9,69,63,46,53,77,59,65,3,39,50,17,20,76,29,13,56,22,1,16,8,33,32,38,67,11,23,24,10,7,61,40,25,18,12,37,42,57,4,26,60,74,75,44,91,66,85,62,27,15,70,48,6,89,54,45,21,81,88,80,55
20,62,34,35,11,75,80,77,13,33,72,27,67,88,4,63,32,66,37,12,61,21,89,45,42,56,74,79,51,22,70,29,91,55,23,3,1,60,58,6,25,73,43,64,15,57,54,44,26,40,9,76,17,81,48,84,83,78,47,59,28,24,52,46,14,49,2,85,39,5,30,69,71,82,86,31,68,50,53,36,16,87,18,38,65,8,7,10,90,19,41
21,87,74,18,76,71,26,38,16,90,25,49,19,89,7,65,82,78,57,5,48,50,11,10,17,69,31,64,1,40,81,68,32,86,15,75,14,52,8,24,2,28,36,63,27,42,85,59,53,61,39,46,13,80,91,88,79,43,30,34,55,41,33,60,66,6,20,62,58,54,45,35,84,9,70,56,47,29,22,4,73,77,67,37,23,44,51,83,12,72,3
22,66,39,3,15,67,70,44,50,52,30,86,87,56,82,9,59,83,47,81,24,62,6,53,91,7,58,12,8,57,65,33,84,19,45,85,20,36,16,88,55,41,77,69,4,60,48,90,31,23,25,72,34,51,54,75,18,73,37,68,42,71,32,74,35,38,76,64,21,78,14,29,40,10,5,63,11,26,13,80,43,2,46,79,28,61,17,49,1,89,27
23,61,42,2,8,32,63,69,53,29,73,84,55,79,10,70,80,20,46,40,59,17,51,28,14,41,13,60,35,4,37,54,62,6,38,43,71,44,18,57,21,9,78,82,58,5,11,49,52,66,89,19,65,45,77,27,15,85,26,3,50,39,67,1,88,90,87,47,22,34,68,83,33,12,81,72,76,64,24,48,86,74,31,7,36,16,75,25,56,91,30
24,46,43,12,47,5,65,75,48,54,91,13,81,45,85,90,1,28,36,89,77,34,68,22,27,33,72,73,49,88,26,78,39,25,80,7,67,76,10,87,83,31,53,40,30,70,2,71,3,74,4,38,64,69,44,37,86,8,11,6,82,16,56,79,57,29,19,23,63,52,62,17,20,61,18,51,41,59,58,55,21,35,9,84,15,66,50,14,32,42,60
25,4,37,9,91,86,58,41,31,6,11,34,33,68,24,51,16,64,19,84,60,43,1,15,18,30,20,76,52,67,23,66,3,79,59,74,56,27,71,17,46,89,32,61,81,62,21,35,54,47,42,29,75,83,55,14,2,12,63,45,48,22,50,73,72,26,70,10,13,53,82,36,28,7,88,44,49,80,65,77,90,39,8,69,78,85,87,40,5,38,57
26,57,77,14,49,36,74,39,64,7,2,78,17,40,48,3,35,23,42,88,72,55,8,83,38,63,75,21,44,87,61,56,82,29,51,41,28,90,86,79,69,12,50,45,80,22,73,5,10,46,84,18,85,68,1,16,25,31,65,13,19,81,58,43,53,59,9,27,32,15,66,37,60,89,20,62,91,67,34,71,6,33,76,47,30,52,11,70,24,54,4
27,60,72,58,56,44,62,59,40,85,53,76,71,61,69,38,36,54,18,52,74,32,12,26,6,66,50,89,47,10,5,55,16,90,2,37,70,22,42,13,11,35,65,41,33,49,34,20,57,88,15,77,7,30,78,21,87,67,9,17,91,23,8,80,75,31,28,24,48,83,84,4,79,51,3,14,39,46,81,63,25,1,45,68,19,86,82,43,64,29,73
28,45,65,21,82,79,83,22,73,15,16,88,20,9,84,50,11,8,29,56,25,31,80,3,70,67,48,39,19,59,63,46,30,24,1,4,32,64,81,51,75,34,14,54,66,68,72,52,43,91,6,87,55,36,60,40,89,7,41,49,62,86,5,78,33,47,44,71,76,74,61,90,42,85,77,12,57,38,10,17,18,27,69,53,13,37,58,26,2,23,35
29,1,35,85,38,7,81,66,10,37,18,68,62,50,12,15,87,33,91,44,13,4,71,47,90,43,77,57,9,34,17,14,60,42,84,58,49,53,26,31,78,67,19,86,23,83,76,16,51,24,27,45,63,22,61,73,56,64,69,39,46,70,82,11,89,52,55,40,30,41,72,80,2,6,8,25,21,5,54,20,75,32,88,59,3,48,65,79,74,28,36
30,63,70,6,80,52,17,51,19,27,55,89,39,41,5,21,4,75,73,2,57,79,64,78,11,65,14,86,24,76,91,36,23,85,13,61,54,88,72,38,47,74,48,8,3,25,26,37,58,44,32,82,9,59,66,28,71,20,35,81,90,84,77,29,45,68,69,50,7,18,56,49,46,16,53,67,1,42,40,87,83,10,43,34,12,60,33,22,31,15,62
31,72,10,54,90,30,46,67,80,20,23,22,82,42,32,83,34,40,86,76,7,16,60,49,81,53,27,37,45,69,71,25,15,68,87,73,5,62,48,33,77,91,1,59,56,6,18,28,79,29,13,50,43,70,47,8,52,3,74,4,57,2,12,21,36,64,38,58,19,35,75,41,88,65,78,26,24,14,84,11,89,17,44,66,55,51,61,85,63,39,9
32,77,19,78,48,60,8,3,74,88,47,66,26,75,58,53,25,41,14,69,9,28,61,46,87,36,35,55,83,18,62,43,11,64,21,12,89,40,63,29,5,82,15,7,44,84,31,17,39,80,65,2,90,20,34,38,33,76,1,51,30,85,10,54,42,24,22,67,23,59,79,73,70,13,68,6,86,27,16,37,56,57,4,91,81,50,45,52,72,49,71
33,71,57,52,44,1,42,89,43,68,24,28,69,65,6,49,13,51,45,62,37,59,58,23,84,85,29,88,74,38,48,50,2,35,20,22,9,39,46,90,4,70,27,79,36,12,10,40,63,67,11,41,56,72,86,81,53,26,18,14,75,83,66,17,34,16,61,25,60,91,3,54,31,87,55,7,32,15,21,82,19,5,30,64,80,73,8,78,76,47,77
34,67,63,5,64,14,76,84,56,12,87,25,45,91,2,61,26,81,82,54,70,80,39,86,75,73,17,40,3,79,7,31,51,10,8,52,47,16,50,66,60,6,30,42,24,55,19,85,89,33,78,28,57,21,58,4,46,36,32,44,37,15,9,71,49,62,77,13,43,65,48,1,27,35,11,90,69,74,29,23,22,68,38,72,41,88,83,20,59,18,53
35,50,16,79,13,49,11,21,4,86,20,29,59,43,18,77,72,55,10,38,90,30,27,19,8,22,32,78,15,66,1,28,65,41,82,57,53,24,83,23,37,68,81,71,75,88,60,64,73,48,62,69,5,7,74,12,17,51,54,40,58,87,61,47,91,84,39,80,45,85,2,9,76,36,34,52,33,63,42,3,31,89,26,70,46,14,25,56,6,67,44
36,59,84,53,73,3,9,71,47,61,15,83,44,70,46,22,17,63,85,49,64,68,77,56,31,21,91,41,26,54,72,58,89,18,67,33,11,34,45,52,32,39,80,87,2,74,1,69,8,38,14,35,42,76,25,29,10,13,6,24,27,20,88,4,78,65,82,5,28,57,55,66,19,23,50,43,79,60,30,12,51,75,7,81,90,40,62,16,48,86,37
37,69,7,55,33,24,40,78,6,41,48,51,4,31,90,60,57,17,1,42,65,88,20,52,74,82,62,43,81,5,80,12,9,27,26,36,30,91,13,76,56,25,72,85,77,46,14,50,75,83,86,16,53,3,23,15,19,68,70,38,89,79,35,59,11,18,63,73,44,29,8,67,47,22,49,71,58,87,45,28,61,64,54,2,10,39,84,34,66,21,32
38,13,23,89,12,29,87,27,18,5,32,75,11,54,35,28,74,76,39,3,14,66,47,67,10,79,2,25,16,42,8,73,70,34,71,44,78,85,55,7,19,40,21,51,62,90,65,45,61,22,60,37,49,48,6,82,84,59,50,43,72,31,63,52,30,83,56,15,81,64,77,26,86,46,24,17,53,36,88,1,41,4,58,9,20,91,57,80,68,69,33
39,88,68,86,58,66,2,46,45,30,62,52,34,81,19,56,37,16,24,15,91,63,50,44,7,59,23,36,6,33,77,22,53,76,83,31,69,17,84,61,43,49,3,20,57,67,4,18,9,71,41,64,47,26,32,80,5,87,55,90,25,60,28,51,48,1,75,54,70,12,21,89,82,38,40,78,73,10,8,72,14,85,11,29,42,79,74,35,13,27,65
40,75,64,90,2,61,57,85,82,36,26,79,74,8,80,1,60,67,48,53,58,33,72,89,65,34,51,44,38,70,30,20,45,4,63,29,21,6,14,42,9,88,10,28,13,35,43,87,91,68,23,12,54,31,27,39,78,11,66,73,56,7,69,41,37,22,3,46,86,16,32,25,81,83,84,18,59,47,76,62,49,52,24,71,17,15,77,55,19,5,50
41,81,22,91,9,25,55,54,83,14,65,50,72,5,73,84,27,46,87,21,11,78,29,69,13,4,71,19,18,37,32,57,49,66,86,28,48,68,80,35,1,64,58,17,47,26,15,7,36,59,52,30,10,24,88,77,63,79,61,16,53,8,62,40,76,20,85,6,33,51,34,42,43,74,45,39,2,56,70,44,3,60,82,31,67,75,23,89,38,12,90
42,70,8,62,16,51,23,31,38,49,17,21,10,12,3,52,47,89,20,43,71,6,85,54,24,76,1,68,11,64,75,90,5,61,56,60,77,25,59,73,65,44,86,34,84,39,53,82,66,79,19,81,58,67,2,50,91,22,45,29,33,80,55,14,32,74,72,36,88,37,40,27,30,15,48,4,35,9,57,18,69,78,13,63,83,26,28,46,41,7,87
43,83,26,56,28,76,53,32,33,77,31,67,78,37,63,86,7,79,59,22,30,41,45,40,48,12,80,15,84,35,46,39,47,88,81,82,3,74,75,69,54,57,18,16,51,38,27,70,55,20,72,34,89,44,62,49,9,17,42,21,2,64,19,13,60,23,68,4,11,90,87,10,91,14,52,50,5,66,71,85,65,25,29,73,6,24,36,8,58,1,61
44,73,82,15,4,87,69,19,90,34,13,60,36,57,14,66,77,68,88,61,18,23,35,42,9,62,55,28,58,85,27,67,24,89,10,79,72,50,2,41,8,33,63,29,5,52,32,11,56,6,76,74,1,40,75,83,30,37,12,71,86,46,65,26,25,81,53,21,78,17,38,20,7,39,31,64,22,48,80,59,91,84,70,16,49,43,47,54,3,51,45
48,74,20,11,7,6,45,18,25,24,81,35,64,27,38,29,70,58,8,50,4,51,36,39,83,16,21,26,31,56,14,52,13,40,17,54,91,87,49,12,22,59,73,37,46,89,78,47,80,90,3,85,71,15,65,66,43,23,44,41,84,61,1,68,5,67,10,79,9,75,69,53,57,62,63,19,28,2,55,88,32,34,33,77,60,30,86,72,42,76,82
46,65,80,17,10,47,39,63,71,72,59,1,30,85,53,25,75,91,2,9,55,84,82,5,49,3,61,29,87,32,69,86,19,78,88,62,23,43,15,27,66,24,67,60,83,76,41,77,81,42,45,36,70,33,13,18,14,56,34,28,52,48,54,38,6,57,8,7,12,31,50,44,74,58,16,73,89,51,20,90,26,40,37,35,21,22,68,11,4,79,64
47,89,3,34,50,68,1,57,91,9,54,33,43,7,16,74,78,32,12,26,44,73,28,2,37,60,52,46,90,65,40,11,6,75,79,38,64,63,4,58,20,62,31,55,22,8,59,30,48,25,21,5,87,19,51,45,82,69,77,88,49,76,18,70,85,86,35,42,66,84,71,24,80,72,41,29,83,61,36,13,39,67,15,23,14,81,27,53,10,56,17
66,79,76,41,84,22,88,15,51,23,8,40,56,87,67,69,42,71,5,80,86,10,19,81,68,45,64,20,60,48,50,83,74,72,7,14,18,70,29,3,36,13,26,53,85,21,33,65,24,31,17,61,39,91,4,35,16,1,57,32,38,9,73,34,90,58,27,77,89,49,46,11,52,59,37,82,75,54,43,6,12,47,28,55,25,62,2,44,30,63,78
61,24,27,77,21,20,37,28,86,58,42,63,52,13,49,44,62,6,41,83,76,70,32,38,57,17,34,30,82,53,43,84,59,16,55,51,35,81,25,45,89,71,90,23,11,9,12,54,29,2,40,73,69,14,46,10,36,72,67,75,26,78,74,3,15,39,31,91,47,8,4,22,64,33,56,80,60,68,19,65,79,7,1,50,5,87,48,66,85,88,18
49,30,5,19,36,72,12,35,85,11,70,10,22,55,88,64,65,18,56,31,89,75,53,14,25,90,66,13,73,2,33,21,76,77,37,15,39,1,38,78,28,80,7,4,79,91,68,86,82,27,50,51,26,57,8,42,24,60,48,54,47,6,83,44,29,63,43,87,67,62,58,3,61,69,17,45,23,40,9,81,74,46,20,41,71,32,52,59,84,34,16
52,29,78,67,59,26,14,48,60,17,3,39,6,4,23,45,79,90,43,72,40,9,69,11,33,47,54,8,22,80,41,74,85,71,44,19,42,46,12,30,16,10,61,32,87,56,25,63,34,1,88,62,38,84,64,55,31,58,68,53,20,27,81,50,7,82,51,28,73,2,13,5,18,21,65,91,15,37,77,35,66,83,86,76,57,36,70,75,89,24,49
91,18,51,73,71,80,75,16,61,2,46,38,84,62,21,82,83,34,31,27,66,36,15,1,63,77,56,24,86,81,4,7,87,39,68,65,58,47,41,67,40,11,76,48,74,50,44,57,37,78,49,43,20,5,28,89,3,52,59,35,23,30,64,72,79,55,17,88,14,70,26,60,90,32,6,85,13,33,25,8,10,42,53,45,69,12,22,19,54,9,29
53,25,45,75,32,64,68,13,29,62,35,82,58,16,15,20,81,48,54,7,6,37,67,55,26,50,42,10,12,91,89,9,52,17,57,5,34,49,60,8,70,18,69,14,88,72,28,23,84,4,83,86,77,90,79,63,85,33,80,47,22,65,36,66,87,2,41,19,59,30,24,61,78,71,1,76,44,11,46,38,27,21,56,51,73,74,31,3,43,40,39
54,31,1,40,85,8,5,74,44,69,57,90,76,47,66,30,33,19,61,65,46,87,17,48,79,71,78,70,28,23,20,49,36,3,22,59,51,2,24,21,6,83,52,43,9,73,64,75,35,32,7,53,18,60,11,41,37,27,13,15,39,29,45,12,84,89,16,56,25,55,10,63,4,77,42,34,67,86,72,58,68,50,62,82,88,38,26,91,14,81,80
55,14,4,39,60,38,50,43,89,81,12,41,86,73,28,24,51,59,84,77,34,85,3,35,88,64,30,27,57,63,29,44,25,45,31,26,66,56,37,19,53,72,82,15,42,80,16,58,46,10,22,13,67,8,68,9,65,74,87,91,17,62,71,33,21,69,40,32,20,76,83,23,36,75,54,5,52,70,7,49,48,18,2,61,79,90,78,6,47,11,1
87,9,21,83,70,65,72,56,49,42,27,18,77,80,50,36,68,11,23,24,52,13,22,74,73,58,59,7,88,1,10,47,38,69,61,67,33,32,79,20,91,75,45,78,63,2,17,62,6,26,16,71,66,54,81,48,90,25,39,82,76,89,40,5,19,14,46,34,64,43,41,86,51,57,29,3,12,84,31,53,85,30,35,8,44,4,15,37,55,60,28
86,11,60,37,67,88,78,90,79,76,28,32,29,3,41,10,40,12,15,14,2,8,62,25,43,42,89,72,53,6,54,82,35,91,46,83,73,55,85,84,74,5,71,36,39,19,49,81,38,70,30,56,31,4,50,61,21,34,7,18,44,77,51,75,80,45,52,66,1,68,65,47,69,48,9,27,26,22,17,24,87,59,63,58,16,13,64,33,23,57,20
58,2,17,69,34,82,19,33,52,87,7,53,9,59,91,26,44,39,63,57,16,20,5,18,46,61,4,84,79,51,68,8,75,62,90,30,27,80,31,48,23,77,64,66,35,1,40,13,88,76,24,55,29,47,12,6,22,86,78,42,43,11,3,49,74,70,37,60,54,45,15,56,85,28,38,81,14,32,50,41,67,36,72,65,89,21,10,71,83,73,25
56,33,15,23,63,10,66,4,22,55,37,26,25,48,1,78,89,47,32,74,38,64,21,29,45,31,40,49,36,71,13,60,34,81,12,9,65,28,44,86,17,50,41,68,54,3,61,51,69,14,85,58,91,52,57,70,67,19,83,30,79,73,2,53,59,42,24,11,90,72,6,88,35,20,82,8,87,16,62,43,77,76,27,80,39,5,18,84,75,46,7
85,6,90,7,27,46,30,45,84,80,5,64,65,71,54,88,69,13,50,35,75,58,83,24,41,51,39,11,67,16,22,70,14,32,43,21,76,18,82,15,87,2,38,47,37,10,20,36,77,89,33,63,59,23,73,56,72,62,28,25,60,57,31,8,86,9,26,78,29,48,53,81,12,49,44,55,66,79,1,61,4,3,19,74,40,42,34,17,91,68,52
