# c-balanced Latin square
# n=93
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
15,86,37,45,76,49,92,58,93,23,17,51,84,78,82,64,22,79,39,29,73,67,91,44,7,24,59,55,61,33,62,83,27,47,9,32,88,74,30,48,43,31,8,80,81,21,35,56,85,36,6,54,57,46,19,42,70,5,65,87,68,41,20,69,60,63,16,26,34,4,40,18,90,13,89,10,3,53,11,38,66,25,71,1,77,12,75,72,28,2,50,52,14
16,71,34,31,46,1,9,75,7,2,68,65,70,90,8,89,25,86,43,52,38,6,62,57,19,41,87,53,85,79,49,3,11,78,74,12,40,73,60,13,50,22,92,58,4,63,42,83,64,18,28,14,93,66,17,15,72,54,26,29,44,27,23,35,32,55,69,39,67,37,77,91,20,88,80,47,81,51,5,59,82,45,33,21,76,10,24,48,36,30,61,56,84
17,68,36,26,51,13,61,77,55,42,14,53,12,44,20,74,28,72,35,33,54,48,8,34,93,30,69,21,81,50,63,32,10,76,1,71,47,37,84,90,6,70,23,56,66,41,67,25,45,5,82,11,19,91,59,62,38,7,88,80,83,64,22,46,52,43,89,87,57,73,24,2,79,27,29,39,15,60,85,49,18,16,65,75,92,4,86,40,31,78,58,9,3
18,47,88,91,71,60,32,25,87,3,66,80,89,22,10,12,4,45,69,83,85,70,37,92,27,56,31,24,64,58,23,5,15,29,73,53,59,76,65,20,82,2,33,61,52,39,40,1,77,79,26,86,51,30,21,49,16,78,75,36,34,9,74,90,48,50,11,8,19,17,28,38,14,81,54,67,68,72,84,93,63,55,44,6,7,42,57,46,13,62,35,43,41
19,48,82,54,40,79,59,62,21,16,27,67,6,56,11,5,9,49,41,28,7,58,2,68,80,17,42,52,46,18,36,77,14,43,38,45,13,26,57,35,15,29,55,86,47,3,44,72,50,75,31,81,34,78,76,37,92,63,89,39,32,85,10,4,83,71,93,84,91,60,1,74,33,61,23,64,87,25,24,65,88,53,12,30,69,8,90,20,22,73,51,66,70
20,85,43,73,44,81,93,63,38,74,1,15,64,30,40,24,75,50,62,84,55,57,23,86,65,61,33,35,90,4,72,60,16,39,51,8,66,7,28,54,68,78,9,69,88,89,91,53,22,46,87,10,2,27,67,25,58,6,14,11,12,18,45,21,42,13,77,92,59,41,70,52,76,3,31,83,56,32,36,26,37,19,17,48,47,29,82,71,79,49,80,34,5
21,87,38,83,11,10,56,30,34,92,90,29,35,14,41,37,52,91,88,67,46,76,59,36,26,78,39,89,12,47,80,57,82,25,19,31,75,50,6,42,24,64,18,32,49,84,65,48,17,55,16,8,13,70,81,45,60,3,71,40,61,66,79,33,7,73,53,15,44,72,20,5,63,9,62,69,22,23,58,51,43,2,68,4,86,27,74,77,1,85,28,54,93
22,72,51,3,42,2,33,8,79,60,58,45,54,48,61,31,93,92,32,53,13,90,63,5,66,21,20,25,49,70,37,86,19,87,67,34,4,17,77,83,85,81,71,10,73,7,27,75,9,23,69,74,41,28,68,35,91,24,1,43,56,47,65,38,78,88,29,80,6,62,12,36,82,46,30,44,84,89,16,50,57,52,64,40,39,14,55,11,26,15,59,18,76
23,52,46,50,70,78,84,4,47,6,39,69,13,74,76,26,73,1,27,77,40,43,18,17,3,14,9,28,71,11,91,29,65,32,22,89,61,51,79,16,44,93,63,12,62,58,88,82,15,37,60,20,36,80,53,54,30,31,86,41,57,59,2,49,5,25,24,68,64,35,81,85,48,55,33,34,8,66,45,75,21,90,56,83,19,72,87,38,7,67,10,92,42
24,57,77,80,7,12,64,36,35,5,49,85,81,75,86,2,16,29,19,10,91,44,71,1,59,82,65,54,42,45,15,92,38,68,66,55,72,56,41,27,87,69,62,26,74,83,30,78,76,34,33,4,39,40,73,46,90,84,48,22,8,52,13,17,70,67,14,61,18,51,32,58,50,93,21,79,43,28,9,6,47,20,63,11,23,37,31,88,3,53,89,25,60
25,55,39,63,62,53,89,23,9,37,28,50,11,66,34,33,68,83,70,47,8,15,64,30,60,88,85,74,67,5,7,79,84,41,59,58,48,20,40,36,18,57,90,6,31,38,80,13,21,14,92,43,3,44,61,52,75,87,93,72,51,77,19,86,1,56,82,73,2,42,76,65,17,26,22,78,24,49,91,10,46,35,81,32,54,71,16,69,27,29,4,12,45
26,69,45,4,88,67,43,18,82,31,22,71,20,32,42,3,17,65,81,48,87,89,78,72,51,53,10,73,2,66,6,93,56,21,24,76,23,80,49,46,25,1,52,68,60,54,14,63,19,11,64,59,35,29,9,5,12,74,50,16,79,37,62,55,27,90,34,28,86,8,84,47,75,38,15,41,57,40,92,7,70,77,39,61,44,58,13,33,83,91,36,30,85
27,91,76,8,41,75,19,49,44,14,46,40,61,51,77,79,58,55,93,90,69,24,38,56,39,29,12,84,37,13,16,20,22,83,3,81,33,35,70,11,92,30,4,34,28,86,45,5,71,47,72,66,89,42,57,7,17,82,32,85,26,21,15,64,54,36,59,43,31,10,88,25,23,68,87,60,65,48,18,53,67,73,80,52,62,1,9,50,74,63,2,78,6
