# c-balanced sequence
# n=59
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
24,33,55,47,54,32,3,5,38,59,20,35,1,36,30,2,37,48,43,28,12,42,15,4,56,17,46,21,51,52,6,19,34,44,58,53,23,39,29,31,27,9,16,14,18,25,50,57,22,40,10,41,7,26,8,13,49,45,11
25,46,56,59,6,19,40,14,45,24,11,18,29,57,51,58,10,27,49,31,41,20,8,52,1,7,16,23,33,9,48,47,26,30,42,50,28,22,3,43,13,54,35,4,36,12,2,55,15,32,34,37,21,38,44,5,53,17,39
26,54,42,35,18,50,17,22,36,21,37,52,49,19,43,4,38,23,53,7,55,13,44,11,5,25,32,14,12,58,10,15,20,2,39,31,34,57,6,51,45,33,41,30,46,40,48,9,28,1,27,24,8,47,56,59,3,16,29
27,53,9,57,44,31,16,34,56,30,58,33,39,15,8,3,41,22,5,35,29,2,46,45,55,47,43,50,28,59,36,54,1,49,13,52,48,40,18,37,32,11,26,38,20,24,12,14,17,51,23,4,6,21,10,42,7,19,25
28,48,51,40,20,8,47,2,23,39,44,32,12,13,24,50,7,17,1,9,10,18,26,3,37,6,34,22,42,38,41,4,46,21,36,27,56,14,19,5,25,53,43,11,55,29,59,52,16,49,45,57,58,33,31,30,35,54,15
29,45,12,4,49,1,37,38,43,10,6,14,59,21,33,42,52,53,57,15,11,25,19,58,54,31,30,5,18,40,27,24,16,51,55,8,35,9,17,20,7,23,50,41,56,39,44,46,47,48,36,3,13,32,34,2,22,28,26
30,21,3,58,41,17,46,11,16,47,5,4,34,55,20,26,32,51,54,59,27,56,22,36,48,38,52,44,39,13,29,35,25,28,23,7,49,45,14,2,42,18,31,10,8,15,33,37,40,6,53,19,1,12,43,24,57,9,50
31,15,36,13,2,9,14,18,42,12,7,45,25,23,48,1,40,46,56,6,50,24,35,34,28,57,4,49,19,17,8,3,53,43,33,10,59,37,44,26,38,55,22,47,21,32,11,16,58,54,39,30,5,29,27,51,52,41,20
32,10,52,22,50,29,35,20,19,54,27,43,53,37,28,5,9,16,21,33,51,55,47,41,40,39,3,8,24,26,2,31,45,6,30,46,11,15,58,34,12,44,57,59,23,13,1,36,25,7,14,56,42,49,18,17,4,48,38
38,11,59,39,24,26,25,44,57,41,55,28,30,49,36,56,18,8,13,42,23,52,17,29,7,16,58,53,15,20,14,32,9,12,47,48,5,1,54,35,10,51,40,6,4,31,27,2,3,21,46,43,50,34,45,19,33,37,22
34,17,19,7,5,3,33,27,15,48,31,40,54,6,22,46,2,12,4,38,14,32,9,43,13,51,45,1,59,10,21,37,50,56,57,36,41,16,52,25,53,49,24,28,42,20,30,26,29,8,18,58,55,39,11,35,47,23,44
35,1,16,55,23,53,10,49,26,8,50,56,21,29,47,14,45,57,58,44,34,30,36,37,25,12,20,27,11,33,22,46,7,42,2,18,24,17,4,59,39,48,5,3,51,19,38,43,54,9,41,31,52,15,40,28,13,32,6
37,4,8,24,43,45,32,28,52,2,18,51,13,11,58,41,19,30,3,39,31,49,6,54,42,10,44,15,47,48,23,34,38,5,40,29,21,56,55,36,9,17,33,27,7,35,57,22,20,25,50,16,26,53,14,46,12,1,59
40,25,58,33,36,42,22,51,59,7,9,48,35,38,16,39,27,43,17,50,20,1,18,53,11,46,14,29,26,41,49,57,52,13,31,44,12,28,8,6,47,19,54,56,15,34,32,45,4,23,30,10,2,37,21,3,5,55,24
47,23,57,12,30,56,21,6,14,15,46,34,2,20,26,25,31,52,40,3,45,5,59,33,24,28,38,55,9,18,54,39,19,4,22,58,43,32,50,41,49,1,29,37,16,17,53,10,51,35,44,13,27,36,48,7,42,11,8
50,6,5,41,11,46,54,37,13,53,42,17,4,44,1,24,35,29,48,10,32,26,2,27,23,19,36,43,7,16,30,55,21,8,51,34,33,3,22,40,15,20,58,45,28,18,14,12,56,59,9,52,49,57,47,25,38,39,31
49,18,20,51,39,44,31,47,9,38,57,3,19,7,10,59,15,55,22,37,28,16,21,8,50,40,17,56,45,12,32,1,11,35,14,25,53,42,23,27,30,2,13,46,52,48,24,41,5,33,29,26,34,54,6,4,43,36,58
52,9,1,43,13,36,34,58,39,29,56,10,27,8,53,32,23,41,33,11,7,12,4,15,47,48,5,31,35,51,37,25,59,24,54,26,16,19,57,3,21,46,30,50,6,44,55,49,38,2,42,28,20,22,17,14,45,40,18
48,14,17,26,59,33,55,30,25,3,22,24,6,40,12,45,28,21,18,54,49,57,20,46,35,52,2,34,50,42,44,58,29,39,53,9,38,13,31,11,4,43,10,36,47,7,5,23,37,15,56,8,19,16,1,41,32,51,27
45,27,38,28,32,4,48,19,41,49,16,37,55,5,54,34,14,42,36,25,2,8,51,30,44,56,22,33,13,57,52,43,47,17,20,6,1,7,24,23,29,35,39,26,53,11,58,3,31,18,40,50,9,59,46,12,21,15,10
46,16,15,2,29,35,5,40,21,11,47,23,52,51,50,7,13,38,31,53,19,43,58,10,59,41,9,3,54,6,4,36,49,18,27,32,45,26,37,48,14,34,8,22,12,1,42,39,24,28,17,44,30,25,55,56,20,33,57
44,8,31,3,56,12,59,57,22,1,26,20,18,30,23,43,17,4,47,24,42,34,14,39,6,37,25,41,58,46,40,48,15,10,50,28,55,36,5,45,33,27,32,2,9,21,19,13,11,52,51,35,38,7,54,16,29,49,53
42,7,10,54,19,20,13,53,50,58,36,44,9,33,15,29,1,49,46,26,56,39,11,12,21,32,55,16,30,27,28,17,23,3,38,35,2,4,51,18,52,25,14,43,40,8,6,59,57,47,48,22,45,41,37,31,24,5,34
55,28,37,14,53,40,52,45,24,17,32,41,36,25,35,11,51,6,27,16,22,38,48,57,18,29,1,20,8,5,15,26,31,9,21,42,30,47,49,56,44,59,7,34,54,50,23,33,46,43,2,12,39,3,19,10,58,4,13
43,2,6,27,21,18,39,4,31,34,33,12,42,45,46,8,48,59,28,5,9,10,23,19,3,49,47,24,36,53,7,56,57,40,16,13,54,41,38,15,58,37,52,44,32,22,25,29,55,26,20,1,51,35,30,11,50,14,17
54,3,34,15,22,25,24,7,35,43,30,49,26,17,39,57,58,9,44,52,40,37,50,32,2,45,13,51,38,55,59,33,14,29,11,20,10,46,12,1,19,31,53,48,5,41,28,21,6,4,16,27,36,42,23,18,8,56,47
51,30,11,23,8,58,50,16,5,37,2,38,47,14,13,55,54,56,20,41,4,35,29,1,31,53,42,6,25,21,19,18,22,33,43,12,39,27,59,28,57,3,9,17,24,45,34,7,36,10,49,15,48,44,52,32,40,26,46
56,29,47,46,10,57,41,1,32,27,59,7,31,48,19,6,3,24,15,12,36,33,45,51,4,50,26,28,22,34,35,5,44,37,52,17,8,11,20,13,40,16,42,25,14,38,49,18,30,39,55,54,43,58,2,53,23,21,9
36,12,18,9,38,14,49,42,20,28,21,5,16,32,52,44,53,25,34,13,58,15,40,55,17,43,7,46,23,2,39,41,54,48,45,56,22,6,30,10,50,47,4,35,27,26,51,8,1,19,24,29,11,31,57,33,59,3,37
33,26,40,44,17,51,23,29,48,4,19,54,57,3,18,21,22,37,35,30,59,27,31,56,14,8,11,10,52,49,24,12,58,32,1,47,50,25,2,16,5,36,15,55,39,43,9,20,53,34,7,6,46,28,13,38,41,42,45
39,13,50,52,1,6,26,36,46,55,45,53,10,43,2,49,16,11,23,8,18,47,7,38,20,30,59,19,14,31,9,42,28,34,41,24,57,58,21,32,17,56,51,29,33,3,4,48,27,12,37,25,40,5,15,22,44,35,54
58,24,4,42,34,28,15,8,33,40,35,11,22,41,9,20,12,39,51,29,21,3,25,5,26,27,54,37,44,43,45,10,30,46,19,49,18,48,53,7,55,38,23,13,59,2,16,17,14,31,57,32,47,56,50,36,6,52,1
53,22,35,25,55,27,38,56,10,6,14,15,50,59,31,37,47,5,32,1,48,54,13,42,36,33,12,57,17,3,16,51,2,7,4,23,40,29,9,39,8,45,20,19,30,46,52,44,41,58,11,21,18,24,26,49,34,43,28
41,19,49,45,16,47,9,54,17,23,13,29,46,28,27,40,30,7,2,43,57,44,52,24,34,58,21,48,32,1,38,53,8,36,5,37,51,33,35,42,26,6,11,18,31,10,56,15,50,22,3,59,14,4,20,39,55,25,12
59,5,32,48,7,11,43,12,44,51,39,1,58,56,4,36,26,10,45,14,17,53,28,16,22,15,18,40,29,47,50,20,6,55,25,3,31,52,34,46,24,41,21,49,57,37,54,35,42,13,38,33,23,8,9,27,19,30,2
57,20,21,31,37,30,2,3,18,52,25,8,24,34,42,38,33,50,19,55,6,46,41,49,9,23,35,39,4,56,11,13,27,26,59,15,14,44,43,54,22,28,12,1,58,36,47,40,32,45,5,53,17,10,51,29,48,7,16
