# c-balanced Latin square
# n=48
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
1,48,17,14,22,9,46,27,23,25,28,42,39,38,10,45,43,31,3,30,37,19,13,47,29,18,12,36,21,44,15,8,5,33,20,26,7,6,16,40,34,4,35,41,11,24,32,2
2,39,21,19,15,37,34,26,6,47,40,41,14,8,12,18,5,24,17,1,33,25,38,44,35,4,16,31,7,11,9,3,28,46,32,48,29,45,43,13,30,23,36,27,10,20,42,22
3,43,29,13,32,33,7,24,30,10,44,35,16,4,20,36,41,11,26,6,28,27,34,21,22,23,45,42,37,48,2,25,38,40,18,39,12,47,14,5,19,8,31,9,15,46,1,17
4,42,36,31,12,8,45,20,11,5,18,48,27,22,15,7,29,9,32,16,46,2,14,40,6,24,30,43,10,13,17,19,47,1,34,23,35,37,41,3,26,28,44,38,33,39,25,21
5,44,40,47,35,25,16,32,38,2,33,31,3,13,34,19,28,21,42,23,8,20,15,11,39,9,46,1,26,41,6,27,29,14,36,24,4,22,10,17,7,12,37,43,18,45,48,30
6,38,24,30,11,18,41,4,12,1,43,9,29,23,17,26,46,37,22,34,10,45,36,48,7,32,8,40,39,33,20,35,31,44,42,2,19,21,27,28,25,15,47,3,16,14,5,13
7,23,37,26,20,28,21,15,35,19,17,36,46,33,47,2,39,48,14,13,44,41,43,3,10,27,25,5,4,18,12,24,22,45,30,16,9,31,42,38,32,1,11,40,29,34,8,6
8,34,16,27,10,29,40,14,3,22,13,45,6,30,24,1,32,25,38,15,35,12,31,42,5,19,2,20,47,28,23,46,39,41,43,11,17,33,36,18,21,9,48,26,4,7,37,44
9,45,18,28,41,42,31,43,36,39,21,26,32,11,37,44,40,30,47,5,48,7,4,17,1,33,3,38,22,27,34,16,13,10,8,6,25,15,2,20,24,29,46,14,19,23,12,35
10,46,20,25,2,5,44,48,17,16,4,7,12,19,21,42,6,8,35,40,29,18,9,23,28,41,34,24,15,14,32,26,30,11,37,3,38,13,1,47,33,22,39,45,31,43,27,36
11,47,22,33,23,1,38,13,37,45,34,24,15,25,35,31,3,27,20,7,43,39,16,26,46,36,17,14,29,19,30,40,4,9,21,10,5,8,12,48,44,2,6,42,32,41,28,18
12,27,41,48,46,19,36,39,9,8,29,30,44,5,28,14,33,4,18,2,21,11,1,32,25,31,37,13,6,45,38,42,43,7,15,22,34,40,24,23,35,16,10,20,17,26,47,3
13,26,32,3,43,17,6,47,18,42,14,1,37,2,40,9,34,23,10,36,24,22,30,8,16,20,15,41,12,35,29,21,48,25,31,27,28,44,11,7,39,45,33,5,46,38,19,4
14,28,15,4,6,24,10,19,21,31,3,11,22,7,27,16,20,44,39,12,38,47,29,33,45,48,26,35,32,43,5,36,37,23,17,13,46,18,25,8,41,42,34,1,30,2,40,9
15,30,35,34,38,7,23,2,33,46,20,8,40,48,43,25,10,13,45,41,17,26,5,19,37,14,47,11,9,42,1,44,18,3,28,36,32,39,4,6,31,27,24,21,12,22,29,16
16,31,45,44,40,39,22,25,29,27,32,5,43,36,41,23,35,1,12,4,9,42,46,18,2,21,6,28,34,8,7,33,17,24,38,47,20,30,26,37,14,3,19,13,48,15,11,10
17,33,8,9,24,30,37,42,41,26,12,47,34,18,6,48,38,16,19,11,31,32,28,10,15,13,44,27,3,40,22,45,21,2,4,1,14,5,29,46,36,20,7,23,35,25,39,43
18,35,5,1,36,13,11,29,28,7,24,38,20,26,46,4,47,2,21,27,14,3,45,22,30,43,39,48,25,23,31,10,12,16,19,44,41,9,32,15,42,17,40,8,37,6,33,34
19,25,42,39,21,14,12,1,32,4,15,23,10,9,3,8,17,22,33,44,36,6,37,24,34,40,7,18,2,46,16,41,20,26,29,45,43,48,35,27,11,13,30,28,47,5,38,31
20,29,2,43,31,27,3,5,44,48,46,16,13,45,32,30,37,7,28,42,39,40,35,41,38,17,4,19,8,36,47,11,15,6,12,33,1,23,34,22,10,26,25,18,14,21,9,24
21,40,11,10,47,26,48,18,34,9,37,19,28,31,33,22,8,15,24,25,3,13,6,20,12,42,5,23,17,1,39,14,32,27,35,46,2,38,30,45,29,43,16,4,44,36,7,41
22,36,6,7,16,4,35,17,45,14,38,25,41,1,39,11,27,26,46,9,34,23,33,43,13,47,29,44,30,24,10,48,19,18,5,40,42,3,21,31,2,37,32,12,28,8,15,20
41,32,23,38,44,48,30,28,40,43,6,2,35,42,5,21,12,36,29,18,15,31,8,27,20,3,10,33,16,25,4,37,34,39,14,7,24,11,19,9,46,47,17,22,13,1,26,45
24,37,12,46,45,34,20,8,15,13,10,39,17,47,30,29,42,14,5,19,32,1,2,4,26,11,22,9,31,21,43,28,7,35,25,41,40,16,33,44,48,18,38,6,36,3,23,27
25,3,1,37,33,23,47,16,19,36,27,40,21,44,14,13,18,41,43,45,11,24,48,7,9,38,35,30,46,20,26,2,6,8,22,31,15,17,28,4,12,5,29,39,34,42,10,32
