# c-balanced sequence
# n=52
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
27,18,3,48,20,40,34,11,44,17,43,35,2,6,49,31,22,46,13,1,39,26,50,9,42,30,41,8,47,21,32,38,24,37,25,29,7,52,5,4,23,45,12,28,15,19,33,10,14,51,36,16
29,19,45,24,50,25,37,47,38,13,7,33,4,39,21,52,28,51,15,48,16,18,31,12,49,23,36,10,34,44,14,30,1,32,26,6,40,46,41,22,9,2,42,17,11,3,35,20,5,27,43,8
30,28,4,42,40,41,12,9,49,26,27,10,15,16,43,8,3,5,19,23,25,38,2,11,22,45,35,24,20,7,17,33,13,36,39,51,50,14,47,31,37,21,34,44,46,29,52,32,6,48,18,1
46,16,14,21,31,1,17,36,5,2,47,22,29,32,18,35,48,50,20,41,34,33,28,51,43,6,9,37,27,52,42,45,40,11,44,3,24,12,13,10,38,15,49,39,7,8,30,19,25,26,4,23
32,7,48,23,8,39,52,15,24,6,12,51,11,27,34,14,1,37,44,42,17,13,40,4,3,29,25,46,26,49,50,10,9,19,30,28,31,38,20,16,18,35,43,5,36,22,21,47,41,2,45,33
33,10,13,22,38,49,26,43,45,25,20,15,3,41,44,9,23,30,35,31,47,52,19,36,16,7,12,5,39,6,8,1,21,14,18,4,46,2,48,42,29,32,24,11,40,27,51,28,17,34,50,37
34,2,50,17,42,37,14,44,18,7,4,21,19,46,39,28,24,32,29,27,45,40,10,5,8,52,31,1,23,48,41,51,15,35,20,43,47,33,6,11,36,26,30,13,38,25,49,16,3,9,22,12
35,6,9,51,16,11,19,52,28,5,13,8,20,36,30,25,47,38,18,12,22,21,49,24,32,26,4,33,48,27,3,2,17,7,41,15,37,23,34,45,1,50,40,43,42,14,29,31,39,46,44,10
38,3,1,36,47,12,30,23,29,41,50,40,42,26,11,10,51,33,7,25,46,45,43,37,39,18,14,20,13,34,22,44,31,49,8,16,9,19,52,17,15,27,21,4,2,5,24,48,28,35,6,32
44,15,46,27,33,22,43,49,31,40,34,9,32,17,4,48,5,19,2,37,41,6,35,42,14,21,10,47,28,30,16,29,11,12,24,39,18,50,3,51,13,25,52,26,45,23,36,1,20,7,8,38
45,39,6,31,28,2,29,24,3,21,48,52,18,14,13,27,16,26,43,8,20,17,38,1,34,11,50,15,49,51,25,46,36,23,5,44,32,10,7,35,30,9,37,41,4,42,12,22,40,33,47,19
37,8,7,5,25,47,20,10,35,22,51,1,24,45,16,33,2,42,4,30,3,23,44,48,12,9,19,21,32,29,36,40,50,52,34,38,26,27,49,28,46,14,18,6,41,31,39,13,11,43,17,15
40,12,18,26,13,34,16,32,17,39,19,41,23,35,7,49,15,28,50,14,9,36,11,27,30,46,8,31,4,45,38,43,20,6,42,25,2,1,22,5,10,33,47,48,52,44,3,51,24,37,29,21
41,4,10,20,11,51,46,21,42,36,44,5,50,37,31,38,6,1,22,52,29,15,3,2,25,24,28,17,40,43,39,19,47,33,13,45,48,16,35,8,34,12,7,27,18,32,9,26,30,23,49,14
43,14,30,52,29,24,27,8,48,38,33,26,49,25,6,34,13,9,23,32,44,5,47,18,51,22,40,35,41,37,12,7,10,28,4,11,21,17,31,50,39,42,20,3,19,1,16,36,15,45,46,2
49,21,19,15,17,50,45,4,27,1,28,47,43,40,3,46,36,41,12,39,7,48,33,26,10,20,42,52,16,2,23,32,8,18,9,37,29,24,30,14,6,31,35,51,22,13,11,34,38,44,5,25
42,9,32,3,18,35,38,2,11,30,37,25,12,22,29,45,39,10,24,21,31,51,34,46,19,15,13,6,36,5,47,14,44,26,48,33,41,4,1,23,49,28,8,16,17,20,40,27,43,50,7,52
48,23,28,44,7,36,31,13,46,8,2,6,14,51,20,40,18,52,17,33,35,37,16,45,50,1,11,22,9,24,26,34,3,15,27,49,30,43,38,19,47,5,32,29,12,10,4,25,21,42,39,41
50,25,34,12,14,23,5,39,16,43,32,31,44,10,19,4,30,21,47,26,11,49,41,7,38,3,27,29,42,1,35,37,45,51,17,52,13,40,46,2,20,22,36,15,9,48,18,33,8,6,24,28
1,20,33,41,6,9,22,37,47,24,49,7,27,52,15,17,29,8,16,13,43,42,25,23,28,5,48,30,14,50,18,4,39,46,21,32,3,44,36,12,40,11,38,34,26,35,2,45,19,10,51,31
52,26,35,40,4,3,42,34,51,19,29,17,38,5,12,32,11,48,45,36,2,27,39,6,44,41,23,18,8,15,20,21,25,43,31,10,22,28,9,33,24,16,46,14,47,7,50,37,49,1,30,13
47,13,16,39,46,10,18,33,9,15,45,30,21,8,1,22,35,14,34,28,50,24,20,17,40,49,2,7,12,11,31,27,5,38,19,36,6,51,42,29,48,44,23,25,37,43,41,52,32,4,3,26
36,11,2,37,19,15,7,26,50,23,3,46,48,28,24,43,44,31,40,51,4,1,22,29,35,33,32,38,25,10,9,6,41,16,47,14,34,8,18,21,52,13,45,49,30,39,17,5,42,12,27,20
31,5,27,43,49,44,28,6,14,10,42,16,34,2,47,41,20,25,46,38,18,12,8,52,36,37,39,51,3,33,13,48,30,1,35,7,11,45,26,32,4,17,19,50,21,24,15,23,29,22,40,9
51,17,29,8,21,48,25,41,12,4,35,36,39,9,50,26,42,49,6,5,19,30,32,13,31,43,34,45,44,46,52,24,22,2,40,23,20,15,37,27,7,3,1,10,33,28,38,14,47,18,16,11
24,22,38,45,30,32,1,40,20,52,18,11,13,33,23,37,7,27,3,15,10,9,14,21,47,4,16,26,19,17,28,49,42,29,50,12,5,39,25,41,43,51,2,31,8,6,46,44,35,36,34,48
