# c-balanced sequence
# n=97
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
15,73,38,29,41,92,78,58,55,94,84,33,2,95,77,91,9,8,93,62,31,76,25,87,30,27,46,5,34,12,67,23,74,51,35,24,49,11,28,20,6,56,57,17,63,13,70,44,10,42,53,7,97,85,72,89,96,16,75,71,52,64,36,18,26,82,1,21,32,90,14,65,39,3,45,59,88,79,60,66,80,68,86,69,61,48,54,50,40,4,83,81,19,22,47,43,37
16,97,70,30,63,36,39,87,66,53,89,7,42,85,10,45,59,22,28,11,74,32,86,29,96,3,37,83,13,69,46,54,55,14,47,43,68,19,73,18,80,90,61,51,48,25,64,21,40,81,20,56,4,26,8,75,27,95,6,17,9,78,49,62,5,79,65,23,91,82,88,52,50,35,84,67,33,34,2,38,77,57,93,24,58,71,1,15,60,12,76,41,31,72,94,92,44
17,68,43,23,90,40,1,75,86,24,97,78,12,57,13,93,26,44,84,21,81,6,50,2,31,80,52,88,77,94,38,61,41,71,72,16,39,60,34,82,7,58,5,32,79,65,74,3,83,76,35,37,15,63,69,19,33,59,73,28,29,4,47,51,96,89,54,22,20,92,85,8,62,87,48,95,64,10,36,42,56,53,25,67,46,30,27,18,11,66,91,70,55,9,14,49,45
18,34,50,69,26,71,9,4,8,82,49,72,79,88,96,65,17,52,25,20,64,23,57,91,55,56,35,62,53,22,92,47,29,45,70,66,27,95,75,38,46,89,15,97,85,94,30,54,33,36,86,11,1,67,48,31,84,42,10,87,14,81,44,76,60,58,13,37,2,24,41,78,51,63,43,61,21,7,5,74,19,40,28,73,32,90,12,83,3,59,80,6,77,39,93,68,16
19,63,47,93,59,5,32,83,33,3,58,65,27,6,76,81,36,37,41,54,90,24,11,51,42,44,49,10,95,28,73,25,30,68,15,57,62,2,40,21,14,48,53,1,67,34,52,77,4,12,61,55,38,74,66,87,60,79,23,46,92,39,80,9,35,50,43,16,72,94,56,45,70,89,18,69,91,20,26,85,22,84,71,78,96,17,97,31,64,88,8,29,82,13,75,86,7
20,89,96,48,7,64,74,67,60,18,70,61,31,80,56,50,42,14,46,19,69,43,35,94,97,9,40,1,16,36,63,87,85,39,86,88,82,92,81,78,76,84,13,65,6,24,2,71,75,45,51,17,22,29,90,62,41,8,25,91,53,3,58,30,38,59,73,12,27,79,49,68,32,77,93,28,11,66,83,10,72,37,4,44,21,95,52,26,55,34,47,57,33,15,54,23,5
21,53,41,28,82,60,95,84,77,15,13,56,45,29,39,79,55,73,38,32,75,92,22,61,83,8,71,66,89,59,48,72,78,4,80,10,33,12,37,23,3,54,64,52,44,26,91,47,18,16,5,88,14,49,68,58,70,85,7,43,11,63,93,69,34,67,42,97,86,31,81,46,19,57,40,30,96,9,17,65,51,76,90,6,20,36,2,35,94,25,62,24,27,87,50,1,74
22,62,44,51,94,8,76,25,85,30,87,66,10,74,5,54,68,2,58,16,12,7,28,17,78,91,34,69,43,27,11,33,21,49,90,50,32,26,31,77,19,86,24,93,83,45,20,46,9,23,95,6,57,96,55,47,40,35,64,37,80,97,13,41,52,36,72,61,39,15,70,53,75,1,88,38,29,3,71,4,79,63,48,59,82,84,56,42,92,14,73,65,60,67,81,89,18
23,80,52,88,73,6,2,57,38,59,14,11,91,71,27,35,46,39,15,34,72,18,81,1,47,41,79,75,67,51,96,20,9,3,5,53,63,97,94,29,36,4,70,62,60,42,40,19,84,93,77,50,66,92,65,54,83,89,82,56,90,48,24,31,22,76,17,25,8,33,7,55,74,61,26,37,44,68,86,13,12,49,43,16,87,69,28,45,58,10,21,95,32,85,78,30,64
24,86,90,16,72,12,55,3,89,1,31,37,92,64,36,40,95,30,49,4,60,13,63,74,14,84,26,70,48,76,93,42,65,44,61,17,15,96,56,58,28,79,35,7,68,81,8,43,87,32,67,73,82,52,21,10,69,91,33,18,45,6,83,88,85,25,29,77,71,78,62,5,59,47,34,97,2,27,53,54,50,94,38,19,9,23,46,22,41,57,11,75,51,20,66,80,39
