# c-balanced sequence
# n=55
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
25,54,12,47,50,15,24,41,31,22,53,11,29,6,44,48,1,42,30,35,52,49,9,8,16,26,55,46,20,45,10,28,3,38,43,39,40,37,4,33,21,18,14,13,36,23,17,51,2,7,34,5,19,32,27
27,46,7,32,40,16,3,38,20,35,47,26,23,33,43,55,10,25,5,6,34,2,19,14,18,41,15,37,44,48,54,51,36,21,9,42,49,13,17,50,30,28,29,12,1,31,53,39,4,22,45,11,52,24,8
34,51,53,5,29,23,37,13,19,17,21,30,16,1,49,39,27,45,8,28,54,11,38,20,7,40,4,12,42,32,22,25,24,31,33,44,18,55,52,35,26,43,47,3,2,50,41,9,10,46,15,36,6,14,48
26,48,45,9,52,43,14,49,8,37,44,10,4,3,40,32,36,18,31,17,15,42,50,55,1,22,2,33,51,24,41,53,6,19,29,47,5,54,27,23,7,46,34,20,11,30,28,12,25,21,16,39,13,35,38
35,25,10,2,39,11,42,18,22,29,33,52,28,21,20,8,7,47,24,51,46,27,12,36,13,5,30,38,26,50,17,9,45,34,37,14,48,16,15,41,53,1,49,6,54,4,44,19,55,32,3,43,31,23,40
38,4,15,49,1,12,55,53,6,54,50,43,41,34,11,19,21,9,22,3,47,16,28,23,33,44,25,10,35,29,39,14,46,17,13,36,32,26,31,24,8,2,37,40,51,45,27,48,30,52,42,18,20,5,7
36,20,23,30,41,46,13,14,55,16,35,44,2,24,18,31,26,5,32,48,39,1,40,25,37,43,11,54,28,52,21,7,4,10,12,27,19,6,51,45,3,53,38,15,42,34,33,8,47,50,9,22,49,29,17
33,17,9,7,19,27,8,47,12,40,24,51,38,53,15,37,3,46,50,52,42,30,45,4,48,6,31,34,32,2,49,23,55,20,1,5,39,43,44,29,16,21,13,36,35,26,22,10,18,14,54,41,25,11,28
32,3,13,26,21,22,43,28,45,5,30,27,25,49,6,4,42,36,35,44,10,29,17,54,34,19,14,16,47,41,38,18,50,40,11,31,46,7,8,48,55,52,23,9,39,24,20,15,51,53,33,1,37,12,2
50,16,42,1,6,34,17,48,11,31,54,23,39,29,45,51,37,14,55,41,7,13,2,15,21,52,24,53,18,20,8,3,30,22,47,9,12,4,28,49,33,38,5,35,46,25,19,27,32,36,40,10,44,26,43
52,28,5,31,38,51,36,44,10,9,18,20,1,7,22,53,33,29,40,19,12,43,49,50,35,48,8,27,13,39,15,45,32,41,26,23,6,2,14,25,46,34,54,17,21,11,37,16,3,24,4,55,30,47,42
39,21,14,40,44,54,2,32,4,34,15,46,12,47,55,23,25,27,20,26,11,9,41,53,5,30,36,3,24,43,37,33,42,16,28,51,35,38,50,10,19,31,22,48,18,52,6,1,29,8,7,17,45,49,13
47,18,8,24,49,48,33,46,25,3,52,41,19,13,35,16,2,30,38,39,37,45,32,10,28,9,17,7,1,6,55,27,22,4,15,29,26,20,11,40,54,42,44,53,43,14,5,36,31,12,23,50,21,34,51
37,27,6,29,15,26,35,31,17,50,36,14,42,5,54,10,12,8,43,4,21,22,23,3,47,34,49,51,40,19,11,44,48,13,53,24,30,52,18,32,1,45,39,7,55,2,38,25,28,41,20,33,9,46,16
53,22,37,55,30,7,41,20,38,43,1,28,45,9,34,24,11,13,2,14,48,6,51,18,44,29,46,23,25,16,31,36,35,54,50,52,21,10,33,42,17,47,12,8,32,40,49,26,39,27,5,4,3,15,19
45,19,4,11,23,40,25,50,15,7,39,32,26,51,33,52,54,17,49,18,20,36,31,16,46,12,21,42,14,44,9,5,10,2,8,55,3,34,1,43,28,6,27,24,47,48,29,22,35,13,30,53,38,37,41
48,12,16,43,10,5,30,3,35,8,42,13,55,17,4,46,28,32,47,53,33,52,24,38,39,20,1,40,54,27,26,29,25,7,49,41,45,22,37,36,11,15,19,18,23,9,50,44,21,34,2,14,51,6,31
41,9,36,51,34,47,29,23,2,49,40,21,53,27,38,44,6,50,15,1,24,5,8,19,26,11,33,22,31,28,12,43,37,18,39,13,14,17,7,20,10,25,16,30,4,3,42,45,46,55,35,32,54,48,52
42,14,18,54,20,28,10,16,39,44,6,37,33,19,48,7,22,31,3,30,35,25,55,27,45,15,32,2,4,5,52,34,38,23,21,46,53,29,13,9,49,50,51,41,26,12,1,40,17,11,47,8,43,36,24
46,55,32,25,13,24,1,27,52,21,12,9,22,14,8,29,49,26,11,34,51,53,48,43,41,38,45,50,17,3,35,19,47,36,42,2,44,40,30,4,5,20,33,31,37,7,23,54,6,16,39,15,28,18,10
51,2,33,4,3,31,45,26,18,20,11,47,36,40,41,50,43,16,28,13,32,10,7,42,17,23,37,9,49,46,30,6,1,55,48,54,15,12,35,34,39,8,21,52,38,53,24,14,5,19,22,27,29,25,44
44,15,17,19,35,52,53,7,30,46,22,34,6,10,1,5,38,23,21,9,31,54,39,12,36,55,18,29,8,25,4,20,11,14,24,16,27,51,3,47,37,41,43,28,33,13,32,2,50,48,49,26,42,40,45
54,8,38,12,42,39,49,5,29,26,2,48,24,16,3,30,15,44,37,25,40,28,35,13,14,50,47,52,21,33,51,41,53,43,19,7,31,32,45,27,22,36,55,10,6,17,46,4,9,1,18,34,11,20,23
43,11,47,21,17,50,22,34,36,28,19,5,18,37,23,45,41,39,10,27,55,4,20,6,2,24,7,26,30,1,48,40,8,44,32,38,33,9,25,16,14,29,46,42,49,54,51,52,53,15,31,13,12,3,35
40,1,50,53,33,32,4,9,13,14,25,31,35,20,42,27,55,51,54,29,43,44,46,52,49,3,16,41,34,22,47,17,15,12,6,18,36,24,26,2,23,48,11,45,19,8,21,37,7,10,28,38,5,39,30
49,7,52,27,48,37,38,6,24,23,45,3,54,46,26,36,4,53,12,8,2,19,14,9,32,10,13,15,11,18,42,21,28,51,25,17,1,5,39,44,31,35,40,34,22,41,30,33,20,43,29,16,47,50,55
31,10,39,41,16,8,15,43,37,55,51,29,30,28,21,47,18,1,33,22,23,17,34,11,40,42,5,48,45,38,24,46,54,27,35,20,50,49,19,53,52,7,2,14,44,36,13,3,12,26,25,6,32,9,4
29,6,35,45,25,44,12,42,32,48,16,8,50,11,2,13,34,19,7,36,41,3,21,22,31,4,39,20,37,53,14,49,26,33,30,10,43,23,55,15,51,24,9,1,5,28,47,18,38,40,52,46,17,27,54
30,5,26,46,14,18,19,40,33,27,38,17,52,44,25,9,20,24,6,49,50,15,47,1,51,53,35,43,36,10,13,2,31,3,34,22,28,42,41,54,12,4,32,29,16,39,55,11,23,45,37,48,7,8,21
24,34,3,28,2,9,11,51,1,41,10,7,43,32,12,14,40,48,46,5,16,18,37,30,25,54,44,6,55,23,50,39,29,52,45,4,47,8,21,38,13,17,26,27,20,15,35,31,49,42,36,19,53,22,33
23,13,20,22,36,55,21,54,47,53,4,49,15,31,39,17,35,52,42,45,38,26,33,29,8,27,28,19,12,7,32,16,9,5,40,37,11,48,46,6,18,3,30,50,25,10,43,34,41,44,51,24,2,1,14
