# c-balanced Latin square
# n=36
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
32,30,36,10,24,14,31,5,34,22,6,20,26,13,25,29,1,16,21,23,17,4,7,33,8,15,2,18,28,19,35,12,11,9,3,27
2,33,34,17,12,16,13,29,28,8,27,23,31,30,15,9,6,18,22,24,3,35,11,19,4,5,26,7,36,20,10,21,32,25,1,14
3,1,15,21,18,26,7,19,9,25,4,35,11,33,12,28,5,32,10,2,20,36,31,14,27,6,34,16,13,30,29,24,17,8,23,22
4,23,35,20,8,22,27,11,2,17,36,10,24,3,7,19,14,15,31,12,29,30,28,21,1,13,32,9,25,6,33,34,26,5,18,16
5,28,25,11,19,9,6,32,1,33,7,18,21,16,14,36,35,26,8,13,27,34,22,24,3,10,23,12,17,15,2,31,29,30,4,20
6,27,26,13,29,3,4,24,10,12,15,30,32,34,23,2,17,20,33,9,1,16,5,18,25,22,35,11,21,14,8,7,36,19,31,28
7,22,14,31,35,30,23,20,18,16,21,29,2,5,8,11,24,27,25,28,19,26,12,9,17,36,33,1,10,4,3,32,13,34,15,6
8,19,16,9,36,28,25,12,21,31,14,3,17,1,32,10,4,13,34,11,18,15,6,23,2,20,30,29,7,22,5,27,33,35,24,26
9,21,18,1,6,33,17,15,35,26,5,13,27,4,20,34,22,36,29,7,8,10,32,30,31,19,14,24,3,23,28,25,16,12,2,11
10,20,24,32,2,15,34,30,36,23,11,19,12,28,22,26,7,3,4,5,14,33,25,16,35,29,8,31,27,1,9,6,18,17,21,13
11,29,17,5,27,25,8,16,14,3,24,1,22,9,18,31,33,19,30,35,6,21,2,13,26,12,28,20,34,32,4,15,23,36,7,10
12,31,13,7,34,10,35,33,4,29,2,28,15,36,6,30,21,23,17,32,25,24,3,20,11,18,27,5,19,16,26,14,22,1,9,8
13,26,28,3,23,1,18,22,6,20,32,34,8,19,17,16,25,12,14,27,36,9,29,10,7,21,4,15,24,31,11,30,35,2,33,5
14,24,30,33,4,5,2,26,7,19,35,16,25,10,21,27,8,11,6,15,31,13,1,34,32,9,3,22,23,36,18,17,20,28,12,29
15,25,12,22,32,11,36,3,27,13,18,9,7,29,31,1,20,2,28,26,33,23,8,5,14,16,17,6,35,34,24,19,21,10,30,4
16,36,29,4,14,20,21,23,31,30,9,33,5,6,35,24,12,34,18,10,22,19,17,15,28,1,11,2,26,8,27,13,7,3,25,32
17,34,31,2,7,19,1,28,5,10,8,26,4,23,24,13,32,9,3,16,35,11,18,27,29,30,25,21,12,33,22,20,6,14,36,15
18,35,6,27,15,21,32,8,25,11,17,22,14,20,26,3,29,28,7,30,2,12,23,36,24,33,13,4,9,5,16,1,10,31,34,19
19,16,8,23,9,12,10,13,24,36,28,6,33,11,27,15,30,5,1,4,21,32,20,22,34,7,31,17,14,18,25,3,2,26,29,35
20,3,33,26,28,29,22,17,30,1,34,7,35,25,2,18,10,31,15,21,5,14,4,6,36,8,16,19,32,13,12,23,9,11,27,24
21,11,5,24,25,31,12,14,16,2,13,27,36,32,9,4,23,35,19,20,34,1,30,17,10,3,6,26,8,29,15,18,28,33,22,7
22,10,27,18,30,6,15,34,29,32,1,14,19,21,3,33,13,7,36,8,16,25,26,35,12,24,9,28,2,11,31,4,5,20,17,23
23,4,7,8,3,35,19,9,26,24,20,12,18,17,34,5,2,14,32,29,11,28,27,31,22,25,15,36,33,10,1,16,30,13,6,21
1,2,9,28,17,36,20,4,33,15,31,25,10,8,16,6,11,22,26,18,24,7,13,12,5,23,29,27,30,21,14,35,34,32,19,3
30,14,32,34,5,13,11,27,23,21,3,15,29,12,28,22,16,17,20,31,9,6,33,26,19,4,10,35,1,7,36,2,24,18,8,25
29,6,1,36,26,7,33,18,11,4,16,31,13,24,30,35,19,8,23,25,10,3,9,2,21,14,20,32,22,17,34,5,27,15,28,12
25,12,22,35,21,2,24,10,8,5,19,17,28,14,36,7,9,1,27,34,13,29,15,32,23,11,18,3,20,26,30,33,4,6,16,31
34,15,20,19,31,32,26,35,3,6,23,21,30,18,4,25,27,33,24,17,12,2,36,7,16,28,5,8,11,9,13,29,14,22,10,1
33,13,11,16,10,27,3,7,22,9,30,2,1,15,29,12,36,6,5,14,4,20,35,28,18,34,21,25,31,24,19,26,8,23,32,17
28,17,4,29,16,18,5,25,32,14,12,8,34,26,10,23,31,21,2,3,30,22,19,1,33,27,24,13,6,35,20,9,15,7,11,36
24,8,23,6,13,17,9,36,19,34,22,5,20,35,33,32,26,10,11,1,7,18,16,29,15,31,12,30,4,25,21,28,3,27,14,2
27,18,2,30,20,24,14,1,15,7,29,4,3,31,11,21,28,25,13,6,32,17,34,8,9,35,22,10,5,12,23,36,19,16,26,33
31,32,21,12,11,23,28,2,20,35,33,36,9,22,5,8,15,24,16,19,26,27,14,4,6,17,1,34,18,3,7,10,25,29,13,30
26,9,10,14,1,4,30,6,13,27,25,11,16,7,19,17,18,29,12,22,23,5,21,3,20,2,36,33,15,28,32,8,31,24,35,34
35,5,19,25,33,34,29,31,12,28,26,24,6,27,13,14,3,4,9,36,15,8,10,11,30,32,7,23,16,2,17,22,1,21,20,18
36,7,3,15,22,8,16,21,17,18,10,32,23,2,1,20,34,30,35,33,28,31,24,25,13,26,19,14,29,27,6,11,12,4,5,9
