# c-balanced sequence
# n=72
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
20,72,48,39,10,29,57,27,46,47,43,9,36,66,25,58,70,42,2,44,51,59,33,28,11,17,60,56,54,15,18,21,8,63,1,6,71,13,3,53,67,5,41,45,65,64,37,61,26,19,52,50,40,35,4,24,22,49,69,55,14,7,68,38,31,30,34,12,23,16,62,32
21,50,30,6,34,64,3,1,12,38,19,68,26,45,16,42,4,53,13,23,20,29,7,37,40,62,41,39,32,28,31,71,36,52,59,70,72,55,24,63,49,57,14,48,22,35,17,18,60,2,46,47,69,15,5,51,65,33,25,61,10,8,54,67,56,43,66,11,44,9,27,58
22,55,49,15,54,63,44,66,14,31,5,71,51,10,67,53,27,61,18,56,16,28,35,72,25,52,38,6,46,34,43,65,47,9,37,33,69,17,11,1,32,7,58,13,4,62,59,36,12,30,42,68,8,45,29,23,2,20,64,70,39,3,60,57,48,26,19,40,50,21,24,41
23,45,70,7,35,56,69,41,4,37,60,33,3,50,32,24,57,62,19,22,68,58,55,8,36,5,49,47,67,29,11,48,30,2,15,10,26,64,46,39,12,38,21,40,6,16,20,34,31,54,63,43,9,1,28,42,25,18,44,27,66,65,52,72,71,59,51,61,14,17,13,53
24,2,53,13,51,18,47,28,58,39,42,65,64,11,31,40,46,17,21,26,48,12,54,52,66,43,71,57,14,59,68,69,20,19,16,61,22,62,9,27,34,30,44,3,23,25,29,8,33,32,41,72,49,67,60,38,36,1,45,50,56,15,5,63,6,4,55,70,10,37,35,7
25,48,8,63,61,7,33,38,20,30,36,23,5,6,37,59,9,10,49,1,69,41,42,3,15,72,65,70,44,40,4,45,18,55,27,54,56,60,66,35,50,19,17,57,51,67,39,53,52,11,71,13,12,64,14,43,68,21,62,58,26,28,29,24,22,16,32,47,31,46,2,34
26,56,17,4,52,71,67,16,1,29,62,53,14,44,35,55,34,64,43,72,45,60,36,21,32,61,31,27,12,50,23,41,51,13,25,63,42,8,58,10,24,2,15,70,28,47,68,48,22,5,69,66,7,19,6,37,59,11,46,33,9,20,49,30,39,65,18,38,54,40,3,57
27,62,50,46,9,72,58,68,70,11,22,24,57,39,49,54,52,47,67,63,40,37,18,6,71,19,13,33,20,2,8,66,64,29,38,43,30,7,44,65,5,59,28,56,60,32,10,14,55,16,21,4,61,3,41,34,26,48,31,1,35,17,12,23,53,25,45,42,51,69,36,15
28,41,16,14,32,6,65,25,13,66,2,59,15,20,12,17,3,60,68,34,30,10,38,46,69,53,11,7,51,26,35,57,1,5,39,21,50,23,48,36,4,45,61,31,37,18,42,70,49,67,24,40,27,54,71,56,9,43,29,47,19,63,62,58,44,72,52,22,8,64,55,33
29,64,19,42,60,51,36,21,15,34,18,45,8,47,43,4,5,65,7,14,33,31,25,70,44,22,54,48,28,56,3,24,12,40,58,32,62,9,41,13,26,52,55,72,69,2,1,49,39,35,57,38,10,53,46,63,30,17,66,23,68,59,37,61,50,20,27,71,6,67,16,11
30,66,54,40,26,10,5,9,37,27,71,55,1,69,19,23,48,11,35,50,39,61,59,56,64,57,42,29,63,53,67,6,72,17,22,49,14,31,16,20,68,25,46,36,33,38,15,47,7,62,60,51,44,4,65,58,8,3,13,32,52,24,45,41,43,34,28,21,2,12,70,18
31,52,68,38,46,55,12,24,35,3,67,21,70,61,13,63,8,2,27,58,32,4,49,44,20,41,62,45,36,17,16,33,34,7,23,65,28,19,37,47,69,43,18,53,66,30,71,72,6,64,59,26,25,11,39,50,10,15,14,51,22,60,42,1,54,40,5,57,48,29,9,56
32,49,60,61,45,23,48,39,43,63,44,41,22,30,56,72,51,28,25,29,9,47,2,1,16,50,18,21,37,52,58,10,14,15,3,57,12,6,59,40,71,8,42,27,24,11,46,54,65,34,33,36,55,70,17,20,69,67,5,7,53,4,31,66,19,64,13,35,68,62,26,38
33,57,65,59,11,43,4,17,54,64,69,40,7,38,18,31,16,15,71,6,66,53,24,26,13,10,35,46,19,55,62,9,42,60,68,48,34,45,27,70,51,67,20,1,21,5,61,50,37,3,29,58,56,23,22,32,52,47,2,30,44,12,36,28,14,8,39,41,25,49,72,63
34,58,20,12,22,1,14,53,50,6,26,28,72,29,42,44,36,56,62,30,3,17,8,23,51,24,39,67,25,5,38,70,46,47,11,71,4,41,49,32,2,64,54,35,52,19,63,13,68,43,9,45,31,33,57,66,21,27,48,40,55,18,15,16,37,69,60,7,59,61,10,65
35,70,69,67,62,5,2,47,7,72,57,10,32,27,33,48,40,41,37,59,52,45,63,15,68,12,55,43,9,22,60,30,19,26,66,44,18,53,61,54,8,21,29,65,39,28,56,31,23,25,17,14,36,16,42,13,6,64,49,38,51,34,46,50,58,3,11,24,71,20,1,4
36,71,51,47,13,34,42,18,19,8,68,37,21,9,20,52,39,46,38,55,54,11,5,66,14,58,61,65,69,49,59,1,56,28,31,64,29,25,15,12,22,50,10,16,3,7,41,40,4,44,48,24,2,63,45,26,35,53,60,57,17,70,72,43,32,33,62,67,30,6,23,27
37,3,55,17,44,31,30,48,45,50,49,16,66,25,60,7,64,13,24,21,70,43,65,2,23,34,53,4,40,63,27,54,32,36,33,11,35,52,67,58,72,71,38,6,62,15,26,57,51,22,20,12,1,28,18,61,19,39,59,29,8,41,69,5,10,68,9,56,46,14,47,42
38,23,10,8,29,16,15,11,56,46,59,3,41,67,58,57,1,18,31,4,28,51,22,64,7,20,6,68,26,71,50,61,13,14,24,69,60,39,70,66,30,17,9,63,12,42,43,33,32,27,62,37,47,5,40,55,72,19,34,54,65,2,25,49,35,52,21,45,36,53,48,44
39,28,9,53,25,36,6,62,63,65,52,35,61,14,54,12,26,32,47,40,42,19,60,27,17,33,30,38,10,72,57,3,41,20,43,56,2,1,5,46,45,23,48,49,13,59,44,21,34,29,50,18,16,8,68,69,70,71,4,31,67,64,11,51,7,15,24,37,22,58,66,55
40,1,24,68,21,33,27,22,49,4,25,19,6,2,53,70,29,71,50,69,67,16,34,62,45,31,48,8,15,42,65,51,5,18,7,37,36,72,63,44,57,55,11,14,64,9,58,60,35,41,66,52,30,46,43,10,38,59,28,56,3,13,47,26,61,12,23,39,20,32,17,54
41,5,72,56,64,52,66,57,23,58,11,20,46,26,45,33,14,43,55,39,12,48,10,69,4,59,37,32,29,35,2,44,17,16,21,67,13,68,54,34,47,3,22,24,40,61,53,51,25,7,8,65,70,49,15,36,50,62,9,42,63,71,6,27,38,19,1,60,18,30,31,28
42,12,15,60,18,54,72,59,51,32,28,13,63,49,34,35,61,9,44,36,46,7,58,71,47,30,1,3,66,39,70,50,55,25,40,8,10,24,53,38,62,69,19,26,31,17,27,20,16,56,64,6,23,41,67,22,11,65,37,68,33,45,4,48,57,21,2,14,29,5,43,52
43,30,67,19,27,20,24,70,10,2,38,51,31,5,17,62,65,22,64,68,41,49,57,18,56,60,21,9,33,23,47,37,6,59,45,42,52,15,55,28,1,29,35,4,14,34,36,69,58,46,11,71,54,48,53,12,32,7,61,72,16,39,3,44,40,66,26,13,63,8,25,50
44,13,7,26,37,69,16,61,39,14,48,56,50,65,71,3,23,66,15,8,29,38,21,53,43,36,28,54,22,11,52,27,63,12,19,4,17,30,25,18,6,60,32,20,59,68,47,10,45,55,72,57,5,2,62,31,40,46,58,35,1,42,24,9,64,67,49,33,70,41,34,51
45,4,21,32,8,58,41,71,9,42,40,34,55,1,47,68,11,20,6,70,72,35,61,25,31,63,5,44,24,64,48,67,49,62,57,46,23,51,43,26,56,33,27,37,2,52,50,12,19,66,38,39,3,60,13,14,54,28,7,69,18,10,30,29,17,36,65,53,16,22,15,59
46,63,22,50,3,2,29,33,53,69,17,12,52,60,10,36,66,45,59,57,1,54,26,40,27,13,8,14,34,18,7,58,28,72,61,38,31,16,64,9,65,41,70,51,5,39,48,37,30,42,67,15,35,21,24,49,23,25,43,44,71,62,32,11,20,55,47,6,56,68,4,19
47,6,14,62,43,35,64,67,55,5,24,36,4,68,15,37,30,51,17,25,56,20,19,42,3,11,2,16,41,13,21,32,29,39,53,34,40,69,65,48,7,61,66,10,49,22,8,71,18,9,28,59,58,44,33,52,1,63,12,26,27,46,23,54,70,50,72,31,38,60,57,45
48,18,59,65,70,57,38,26,31,7,27,54,30,58,44,19,28,16,10,52,23,62,50,9,22,49,46,15,72,12,45,14,71,1,47,66,33,3,39,42,60,68,67,55,25,56,11,24,13,63,6,61,32,29,34,4,51,5,20,53,21,36,41,35,8,2,69,17,40,43,64,37
49,11,61,25,28,66,71,44,40,60,41,18,39,46,24,8,72,5,63,33,4,32,6,68,67,35,50,69,59,62,53,64,65,43,70,51,20,2,19,37,23,15,36,21,57,29,38,1,54,31,14,17,26,47,48,27,16,45,56,52,30,22,55,10,34,42,12,58,3,13,7,9
51,9,23,54,53,49,56,34,47,1,16,42,45,64,48,21,38,12,60,2,27,13,37,7,29,55,52,58,17,20,24,31,26,35,10,30,6,22,36,11,33,32,40,46,8,63,72,4,3,50,43,69,68,25,66,44,57,41,15,14,70,5,65,19,59,62,61,18,28,71,67,39
55,10,63,36,17,19,31,13,28,15,29,43,23,32,59,22,69,67,34,3,26,5,14,39,12,51,70,66,56,57,25,38,44,8,54,58,68,50,35,4,52,62,53,41,30,71,45,65,2,61,18,42,64,7,9,6,20,37,24,48,40,49,21,60,1,46,16,27,47,11,33,72
52,7,6,69,68,65,39,45,8,20,33,57,9,22,70,41,42,37,53,24,61,30,46,11,72,1,47,40,18,60,55,4,48,34,71,27,32,49,21,14,13,28,43,44,16,23,67,15,5,17,36,10,19,59,56,62,3,2,50,64,38,25,58,31,26,29,63,54,66,51,12,35
2,15,12,35,40,3,17,37,21,54,50,62,11,43,4,25,63,27,58,67,31,71,64,65,19,38,16,41,52,36,6,46,9,61,42,22,5,29,20,56,59,18,47,60,7,66,70,26,28,72,39,1,45,30,51,8,55,68,33,13,57,14,34,53,23,48,44,32,49,10,69,24
59,14,1,66,5,50,10,32,30,61,35,72,71,21,2,16,18,49,56,13,44,57,29,33,28,48,26,25,23,19,51,68,69,3,63,62,41,58,7,24,31,12,45,34,54,40,64,55,43,70,53,27,20,37,38,11,17,60,47,8,4,9,67,6,52,39,22,15,42,65,46,36
58,29,4,27,20,60,70,46,38,26,53,64,34,62,55,51,47,8,11,48,65,69,15,36,24,39,45,49,42,43,10,5,54,37,9,28,67,14,1,16,17,44,72,50,19,6,57,52,41,33,40,22,13,12,23,71,61,31,63,66,32,35,59,7,30,18,56,3,21,25,68,2
57,33,39,31,42,32,18,36,22,68,3,14,67,56,6,1,54,7,40,66,60,9,52,17,53,2,44,71,61,21,30,23,15,11,13,59,64,38,12,8,63,51,25,58,48,69,62,35,47,49,4,46,34,65,72,29,24,10,70,19,50,16,28,45,41,27,37,20,43,55,5,26
64,34,41,16,72,13,51,12,25,44,8,7,48,24,28,5,59,19,23,20,50,55,43,63,10,66,27,37,47,67,40,35,70,4,56,26,45,46,18,3,39,49,2,33,53,65,31,32,38,60,30,9,15,36,58,21,42,54,11,22,6,68,17,14,69,71,57,1,61,52,29,62
62,24,47,52,38,46,9,15,29,19,37,69,25,36,30,49,58,3,61,45,35,42,41,32,70,54,22,34,6,31,33,20,16,50,65,60,57,27,17,71,10,26,5,68,11,1,12,59,14,21,13,7,67,55,64,28,43,72,18,39,2,51,8,56,66,63,53,48,4,44,40,23
56,21,11,30,71,45,40,65,6,43,63,66,10,13,14,26,53,39,1,18,17,68,72,59,62,4,57,28,7,32,41,8,2,31,44,36,55,48,23,61,25,37,3,22,42,20,54,29,27,24,19,60,51,69,35,5,33,52,16,46,12,47,64,15,67,49,38,50,9,34,58,70
67,22,43,2,23,48,55,5,60,51,47,4,27,35,52,29,50,33,69,16,6,14,12,38,8,18,56,64,45,68,17,11,24,58,49,72,19,40,57,15,70,42,30,62,9,46,21,66,44,71,34,63,28,39,3,65,53,26,1,25,20,31,61,37,36,32,59,10,7,54,41,13
61,26,44,49,63,37,68,58,33,17,65,70,28,31,41,32,13,21,54,71,15,25,67,20,34,9,3,35,30,46,1,12,53,66,29,39,47,59,52,69,43,16,7,64,36,55,2,23,48,10,51,8,22,40,50,45,18,57,27,62,11,56,38,42,72,6,4,5,24,19,14,60
50,19,42,1,7,11,53,4,59,12,23,60,20,57,40,38,2,36,72,46,64,24,31,55,5,14,10,51,39,54,69,13,62,22,48,15,9,56,32,41,27,34,6,28,35,37,18,63,61,52,16,70,66,17,26,25,67,29,30,49,58,44,43,71,65,45,8,68,33,47,21,3
66,20,46,34,39,62,8,3,16,18,9,61,44,42,72,71,10,70,22,43,47,27,28,49,58,65,19,60,1,14,29,63,7,33,52,25,21,26,6,67,38,11,13,12,45,50,5,68,53,57,32,56,4,24,37,41,15,69,23,36,59,48,40,55,51,54,35,2,64,31,30,17
54,27,45,57,24,67,25,69,64,52,31,15,17,37,11,56,6,68,30,51,63,2,23,48,26,40,59,36,53,61,22,43,21,38,55,50,8,66,10,5,35,4,65,29,47,44,49,19,62,58,3,41,71,42,1,60,34,14,32,9,7,72,33,18,13,28,70,46,12,39,20,16
68,35,40,48,41,21,28,14,72,70,56,26,29,3,65,9,15,44,12,7,34,8,13,50,37,32,33,62,5,16,71,42,52,51,46,18,53,4,60,45,64,24,1,17,67,58,30,39,20,59,2,31,38,6,54,47,49,36,55,10,23,66,27,22,25,11,43,19,69,57,63,61
71,36,38,64,55,30,1,35,66,10,32,49,59,18,7,61,45,31,41,19,58,39,4,60,21,25,43,20,27,65,37,47,57,23,2,24,63,28,51,72,40,54,56,69,70,33,3,42,46,26,68,44,11,14,16,9,48,22,6,67,34,53,13,12,5,17,29,52,62,15,50,8
53,32,13,58,6,22,54,2,57,48,55,5,33,16,63,46,62,4,42,49,11,36,44,47,52,69,67,12,70,9,15,18,59,30,17,3,43,34,31,68,19,14,8,61,72,10,25,56,64,45,23,29,50,27,20,7,39,40,71,28,37,26,1,21,24,60,41,51,65,35,38,66
69,17,5,51,12,26,19,50,34,67,39,6,47,8,23,27,24,25,29,38,10,70,56,16,61,42,7,13,55,3,66,72,60,68,14,20,54,71,33,49,36,9,57,15,32,41,28,22,40,65,37,48,62,18,31,2,64,35,21,45,43,52,63,46,4,58,30,44,11,59,53,1
60,8,28,9,14,59,23,52,41,62,45,1,53,51,50,43,20,35,65,37,21,40,66,54,46,64,29,11,2,38,34,39,10,27,69,16,7,44,30,22,58,48,63,71,26,24,13,6,67,12,5,55,33,61,32,68,56,4,17,3,15,19,57,70,47,31,25,36,72,42,18,49
65,25,3,33,4,44,63,49,24,71,30,22,68,19,66,67,17,48,28,32,62,18,45,35,57,15,72,31,50,58,26,36,40,64,5,1,61,42,13,29,55,46,39,52,43,51,34,7,11,69,47,21,53,10,70,59,12,8,38,41,60,54,20,2,16,9,14,23,37,27,56,6
72,16,18,29,15,61,7,42,11,13,21,58,38,12,39,64,55,57,26,5,59,22,3,30,6,68,17,63,8,4,49,56,45,32,41,35,70,37,47,2,53,20,31,23,27,60,14,9,36,1,54,25,43,52,19,46,66,44,51,65,24,69,50,62,33,10,40,34,67,28,71,48
70,31,37,10,56,47,43,20,27,36,46,2,40,54,69,34,60,52,14,9,53,33,1,51,41,71,23,24,48,44,28,19,25,67,6,12,65,11,62,50,21,66,59,18,38,4,16,17,8,15,35,49,72,57,63,30,58,13,42,5,61,29,39,68,3,7,64,55,26,45,32,22
