# c-balanced sequence
# n=69
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
20,61,57,6,5,26,52,2,37,41,38,54,10,22,63,7,50,19,4,67,18,30,34,65,60,33,16,21,1,27,11,39,64,25,14,9,13,45,23,48,53,12,68,51,35,28,59,43,69,3,32,24,31,17,66,8,47,46,62,55,36,42,44,15,49,56,29,58,40
21,40,65,11,45,67,17,46,58,47,62,16,14,49,28,12,53,35,55,56,24,43,39,54,61,23,15,7,51,36,18,29,32,38,8,59,5,30,69,42,2,10,66,1,20,57,19,34,50,44,22,26,4,48,3,27,9,25,60,41,31,6,64,33,37,13,52,68,63
22,36,4,9,3,27,33,47,50,31,44,56,34,13,69,20,25,32,66,21,57,42,28,8,10,35,37,26,46,49,48,54,43,63,60,24,58,68,6,62,52,7,15,41,38,14,64,65,12,55,11,39,45,29,51,61,40,67,5,19,59,23,17,1,2,16,18,53,30
23,41,12,10,1,60,14,39,17,30,18,64,66,37,42,2,38,51,13,6,29,45,58,26,25,53,11,62,52,68,59,31,15,44,57,19,40,3,61,8,56,16,55,69,4,24,67,33,20,27,63,5,36,49,7,34,50,54,43,28,35,48,9,22,65,21,46,47,32
24,42,7,16,32,36,54,28,40,51,55,19,63,68,23,61,48,30,31,43,11,27,59,1,69,5,64,9,66,4,6,65,45,47,50,67,35,22,44,29,33,21,17,34,18,53,46,8,49,58,56,37,2,57,41,12,62,13,3,26,52,10,25,39,14,38,20,60,15
25,57,8,59,43,53,49,48,5,35,34,33,6,15,62,65,17,46,29,40,2,3,22,14,50,19,38,20,63,41,28,12,52,36,27,18,64,26,56,54,9,39,11,13,42,47,32,37,23,60,51,1,16,68,10,21,30,55,58,24,44,61,7,4,66,69,45,67,31
26,50,55,58,68,15,69,56,3,64,32,45,67,41,52,21,60,9,23,61,10,8,20,44,49,7,47,24,13,39,57,16,66,1,62,11,46,4,51,37,28,14,31,5,30,40,48,2,38,17,19,27,35,25,42,65,6,63,53,34,33,18,12,54,36,22,43,29,59
27,65,18,39,4,20,34,37,44,13,1,31,38,35,29,16,54,36,58,14,52,53,12,45,5,40,17,33,25,2,22,9,60,30,48,42,23,10,3,41,55,49,61,43,6,7,63,24,59,28,67,21,46,69,64,19,15,68,47,66,8,26,32,56,50,62,57,51,11
28,43,47,67,11,6,2,66,61,46,10,22,69,7,39,33,24,26,57,63,50,19,4,68,51,42,30,65,18,56,15,55,58,37,20,34,32,21,53,59,35,25,44,62,52,45,12,13,36,29,41,31,40,14,8,38,60,49,1,54,64,16,5,27,48,23,3,17,9
29,63,56,37,51,19,38,8,9,27,14,21,3,12,1,5,11,49,59,47,62,36,16,48,46,41,60,31,32,23,64,61,53,4,13,54,2,69,17,43,65,57,67,10,26,39,68,15,22,25,66,34,20,44,50,28,52,18,35,7,45,30,40,6,24,42,58,55,33
30,64,60,48,12,21,42,15,23,53,52,2,50,25,55,45,66,44,69,68,17,34,18,6,32,67,43,54,59,35,8,24,3,28,40,38,33,16,31,7,26,19,63,27,9,58,11,1,29,47,5,65,62,4,36,39,56,22,37,20,57,13,14,51,46,10,61,49,41
31,62,49,35,13,54,41,58,22,7,24,17,4,30,20,57,51,40,28,65,39,26,66,56,33,55,34,29,27,1,14,10,25,42,6,5,15,36,8,47,60,45,64,37,46,21,50,59,61,43,16,18,3,52,53,32,11,48,9,38,23,67,69,63,68,44,2,19,12
32,44,46,45,59,22,18,16,62,57,48,63,40,47,36,27,10,37,25,7,38,15,11,61,52,9,58,13,49,19,20,69,5,41,67,39,66,55,12,1,50,68,23,54,56,60,35,51,42,14,30,2,26,33,43,24,31,6,17,4,29,53,3,64,21,65,34,8,28
33,68,5,3,61,9,56,23,31,26,42,6,8,43,65,67,14,41,53,35,64,46,60,2,24,63,12,22,69,30,50,7,51,21,17,29,52,28,11,34,4,18,32,48,66,44,54,62,40,49,15,57,38,13,19,20,55,27,10,39,16,1,45,58,59,36,37,25,47
34,38,14,1,25,40,50,55,20,4,29,39,59,53,33,19,43,13,49,54,37,51,47,21,57,36,28,6,10,44,16,62,63,68,18,26,45,27,48,24,58,9,3,8,2,32,65,41,17,69,64,22,12,67,23,66,61,42,46,56,11,52,15,60,30,7,31,5,35
35,52,67,60,69,10,19,24,11,66,65,32,16,28,18,17,61,64,8,12,27,58,41,22,31,15,45,38,48,3,37,47,56,23,59,2,44,14,57,46,36,30,20,42,49,33,29,5,6,54,53,7,9,55,1,62,13,51,68,25,50,21,39,34,63,43,40,4,26
36,17,2,26,21,46,6,68,13,11,51,58,54,42,44,3,15,1,56,20,5,55,30,39,23,4,62,18,9,40,29,43,35,49,7,31,34,25,38,66,16,50,19,12,53,61,8,64,14,52,10,45,60,63,47,37,33,59,67,69,22,65,41,28,27,48,32,24,57
37,27,66,47,53,28,30,45,12,25,64,5,57,9,7,34,63,50,67,60,48,32,68,29,3,10,1,8,55,14,21,52,24,33,65,51,43,61,41,35,39,40,22,11,69,15,13,4,18,23,31,16,59,58,17,46,2,36,26,44,62,49,54,19,56,20,6,38,42
38,23,15,33,24,69,7,59,43,54,41,61,49,52,58,56,2,31,42,4,44,16,9,37,13,28,26,34,36,60,39,67,19,64,46,22,30,6,62,20,1,17,47,65,25,63,27,3,45,68,48,50,57,32,21,35,14,29,12,5,40,51,11,55,18,8,10,66,53
39,29,10,55,8,65,16,4,63,49,45,14,17,48,21,62,6,22,32,18,19,59,40,69,20,27,35,57,53,66,68,46,31,11,12,50,42,56,54,13,5,67,51,36,37,23,33,38,24,26,44,30,25,61,28,41,34,60,7,47,58,15,43,2,9,3,1,52,64
40,1,3,62,50,51,57,64,36,34,12,18,5,60,46,38,35,66,26,10,8,33,65,52,54,11,42,25,61,59,41,48,44,32,47,58,9,63,29,15,21,53,43,2,28,22,55,6,7,19,4,20,69,56,49,17,39,45,24,30,27,37,31,67,23,14,68,16,13
41,19,20,14,7,31,67,13,47,44,28,15,27,51,68,23,30,11,36,24,1,25,53,38,43,64,2,56,54,5,65,17,26,45,4,3,37,57,49,52,69,60,59,55,21,16,34,9,39,46,8,6,58,10,48,40,63,50,18,32,42,66,61,35,33,29,22,12,62
42,30,48,18,9,32,35,61,2,52,37,46,26,29,22,39,47,69,45,16,21,23,63,17,6,49,7,58,33,50,34,13,55,53,51,8,10,62,67,65,14,64,24,28,40,31,56,66,1,12,27,11,68,15,54,5,4,43,41,3,19,38,20,25,57,59,60,36,44
