# c-balanced Latin square
# n=31
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
1,31,18,9,10,7,21,20,5,17,26,29,28,11,24,22,27,23,14,13,4,6,19,15,16,3,12,30,25,8,2
2,22,11,19,23,6,14,13,8,18,15,9,25,21,16,12,3,29,26,30,5,1,20,28,27,24,17,10,7,31,4
3,26,16,28,27,12,29,30,24,4,6,2,19,1,20,31,10,21,15,17,7,8,25,13,18,14,23,5,9,22,11
4,30,24,17,8,31,15,25,27,7,22,3,13,14,5,23,6,28,2,16,11,9,12,10,29,21,19,26,18,20,1
5,25,20,13,14,4,19,17,23,1,10,12,8,7,30,9,11,18,24,27,22,2,3,31,26,6,28,29,21,15,16
6,21,12,29,15,11,9,3,2,28,16,5,20,10,18,4,26,19,25,8,31,24,17,7,1,30,22,27,14,13,23
7,23,15,25,26,18,10,22,16,30,21,24,31,27,17,8,13,1,12,28,20,14,29,4,9,5,11,2,19,3,6
8,29,27,5,20,1,16,28,31,13,11,14,26,22,6,19,2,7,3,9,25,21,18,30,23,15,4,24,12,10,17
9,17,14,2,21,3,24,1,6,12,19,23,30,4,29,25,15,20,31,18,10,16,11,5,22,13,7,8,28,26,27
10,19,13,30,22,28,27,4,11,9,31,7,18,12,2,15,14,8,5,6,3,23,26,21,17,25,20,1,16,24,29
11,28,7,3,16,5,8,26,29,20,25,4,15,23,13,21,24,17,22,1,19,10,27,2,12,31,9,18,6,14,30
12,24,22,6,31,2,23,18,19,14,27,1,17,9,26,10,30,16,4,21,29,15,7,8,20,11,25,3,13,28,5
13,18,10,26,24,30,25,5,21,29,8,17,27,16,3,7,20,6,11,23,12,28,22,14,4,2,1,31,15,19,9
14,20,1,4,25,17,22,12,15,3,18,10,6,2,31,28,5,9,27,29,26,30,13,19,24,8,16,23,11,21,7
15,27,21,23,9,19,26,7,14,2,30,11,16,28,8,1,29,4,13,24,17,18,5,6,3,22,10,20,31,25,12
16,8,29,31,6,13,2,11,10,23,20,21,24,3,25,5,22,12,19,7,14,26,1,9,28,27,15,17,30,4,18
17,3,5,1,12,15,7,9,28,25,4,13,22,19,11,18,23,14,30,20,2,31,24,16,21,10,8,6,27,29,26
18,4,30,27,28,8,20,6,26,24,1,31,29,15,21,14,9,25,10,3,16,11,23,17,7,12,13,19,2,5,22
19,2,23,16,11,21,12,10,13,22,9,26,5,30,7,17,28,31,18,15,27,4,8,25,6,20,29,14,3,1,24
20,14,25,7,19,29,18,31,17,8,5,6,3,24,12,27,16,30,1,2,13,22,15,11,10,4,26,21,23,9,28
28,6,9,22,1,24,30,16,3,15,2,27,10,8,4,26,19,11,21,5,23,13,31,29,14,7,18,12,20,17,25
26,10,31,11,3,14,4,29,7,21,12,18,23,20,1,13,17,22,6,25,9,27,28,24,2,19,30,15,5,16,8
24,13,8,15,17,23,5,27,20,16,28,19,14,25,9,2,7,10,29,26,6,12,30,18,31,1,3,22,4,11,21
21,12,4,24,30,9,31,2,1,6,23,22,11,29,28,20,18,5,8,19,15,17,16,3,25,26,14,7,10,27,13
27,5,26,10,18,22,3,14,25,11,17,8,7,13,15,30,12,24,16,4,21,20,9,1,19,23,2,28,29,6,31
25,7,2,20,29,16,13,21,4,19,3,30,1,17,27,6,31,15,28,12,8,5,10,22,11,18,24,9,26,23,14
22,9,6,18,5,25,1,15,12,31,14,28,21,26,23,11,4,3,7,10,24,29,2,20,13,17,27,16,8,30,19
23,11,19,8,2,27,17,24,30,10,13,16,9,31,22,29,25,26,20,14,18,3,6,12,5,28,21,4,1,7,15
29,15,28,14,4,26,6,19,22,5,7,20,12,18,10,16,8,27,17,11,1,25,21,23,30,9,31,13,24,2,3
30,16,17,21,13,10,11,23,18,27,24,15,4,6,19,3,1,2,9,31,28,7,14,26,8,29,5,25,22,12,20
31,1,3,12,7,20,28,8,9,26,29,25,2,5,14,24,21,13,23,22,30,19,4,27,15,16,6,11,17,18,10
