# c-balanced Latin square
# n=49
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
1,39,49,17,26,9,14,31,40,24,19,13,47,4,16,27,32,25,15,33,38,20,11,48,8,21,2,43,34,28,18,35,36,6,45,46,41,42,7,23,10,5,12,37,3,30,44,29,22
2,45,23,36,12,8,37,29,41,21,25,7,9,11,42,28,43,17,44,6,13,26,30,27,1,40,22,47,46,16,5,10,3,31,15,48,24,14,18,33,19,38,49,35,34,32,4,39,20
3,44,33,46,15,48,22,6,18,20,30,10,38,35,14,31,5,45,34,23,41,36,29,37,42,39,12,24,19,7,49,4,8,26,32,17,25,11,1,2,13,40,43,21,27,47,9,16,28
4,30,19,16,42,10,35,34,32,28,5,43,8,29,46,39,21,49,1,22,2,3,12,18,7,23,41,15,9,45,20,38,40,37,44,33,13,47,31,27,17,36,14,26,11,6,24,48,25
5,38,18,32,28,7,47,11,26,27,34,48,3,37,33,24,20,36,40,35,4,46,10,16,44,31,14,6,13,17,25,29,43,1,30,12,9,49,39,21,8,22,45,42,2,19,15,41,23
6,21,41,13,40,43,25,12,44,49,15,22,17,45,1,23,2,47,9,8,39,19,14,24,4,32,10,35,37,42,48,33,27,11,34,28,20,16,26,29,3,30,18,46,38,5,31,7,36
7,37,20,14,11,27,24,13,42,16,46,2,36,49,41,40,12,3,18,29,48,31,5,47,28,9,26,38,30,39,32,22,23,25,21,4,19,10,6,45,34,15,44,8,33,17,35,43,1
8,29,27,35,31,38,23,1,45,4,33,39,18,44,10,26,6,30,19,16,42,25,21,43,34,17,5,49,3,36,11,15,24,7,14,47,22,2,46,28,20,32,41,9,48,12,13,37,40
9,43,47,24,34,20,30,3,17,36,23,31,32,19,15,22,48,14,7,37,11,28,45,40,46,25,13,33,29,12,21,41,2,18,8,27,5,38,44,35,16,39,6,4,1,26,42,10,49
10,48,22,25,21,2,33,15,5,39,41,6,12,28,34,8,13,38,26,30,32,17,9,49,35,20,44,11,27,4,1,19,47,16,42,43,40,36,3,37,31,29,7,23,24,45,18,14,46
11,46,26,48,47,19,16,49,2,37,42,1,40,6,7,29,35,4,10,24,43,15,22,33,38,45,36,18,20,31,44,14,12,5,39,3,23,32,30,41,25,9,13,28,17,21,34,27,8
12,32,28,44,39,5,36,4,9,3,14,45,21,25,18,17,19,42,41,31,27,7,1,23,13,6,30,16,8,2,37,46,34,49,22,29,35,43,48,40,26,24,47,20,15,10,33,11,38
13,24,40,29,22,1,18,38,35,43,8,27,33,30,20,37,44,11,46,49,21,47,34,15,41,3,48,28,14,26,23,6,9,10,19,7,45,17,12,36,42,4,16,31,39,25,5,32,2
14,42,31,4,45,41,17,46,7,10,9,26,20,23,2,3,34,16,27,12,5,24,8,32,36,33,29,25,1,43,40,39,13,48,35,38,21,28,15,11,44,37,19,49,18,22,47,6,30
