# c-balanced sequence
# n=66
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
21,35,42,15,28,55,16,3,60,36,41,49,33,59,56,11,43,52,5,12,39,26,24,40,18,2,9,23,7,17,14,22,19,30,57,38,13,58,37,50,44,31,61,54,64,62,48,29,20,10,27,25,65,53,8,47,1,6,46,45,66,63,51,32,4,34
22,63,6,7,8,57,1,48,47,50,2,31,51,46,26,34,18,66,40,45,30,32,14,44,20,4,27,38,52,65,35,61,54,41,36,21,42,55,10,24,19,16,60,17,49,53,9,43,23,37,28,11,3,12,5,15,33,59,13,58,39,64,25,29,62,56
23,57,10,39,47,9,38,29,31,58,54,64,27,5,28,44,22,21,19,62,3,59,13,16,7,17,37,49,53,12,33,25,8,46,15,20,1,56,11,43,51,63,45,6,4,66,2,65,34,24,14,32,42,18,52,30,61,35,40,50,41,48,26,60,55,36
24,49,4,64,60,35,45,25,62,14,13,1,53,66,33,15,6,36,55,65,43,21,63,61,52,11,30,31,18,51,56,26,32,50,34,48,3,23,40,16,29,41,28,59,12,27,58,22,8,46,5,9,44,39,54,20,38,17,57,2,7,19,10,37,47,42
25,55,59,5,52,19,46,56,17,30,20,39,37,38,65,12,42,32,13,58,51,22,23,2,29,50,48,36,54,41,34,10,44,4,40,66,45,27,53,9,11,7,47,62,18,14,33,57,60,1,61,6,63,35,24,26,3,64,31,8,43,21,15,28,16,49
26,40,43,3,33,2,56,18,66,54,16,61,23,8,41,10,48,7,60,9,6,53,39,45,28,59,46,15,21,1,57,47,63,62,42,24,32,35,51,17,5,38,49,50,36,37,64,52,12,25,19,4,58,55,11,29,14,30,34,20,27,31,22,13,44,65
27,52,44,58,12,11,65,49,32,26,63,34,17,36,31,35,50,24,14,10,47,4,8,19,5,64,57,16,20,13,40,28,3,55,37,61,29,22,25,21,1,30,48,43,33,7,23,41,15,53,54,42,56,2,45,39,60,9,62,46,51,18,66,6,38,59
28,53,54,14,7,48,41,15,37,19,9,44,62,45,20,55,51,46,29,38,18,25,42,58,6,1,66,60,5,24,43,39,11,31,64,49,10,30,8,27,59,47,2,13,34,63,35,50,16,26,36,17,33,21,22,32,65,4,56,12,52,61,40,23,57,3
29,34,50,61,51,36,40,64,21,43,22,12,60,7,16,30,27,59,56,2,57,11,3,17,33,65,38,32,42,4,37,23,9,35,62,18,66,39,26,58,15,44,20,52,19,6,5,46,49,31,10,47,13,48,28,63,41,1,14,55,24,25,8,53,54,45
30,42,47,8,6,41,24,59,28,5,39,18,13,52,57,1,23,4,49,63,20,31,55,35,56,26,14,22,2,45,15,16,46,65,53,12,19,25,34,48,60,54,32,3,29,21,51,17,43,66,40,62,38,37,44,61,10,27,11,7,33,36,58,64,9,50
31,62,1,46,21,38,53,10,6,11,15,25,66,9,3,47,4,26,33,50,37,28,54,41,27,48,43,61,29,44,8,58,7,17,5,63,56,14,36,52,64,22,40,65,30,24,13,18,45,23,60,55,34,57,51,59,16,49,42,39,12,35,20,19,32,2
32,60,16,45,55,17,22,39,51,35,8,3,18,58,19,40,63,54,65,44,61,49,64,12,34,24,23,25,36,46,6,50,13,38,14,47,59,41,33,2,42,20,10,57,53,1,28,9,56,11,52,27,62,7,15,66,43,5,4,37,30,26,21,31,29,48
