# c-balanced sequence
# n=92
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
15,50,91,28,43,9,45,54,23,25,82,32,5,4,19,65,63,6,79,84,81,46,41,90,89,70,20,18,62,12,66,35,64,21,73,71,58,56,7,26,40,59,2,37,22,29,47,13,68,55,38,80,85,27,53,11,1,61,87,51,10,92,34,60,44,86,78,8,48,16,42,83,30,24,88,77,76,49,33,31,74,3,36,14,17,72,39,52,75,69,67,57
16,49,32,31,74,6,11,52,80,92,72,86,69,73,90,59,56,3,40,2,85,27,30,14,5,24,83,10,25,47,34,57,13,53,65,19,44,55,39,51,42,54,12,87,78,76,36,43,45,67,48,8,63,26,18,77,17,68,37,79,66,75,88,33,29,58,21,64,82,15,4,22,7,81,89,60,84,1,20,9,61,41,71,46,35,23,38,91,50,70,28,62
17,48,68,36,88,62,75,66,53,78,1,51,22,27,61,21,23,76,71,12,33,26,7,29,39,67,8,31,52,84,46,77,2,4,82,10,81,28,11,5,34,9,60,41,49,40,92,64,89,59,65,69,30,20,25,43,24,3,50,38,70,91,63,83,74,35,57,87,80,14,72,37,44,58,18,56,54,90,45,32,73,6,16,85,15,13,79,19,42,55,86,47
18,72,37,24,63,38,30,56,34,83,16,46,81,42,91,68,57,58,20,41,69,40,28,64,60,48,79,89,44,55,36,71,92,3,45,35,50,6,74,70,87,86,84,75,14,52,7,4,33,90,15,2,11,47,62,54,13,12,73,82,80,26,19,22,85,1,23,9,66,5,67,32,61,27,25,17,31,88,39,29,10,78,49,77,51,59,53,8,76,65,21,43
19,60,35,59,65,8,55,67,82,18,15,70,47,85,53,66,77,13,10,32,49,54,45,43,23,14,78,86,9,63,1,80,22,29,27,72,62,51,76,30,16,38,25,61,68,31,58,57,17,12,6,79,21,88,36,71,39,5,91,52,56,28,42,2,89,90,81,4,73,40,33,92,20,11,7,69,74,75,50,44,46,48,34,83,3,84,41,87,64,26,37,24
87,90,33,84,76,4,39,25,41,29,13,64,89,62,9,10,5,43,8,57,75,73,74,81,35,26,11,15,91,77,88,21,24,85,37,20,61,65,69,50,17,55,53,1,42,83,44,34,19,46,3,78,18,32,48,72,14,27,70,23,7,47,86,54,49,30,59,6,51,31,63,79,60,16,92,68,12,82,28,38,45,2,52,67,66,40,80,22,58,36,56,71
21,92,42,61,20,71,40,83,33,3,6,12,2,56,52,58,50,87,67,44,86,31,38,49,22,51,59,66,19,16,7,48,47,54,79,64,5,23,80,13,91,46,73,24,36,90,32,27,29,28,60,70,82,10,69,41,74,76,9,4,37,45,77,57,17,84,55,68,39,34,43,65,26,8,78,75,15,72,53,30,88,63,62,89,18,1,35,14,25,85,81,11
22,74,2,7,41,73,80,78,14,45,26,79,31,65,54,51,28,39,36,1,11,68,82,70,18,3,84,17,72,4,43,76,30,59,57,56,60,34,32,48,89,37,81,8,44,63,88,66,38,75,85,50,35,92,61,87,42,40,49,24,53,58,67,16,10,15,25,62,46,12,52,71,86,90,83,64,13,5,6,55,21,29,91,23,47,77,9,69,20,33,27,19
23,77,46,49,5,47,85,92,63,28,27,88,55,30,11,37,29,86,19,34,74,90,72,16,58,38,12,53,45,13,6,69,14,89,40,25,78,1,9,75,3,82,21,71,15,26,33,52,62,80,20,83,73,66,84,91,67,22,81,64,41,51,8,35,76,48,50,43,18,24,10,56,2,57,39,36,70,4,87,65,7,32,61,79,42,44,68,59,17,54,60,31
24,81,43,17,50,70,44,48,37,36,69,8,60,35,75,42,71,64,15,88,7,53,91,77,10,25,62,55,27,56,90,33,87,67,83,2,68,52,58,47,41,18,45,6,79,57,74,54,23,39,49,51,16,4,19,59,65,31,72,34,63,20,21,78,32,9,28,11,89,61,38,40,29,85,26,66,80,14,22,76,1,30,12,82,86,46,73,92,3,5,13,84
