# c-balanced Latin square
# n=64
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
22,44,6,11,31,47,15,14,10,40,16,51,7,13,32,43,55,26,25,30,60,17,45,59,9,28,48,49,38,19,64,27,42,52,41,24,54,53,20,29,4,39,33,18,50,58,5,46,57,63,62,21,8,1,35,36,56,2,61,23,12,34,3,37
23,46,12,33,41,36,3,4,20,5,34,58,28,44,22,2,15,37,53,48,29,62,59,13,8,16,14,50,47,54,21,39,35,1,6,18,56,10,63,42,60,27,19,52,57,61,45,49,30,32,43,7,31,9,17,38,55,24,51,26,40,11,25,64
24,48,1,55,64,17,49,35,30,56,9,45,38,10,54,52,19,61,27,46,18,4,11,31,60,57,21,23,7,32,34,43,63,3,62,13,26,51,59,25,42,2,5,15,36,40,12,33,8,29,6,28,16,37,47,50,58,44,39,41,22,53,20,14
25,50,13,57,53,39,43,51,2,63,47,31,59,29,21,58,27,12,64,14,8,41,6,36,42,40,38,26,15,56,5,55,28,33,60,16,32,44,37,34,61,10,7,11,35,9,24,18,3,48,45,20,62,4,22,19,52,46,54,17,49,1,23,30
26,52,7,35,50,5,16,63,62,33,11,8,1,6,24,46,18,49,20,3,40,28,25,19,37,4,34,36,51,22,61,9,64,17,39,29,23,45,41,30,47,58,55,53,54,2,38,59,44,60,13,14,15,32,12,21,43,42,48,10,57,56,27,31
27,54,14,37,42,18,32,23,34,48,38,59,64,61,9,30,60,3,45,10,22,49,58,56,12,44,24,2,41,1,33,40,46,53,31,15,4,57,36,52,43,8,63,62,13,17,26,20,25,21,19,51,5,50,39,7,6,28,16,11,35,55,29,47
28,56,4,41,21,19,51,13,31,55,22,39,53,23,47,45,16,44,42,57,15,7,5,26,29,54,35,43,30,17,8,6,12,25,20,37,11,49,14,24,48,40,38,32,1,50,64,52,63,27,10,61,46,33,34,2,18,9,3,60,36,59,58,62
29,58,15,43,40,2,28,59,21,3,60,36,20,11,25,17,5,50,35,62,9,1,53,10,27,63,33,55,52,16,48,19,38,32,14,56,7,61,46,18,12,6,22,47,23,51,4,31,39,41,42,34,57,49,54,30,37,13,45,24,64,8,44,26
30,60,8,49,6,10,52,12,37,44,61,26,17,14,46,48,33,43,34,39,41,24,51,50,20,32,11,47,42,18,58,13,45,54,57,2,28,27,62,21,31,16,64,29,3,59,19,7,55,53,22,36,56,35,38,23,40,1,9,15,25,5,63,4
31,62,16,53,1,45,38,24,19,7,15,54,55,18,57,40,36,56,32,13,4,2,63,6,64,52,23,3,9,59,25,49,22,10,47,50,35,30,39,11,44,5,46,28,8,26,20,34,43,37,12,58,17,29,51,27,61,14,60,48,21,42,41,33
32,64,51,61,22,20,25,9,27,47,41,57,12,5,63,42,14,4,38,29,58,23,48,33,62,21,44,39,60,37,2,8,36,26,43,34,45,3,54,17,56,55,11,19,15,30,6,35,40,49,31,24,1,59,52,10,7,53,50,28,46,18,16,13
