# c-balanced sequence
# n=98
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
14,71,47,91,48,52,86,10,23,84,28,20,77,22,58,9,70,8,16,50,54,63,1,97,19,67,81,89,13,26,12,92,57,38,87,94,2,39,17,96,35,36,24,68,33,51,60,65,7,90,55,80,83,69,37,41,98,61,46,95,76,93,73,78,25,15,42,59,75,45,5,79,27,29,53,11,44,56,88,4,21,30,64,6,72,31,3,66,18,82,40,32,43,49,34,85,62,74
15,77,73,30,42,88,37,34,6,40,65,35,43,53,11,96,46,68,32,80,41,61,7,64,44,94,75,76,18,36,27,25,85,90,4,21,62,93,31,29,82,48,9,47,59,98,72,28,67,38,39,74,45,8,22,49,14,66,17,56,12,57,13,79,69,3,10,58,19,50,71,26,16,20,54,92,52,86,89,60,24,84,83,55,2,97,95,33,87,91,81,51,5,63,78,70,1,23
16,55,87,31,81,14,90,39,56,5,50,73,78,95,74,79,45,54,47,58,49,69,85,92,17,10,20,52,33,98,75,1,88,53,83,51,60,37,34,68,66,84,72,3,41,89,71,63,97,26,62,19,91,43,70,18,23,2,11,30,40,86,46,8,77,21,44,4,48,61,93,67,32,57,6,76,65,35,64,9,82,80,22,24,42,94,25,27,36,28,12,13,59,38,15,7,29,96
17,51,35,36,98,43,67,32,59,27,94,71,26,93,3,57,24,56,22,72,9,44,12,74,21,30,60,82,38,40,97,96,11,63,23,65,84,7,70,76,73,25,92,69,15,86,13,37,16,10,20,4,29,88,77,95,6,64,55,49,5,81,80,42,18,41,62,28,52,85,90,66,87,39,83,78,91,19,79,75,1,31,61,8,89,47,34,14,2,68,58,33,45,54,53,50,46,48
18,57,45,62,8,64,66,68,46,2,39,76,86,4,12,83,23,53,89,52,19,13,42,81,31,6,29,78,14,79,87,15,28,26,24,20,58,48,80,43,22,1,54,5,40,91,85,34,61,82,27,32,75,50,51,44,65,59,94,60,88,10,16,35,70,33,56,72,9,97,38,36,73,95,47,96,7,49,17,11,37,74,41,63,92,98,30,71,21,90,77,84,67,69,93,25,3,55
19,50,33,88,92,7,63,94,75,54,29,83,37,69,70,51,48,10,84,28,38,4,67,11,55,34,59,47,72,90,95,41,64,3,49,61,30,6,13,77,16,91,74,45,25,8,97,17,35,42,46,93,86,14,9,78,36,21,82,85,89,71,68,96,73,53,39,31,43,60,22,24,1,40,18,23,2,58,98,12,62,5,87,15,65,76,57,81,32,79,20,52,26,66,80,56,44,27
20,41,96,79,5,80,60,65,9,62,38,44,13,85,97,90,34,49,82,1,66,71,87,25,15,73,23,91,21,48,56,76,2,58,93,50,18,8,89,57,12,98,32,78,30,11,7,52,36,94,81,33,77,24,84,74,47,3,53,31,54,39,26,27,75,83,37,67,63,51,68,6,46,55,72,4,42,14,69,10,28,29,59,95,45,19,40,16,17,70,43,61,88,92,35,86,22,64
21,85,95,27,16,2,72,61,58,43,15,24,1,36,17,32,26,6,40,98,14,3,31,80,77,86,42,22,5,10,39,68,46,66,7,69,33,35,56,55,59,53,87,65,4,67,70,96,23,79,64,25,71,12,92,52,28,76,62,81,45,63,38,19,20,29,78,34,44,88,57,30,82,74,84,13,60,93,90,50,94,48,47,97,73,41,75,37,54,51,91,18,11,89,8,49,83,9
22,52,42,84,47,40,28,54,63,11,18,89,82,35,92,31,30,81,61,37,78,64,27,94,41,46,43,62,20,8,93,70,16,60,74,45,19,36,73,9,88,90,29,83,2,75,55,26,44,1,96,49,95,57,21,56,17,97,34,58,87,48,51,7,6,14,50,85,98,86,59,69,91,3,66,79,15,5,71,80,32,4,53,33,25,67,23,12,38,13,24,39,77,65,10,72,68,76
23,91,74,3,4,12,70,93,49,68,59,25,97,45,10,55,29,28,44,87,76,57,50,65,33,53,83,51,71,88,77,63,9,67,5,72,14,86,75,54,47,95,41,27,48,38,39,79,73,66,24,69,31,18,98,80,40,22,90,13,84,61,11,37,1,16,64,92,15,32,58,89,8,36,62,81,43,34,20,46,52,17,96,78,26,35,6,56,7,85,42,94,30,21,60,19,82,2
24,81,78,6,56,69,46,53,64,66,8,34,88,38,71,67,11,21,90,7,85,95,17,60,75,22,16,26,96,45,84,79,13,42,52,80,32,68,97,19,92,3,94,20,31,37,23,57,58,83,50,43,30,89,72,2,35,93,15,59,4,91,41,47,10,82,55,54,33,76,27,14,77,12,65,87,9,51,25,44,39,70,18,62,61,86,49,48,74,1,29,73,28,40,36,98,63,5
25,30,76,13,1,34,58,19,73,7,86,33,15,98,14,8,39,20,48,18,91,92,36,96,63,70,2,54,69,37,89,35,59,65,82,78,27,44,4,28,6,61,40,51,60,81,10,62,56,29,12,38,85,87,5,67,43,9,77,66,74,72,32,83,24,52,49,84,46,23,94,17,45,11,42,75,97,21,26,55,3,95,68,93,16,71,22,41,80,88,64,50,47,31,57,79,53,90
26,75,82,9,61,44,97,80,55,51,77,74,12,87,24,93,94,52,41,46,47,72,79,73,35,68,39,49,50,57,32,40,43,91,62,86,17,1,22,11,10,5,18,42,21,88,76,53,64,19,45,3,90,15,63,48,16,20,25,29,69,8,95,71,65,31,60,36,38,81,2,28,92,67,56,70,98,33,7,30,27,54,13,85,14,84,89,59,96,83,78,66,6,23,4,37,34,58
27,83,48,17,32,65,96,3,90,37,16,42,67,60,64,2,36,25,33,5,23,98,51,6,62,89,58,95,56,80,85,66,29,12,15,31,76,47,59,71,39,49,14,91,63,52,84,11,78,92,54,61,70,41,28,97,7,26,4,73,79,34,22,57,94,30,19,74,93,13,18,21,50,53,88,35,68,38,82,40,72,45,77,1,86,9,10,8,20,46,69,55,87,44,75,81,43,24
