# c-balanced sequence
# n=74
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
19,39,34,51,31,60,46,7,6,35,65,69,42,47,29,50,67,41,16,23,54,74,58,64,37,33,66,30,62,8,71,57,49,44,55,28,3,45,56,38,52,32,73,53,43,18,24,48,11,14,10,5,12,72,27,26,15,61,1,40,4,59,70,2,36,20,22,21,9,63,25,68,17,13
20,28,50,48,52,10,61,66,27,63,40,2,38,25,6,1,45,64,15,18,36,68,7,17,14,55,73,22,12,5,32,24,70,72,34,43,56,30,8,41,9,47,11,21,4,42,54,13,59,23,44,67,65,19,58,69,37,60,33,3,51,39,62,53,74,35,49,26,46,16,57,29,31,71
21,29,62,58,3,53,48,68,49,56,60,8,16,33,51,19,5,71,38,55,70,42,26,44,27,46,74,72,9,31,59,4,37,28,13,67,54,69,35,50,39,24,17,36,63,10,45,1,57,22,30,64,25,18,34,66,20,12,32,14,73,61,15,43,23,6,41,65,11,2,52,47,40,7
22,41,63,5,61,30,4,43,64,11,12,32,71,34,13,9,24,39,66,14,52,72,57,65,15,10,69,7,18,23,47,40,73,35,21,2,25,62,53,74,27,20,59,29,48,31,49,55,70,26,46,68,3,38,16,36,6,54,56,28,67,45,58,19,17,37,42,8,33,60,51,1,44,50
23,9,74,14,1,47,17,45,65,29,50,70,73,58,37,20,49,35,59,22,2,67,6,4,28,25,16,60,3,42,11,26,64,41,36,51,13,57,33,7,61,44,62,40,46,19,69,56,15,53,52,63,21,71,43,8,55,31,18,34,27,48,54,10,68,39,38,30,24,5,32,72,12,66
24,40,73,56,46,36,53,33,57,10,18,54,66,19,55,43,52,3,60,30,26,44,34,8,31,71,21,51,63,45,48,58,68,38,37,27,32,14,5,20,22,72,12,15,28,67,39,42,17,16,29,50,6,13,7,1,9,11,2,74,25,41,4,47,49,65,69,62,64,35,70,61,59,23
25,59,64,16,32,72,28,44,74,68,15,42,62,31,7,11,38,69,20,51,1,10,47,12,5,61,13,19,50,39,33,6,9,29,54,17,55,23,34,71,67,49,66,70,41,58,2,65,46,27,8,45,35,4,24,60,22,3,73,30,52,43,63,57,40,26,36,53,18,56,37,14,21,48
26,2,8,65,35,70,69,54,4,39,37,24,3,67,46,21,12,48,17,27,57,25,23,56,49,45,11,53,41,14,43,44,63,30,31,60,18,73,15,36,68,6,52,19,16,1,34,47,61,5,66,40,33,62,32,64,59,51,42,38,13,71,72,55,50,22,29,74,7,10,58,9,28,20
27,38,18,6,12,59,71,55,40,13,51,33,7,32,36,30,62,22,47,39,50,61,65,41,69,52,58,66,2,20,10,35,72,8,56,1,48,16,29,4,42,31,26,64,25,9,74,23,37,43,49,73,57,68,14,17,53,28,19,21,70,44,5,45,15,60,54,63,67,46,11,34,24,3
42,44,49,15,60,9,20,73,14,67,28,41,23,53,45,34,61,68,46,37,63,13,19,62,70,29,43,1,74,38,64,22,52,24,5,66,21,10,59,40,3,58,39,18,54,71,8,7,56,32,11,72,48,69,65,50,57,36,26,12,35,31,17,30,16,51,47,2,25,27,4,6,33,55
47,72,57,43,36,21,51,26,25,34,63,17,5,48,15,8,56,31,29,74,58,4,16,59,24,35,32,6,70,28,54,7,55,65,53,40,45,2,11,30,50,22,33,38,61,3,44,73,60,13,12,41,37,27,20,10,1,23,67,69,62,9,18,64,46,71,14,39,52,66,49,42,68,19
30,50,52,10,66,23,55,39,1,19,71,11,14,64,40,27,16,28,54,21,49,33,48,68,18,42,9,46,17,15,36,67,25,69,3,12,47,70,61,51,43,37,60,65,57,5,4,59,20,62,34,26,58,63,2,74,35,29,72,24,53,6,8,22,7,45,56,32,31,73,13,44,41,38
31,45,22,3,56,5,37,2,7,52,38,58,74,35,44,69,71,9,6,64,18,40,60,53,50,20,34,8,73,29,13,46,32,62,42,4,49,41,26,24,63,10,27,28,17,72,30,14,51,67,54,55,15,39,19,61,70,47,65,66,68,11,33,21,25,57,48,23,12,59,16,43,1,36
32,68,17,11,24,13,16,65,62,70,61,26,43,4,59,41,2,25,36,12,33,35,73,30,55,72,63,67,27,57,56,19,71,39,1,22,52,8,23,45,48,14,46,7,66,21,47,53,3,38,6,10,9,31,49,44,5,18,40,64,20,60,42,34,51,58,28,15,50,37,74,54,29,69
33,67,60,53,57,19,31,6,58,20,46,72,49,10,18,65,66,42,37,1,5,23,38,15,54,43,47,26,48,59,21,51,34,14,11,7,68,44,9,64,13,29,74,35,69,36,12,40,16,50,2,28,22,32,30,45,25,71,24,39,41,3,52,73,56,61,4,55,17,70,8,27,63,62
34,63,12,7,8,54,3,41,45,50,29,22,47,39,28,24,73,17,70,11,32,69,14,51,2,44,60,56,37,71,4,66,61,16,74,57,27,20,6,65,25,62,15,55,68,26,43,64,48,31,1,36,42,23,52,38,33,30,58,46,49,10,13,59,9,18,40,67,19,21,53,35,72,5
35,69,4,46,27,51,42,48,59,64,6,30,9,68,72,23,74,53,13,10,55,45,21,3,36,39,19,62,49,40,65,52,18,31,50,58,63,38,60,28,32,73,5,56,67,44,33,41,25,71,24,47,70,7,8,16,54,14,15,17,37,29,66,1,11,12,43,34,57,61,20,22,2,26
36,62,66,1,25,55,14,29,5,21,56,73,52,2,50,70,26,20,40,67,61,8,11,22,57,41,38,31,16,12,58,30,15,10,33,35,43,72,37,53,54,17,34,51,49,24,9,45,19,18,63,42,4,59,46,48,68,13,7,27,23,74,28,69,3,44,64,6,39,71,65,60,47,32
37,74,28,61,49,40,15,18,47,9,54,57,27,13,33,60,63,44,34,43,4,7,17,71,66,48,3,24,25,68,69,42,59,23,70,64,39,46,67,19,2,1,8,32,11,20,62,22,35,58,53,21,56,29,55,72,12,41,6,5,14,65,31,50,26,16,30,73,38,51,36,52,10,45
38,23,19,71,58,22,18,32,24,31,44,65,41,16,12,7,51,72,45,15,42,28,53,27,52,6,10,64,29,73,1,17,5,9,26,36,14,74,66,69,55,25,30,59,47,13,50,8,21,68,39,60,61,11,3,35,34,2,43,63,57,67,48,37,20,70,62,49,54,40,33,4,46,56
39,35,29,69,48,62,64,49,10,16,43,1,60,61,67,14,3,47,8,59,30,56,46,37,20,13,26,33,28,34,72,2,45,54,6,11,12,50,31,63,57,21,71,4,23,70,52,27,36,9,74,65,44,66,51,40,73,55,38,22,32,53,19,68,41,25,5,42,58,18,24,15,7,17
40,20,70,34,21,68,30,17,2,66,53,25,4,38,11,55,58,57,65,36,35,50,39,63,62,74,51,5,44,32,46,3,22,47,19,15,73,49,7,56,24,12,41,61,42,37,29,6,18,52,69,33,43,54,64,67,27,26,45,8,16,1,59,72,60,23,10,14,71,31,9,48,13,28
41,13,43,26,54,63,52,27,67,5,8,45,68,6,20,42,25,32,19,73,31,70,24,9,1,14,12,4,7,21,23,61,53,55,38,71,51,33,58,18,16,60,65,3,40,48,72,57,10,17,28,49,59,15,47,37,50,62,74,56,39,2,46,36,34,66,35,64,29,22,69,11,30,44
9,37,71,50,72,73,11,56,33,15,69,36,48,46,57,74,23,13,22,29,62,49,64,54,59,18,17,16,30,65,42,27,41,60,40,24,10,68,28,52,44,35,45,2,38,39,5,66,58,34,32,19,14,1,26,70,31,4,51,25,47,7,21,20,61,53,8,43,63,55,6,67,3,12
59,6,61,4,47,28,44,60,32,3,55,12,35,51,21,5,10,18,7,58,48,66,68,2,56,11,22,37,14,70,67,25,8,43,20,34,1,26,17,39,62,9,53,54,31,16,64,15,23,30,38,46,71,57,13,42,69,49,63,36,29,19,24,40,65,52,73,33,72,45,27,74,50,41
44,14,7,45,30,8,38,74,34,42,16,47,39,63,53,54,31,26,50,24,71,52,67,19,40,49,33,15,61,36,60,64,62,48,69,59,29,13,41,43,72,27,56,46,73,6,22,28,55,2,25,20,17,3,5,21,66,65,11,9,10,51,12,35,32,4,37,18,1,23,68,57,70,58
2,10,1,12,64,33,22,25,19,51,23,28,31,29,17,66,43,52,69,46,41,20,3,32,72,9,65,27,35,55,6,49,57,73,58,37,30,5,40,47,70,11,36,50,18,74,13,63,45,4,67,61,60,53,62,7,48,68,71,54,34,26,44,38,42,56,21,24,59,14,15,8,39,16
46,42,53,36,65,24,70,57,21,74,58,59,64,56,1,15,68,62,39,16,72,38,44,5,45,7,71,23,8,50,26,63,66,13,67,18,4,32,22,48,51,34,20,10,14,33,35,12,40,11,47,37,73,30,41,43,29,19,17,52,69,55,6,54,27,3,9,28,61,25,60,31,49,2
48,3,11,72,41,18,49,67,73,14,26,60,19,37,32,40,27,2,9,6,65,34,12,31,25,21,55,47,39,43,28,56,35,74,17,61,53,42,71,54,4,23,29,8,15,52,68,69,7,24,50,70,16,22,45,33,10,57,44,59,38,58,36,5,63,13,51,46,30,20,62,64,66,1
