# c-balanced Latin square
# n=71
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
20,45,64,13,31,26,2,14,6,4,68,32,63,67,62,58,66,22,69,61,48,65,11,35,21,49,56,16,8,70,10,54,39,34,38,41,44,30,17,50,12,57,46,9,23,43,3,36,15,40,51,47,52,27,24,55,7,5,71,28,33,25,19,60,37,1,42,59,29,18,53
21,48,24,47,42,40,16,15,53,46,29,57,65,14,37,43,71,38,30,25,45,60,8,41,2,23,1,26,17,5,33,52,51,19,18,32,55,27,31,54,28,39,63,7,11,6,68,61,70,20,13,59,62,67,4,49,44,50,64,58,3,34,10,36,66,69,12,35,56,22,9
22,56,67,41,33,39,11,1,36,9,66,7,40,6,35,27,44,12,5,46,19,20,59,3,54,34,28,55,4,15,29,68,49,57,62,10,37,52,13,45,38,58,2,21,53,65,25,64,50,63,14,18,16,42,30,69,61,17,60,32,47,43,70,26,23,8,24,71,51,31,48
23,58,69,8,61,10,63,27,51,64,43,25,13,70,71,22,34,31,14,16,50,17,36,18,52,37,53,40,19,42,32,67,9,47,46,45,59,21,26,56,60,35,44,24,33,30,48,6,66,4,29,5,3,11,7,12,39,62,1,68,49,41,57,55,65,28,54,15,2,38,20
24,59,60,7,2,30,65,71,20,49,17,33,41,26,28,29,32,54,70,53,4,51,55,38,57,39,62,61,44,68,48,6,14,11,66,56,64,15,12,5,43,3,13,50,18,47,23,69,22,35,1,46,36,10,19,31,21,45,8,9,42,52,37,16,67,58,63,25,27,40,34
25,36,52,3,54,5,45,38,21,31,35,9,50,19,68,56,42,23,15,62,1,47,7,58,66,10,24,43,28,60,63,12,8,69,2,49,18,71,34,67,41,20,4,17,16,27,59,70,37,33,55,39,22,40,29,48,65,57,13,51,44,46,53,64,6,32,11,26,61,30,14
26,46,62,4,44,8,55,37,34,57,18,11,16,12,30,48,13,64,10,65,63,6,56,69,67,33,32,3,22,58,31,70,23,1,20,27,24,53,38,36,61,68,42,40,28,14,51,60,52,54,2,25,15,17,41,5,71,9,45,35,43,29,66,19,47,59,21,50,39,7,49
27,51,14,37,6,18,32,4,61,12,5,67,42,52,66,39,60,59,21,40,43,64,29,49,45,47,25,71,9,7,50,35,46,17,48,30,13,63,22,3,44,65,34,69,19,31,26,41,8,10,28,20,57,56,38,58,54,11,53,36,23,62,24,15,68,2,16,33,55,1,70
28,38,1,39,43,47,53,19,35,70,69,10,24,55,17,33,49,20,11,41,26,34,68,40,50,2,29,15,21,54,71,58,16,36,59,65,14,51,66,62,23,52,8,32,45,57,5,9,7,46,30,12,61,64,6,25,63,27,37,48,67,4,18,22,44,31,56,3,42,60,13
29,42,2,15,46,23,66,62,16,48,45,56,59,54,61,36,63,53,44,38,13,31,24,9,22,70,57,35,27,55,51,30,4,41,39,28,7,19,60,25,1,6,21,37,49,10,11,47,58,67,68,3,32,50,14,26,43,18,33,12,40,17,71,34,5,64,20,69,65,52,8
30,57,10,6,50,22,17,41,64,14,3,58,44,20,5,7,68,52,36,2,51,8,1,67,12,60,13,18,65,11,25,43,37,53,31,33,47,40,16,9,55,27,26,29,48,35,34,71,19,56,4,69,66,70,15,59,23,42,24,49,21,39,45,32,61,62,38,46,63,28,54
31,49,48,40,25,70,71,58,68,19,65,15,21,34,69,9,4,8,57,18,32,3,28,30,37,42,63,64,59,33,20,45,5,62,26,54,61,50,46,23,11,43,67,56,38,39,2,12,53,44,24,55,51,13,1,16,60,52,6,22,10,7,29,27,14,36,35,17,41,47,66
32,55,54,11,12,67,26,7,13,47,63,23,60,65,1,25,24,6,41,35,66,39,21,16,27,61,46,38,14,10,17,56,44,42,22,52,3,29,2,69,64,71,59,5,37,20,15,40,62,43,49,36,50,45,8,33,57,34,28,70,48,68,31,58,30,18,53,4,19,9,51
33,43,45,53,20,9,52,3,56,39,40,27,28,22,8,31,51,47,37,29,46,7,71,62,19,14,36,69,23,34,6,61,13,15,49,68,41,57,48,24,4,30,18,70,66,58,1,21,16,17,35,42,60,38,10,64,2,54,32,55,65,26,63,59,50,5,25,67,44,12,11
34,61,68,16,59,60,18,5,33,28,11,38,15,2,58,64,50,67,35,48,17,10,49,52,44,54,4,1,66,53,12,26,57,8,63,55,51,70,65,42,39,32,7,45,22,36,29,25,30,27,23,9,37,62,31,46,19,20,47,69,14,3,41,13,56,71,40,24,43,21,6
35,44,71,63,21,17,49,56,30,29,62,42,19,69,26,4,45,70,27,55,59,12,5,43,6,25,48,31,18,36,24,47,34,50,32,11,9,67,20,58,40,15,14,64,41,68,46,52,13,65,61,28,54,51,53,66,3,2,22,16,38,1,60,33,8,37,39,7,10,23,57
36,64,66,65,51,50,24,13,22,1,32,8,57,62,14,37,16,46,40,58,60,23,2,33,39,20,9,41,3,49,38,27,30,25,21,7,69,17,28,10,53,63,31,19,12,54,55,18,5,11,71,6,34,47,44,43,67,15,35,56,61,59,42,70,52,48,45,68,4,26,29
37,23,70,29,13,12,69,53,41,20,55,34,47,68,54,32,10,19,43,45,61,14,15,26,11,71,7,22,67,28,56,2,52,66,35,6,42,1,5,60,24,48,33,3,50,4,44,59,63,38,21,8,17,39,58,65,36,40,18,31,30,57,25,51,46,9,62,27,64,49,16
38,17,9,60,7,57,31,25,48,52,6,51,39,36,46,50,18,63,3,30,65,4,42,21,8,5,16,44,45,62,40,59,19,64,70,23,10,35,43,13,71,49,54,61,56,67,27,33,32,37,26,53,47,24,28,29,68,14,66,41,15,11,2,12,1,20,69,55,58,34,22
39,27,5,1,28,42,47,2,10,54,67,43,31,18,70,59,52,11,64,66,22,56,53,24,41,68,55,32,15,29,26,14,33,46,58,12,45,38,6,37,8,34,25,44,62,51,57,16,9,48,65,7,69,49,20,63,40,21,4,71,50,30,35,61,13,23,19,60,3,36,17
40,15,8,44,58,35,4,21,46,26,2,71,48,49,38,3,56,61,23,33,34,57,30,27,20,17,69,13,47,37,54,9,60,65,29,16,50,62,68,59,19,1,51,55,36,66,10,24,31,14,12,22,43,41,25,32,52,7,11,39,5,63,64,67,42,53,6,70,18,45,28
41,30,19,66,67,45,14,6,50,16,12,61,20,24,25,44,53,42,9,5,69,28,52,63,58,65,31,51,68,21,43,18,36,71,11,4,27,39,57,22,15,2,17,46,35,60,7,3,64,1,40,34,70,23,56,13,55,38,29,8,26,10,62,54,49,47,32,48,59,33,37
61,3,11,62,22,55,36,34,24,63,37,59,33,29,23,71,67,60,7,49,25,54,38,13,51,19,35,48,70,39,1,16,64,10,53,40,17,47,32,18,56,26,52,8,20,28,69,50,41,57,42,68,45,30,27,6,9,4,46,65,12,21,58,14,43,44,2,66,15,5,31
43,26,18,10,14,56,1,68,27,65,9,41,64,40,7,57,12,69,62,15,6,44,47,66,32,46,34,8,58,4,2,22,55,48,28,5,25,31,63,21,29,23,70,11,30,13,42,49,39,45,59,19,67,53,33,60,17,61,51,3,54,37,20,38,36,16,71,52,35,24,50
51,16,4,32,52,54,15,59,28,35,49,30,53,45,11,13,29,17,31,21,39,36,70,55,60,50,40,65,64,19,42,3,12,20,24,37,67,61,33,41,47,66,9,38,43,26,14,62,6,58,18,2,63,71,5,22,48,10,69,23,7,44,34,25,27,57,1,8,46,56,68
46,20,63,69,38,33,8,64,42,55,58,5,43,66,27,21,48,1,2,68,18,50,14,37,10,56,26,6,52,57,62,23,7,60,71,3,36,34,49,44,35,16,40,22,32,45,61,15,54,47,25,70,39,4,59,19,12,30,31,24,9,53,51,65,17,11,28,29,13,41,67
47,25,7,70,9,31,37,46,57,3,4,44,10,17,22,5,19,51,8,24,67,71,35,59,23,28,33,45,49,56,11,63,41,38,54,13,15,68,30,14,27,12,58,53,6,34,65,2,20,29,36,21,48,61,64,52,62,1,16,60,32,66,55,50,26,42,18,39,69,43,40
58,13,65,71,29,48,39,32,23,36,38,50,2,60,6,41,20,26,47,34,16,42,40,45,1,12,61,24,30,25,53,44,67,51,43,59,8,66,70,7,69,4,62,18,10,37,17,68,33,31,11,52,46,57,55,35,49,28,5,19,27,64,15,56,9,22,3,21,54,14,63
49,21,12,67,19,68,40,17,25,66,14,53,56,63,32,35,15,28,54,11,62,22,9,4,3,57,43,27,5,46,61,29,69,18,1,42,39,2,52,55,51,31,65,59,64,48,71,23,60,13,38,16,41,58,26,37,50,44,34,47,36,45,8,24,70,7,33,10,20,6,30
53,24,6,34,27,65,62,69,39,45,26,60,18,28,33,30,55,14,52,13,20,70,41,48,64,7,11,9,37,50,16,8,15,31,10,44,54,58,25,19,36,46,5,67,47,1,21,22,29,51,56,43,12,3,66,68,42,63,17,2,57,49,23,40,59,35,4,61,71,32,38
52,22,50,2,64,16,23,43,70,61,54,37,34,1,47,51,59,10,33,71,58,68,31,29,30,36,38,17,20,63,69,13,66,21,27,35,56,48,9,4,3,28,57,49,24,42,40,8,67,15,5,32,44,14,11,7,45,53,26,6,39,18,46,41,60,65,55,19,62,25,12
