# c-balanced Latin square
# n=102
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
14,87,56,93,73,92,90,45,34,6,63,47,55,74,22,23,1,18,49,71,84,2,86,91,60,48,39,81,58,13,10,61,38,77,95,66,20,31,69,19,65,53,46,83,26,89,33,52,97,43,62,78,51,9,4,35,88,99,3,8,11,44,54,57,27,94,82,40,76,25,64,30,79,50,36,72,101,7,21,67,68,15,98,100,59,102,96,80,12,70,75,28,42,41,37,24,32,17,85,29,16,5
15,80,30,25,97,98,101,2,72,5,42,43,78,66,24,99,4,95,82,46,88,47,75,100,28,41,90,64,67,62,74,8,96,40,16,83,7,32,68,27,76,50,61,79,57,29,59,22,58,1,70,37,102,94,11,86,84,26,19,71,48,12,51,20,77,55,38,17,21,85,18,91,53,65,10,6,14,31,69,49,56,33,39,36,63,93,9,35,23,60,92,44,13,54,45,3,73,87,52,89,81,34
16,37,71,32,88,46,59,50,83,19,38,39,6,40,89,51,81,17,77,36,14,33,9,26,53,34,73,85,65,11,27,54,23,62,91,56,52,44,21,99,43,24,87,48,94,10,49,55,69,31,93,35,95,47,15,60,82,12,7,30,98,45,42,63,13,61,2,3,67,68,70,92,76,84,102,75,29,80,5,22,18,20,66,96,41,72,101,28,64,57,58,97,74,8,86,100,1,79,78,90,25,4
17,68,48,31,41,60,69,70,3,96,28,72,94,76,29,21,84,54,25,66,79,44,12,80,52,93,56,75,1,35,9,15,63,86,18,102,57,24,64,78,92,82,81,36,58,47,42,13,45,98,39,65,20,101,5,73,33,34,74,22,67,10,8,89,85,90,6,97,32,50,37,4,26,100,27,43,71,51,23,87,62,30,11,53,19,46,7,99,55,95,16,38,91,83,2,77,59,49,40,61,88,14
18,82,77,35,49,87,74,4,53,55,62,70,45,67,11,91,30,97,7,27,10,8,102,83,42,16,20,61,22,79,68,19,92,90,71,29,59,89,50,13,17,12,5,6,101,41,56,28,38,85,99,100,44,64,23,37,2,14,46,72,96,43,40,24,58,52,25,1,15,95,81,66,39,78,80,3,34,33,9,88,94,57,73,32,86,31,98,76,51,47,54,48,26,69,75,65,93,84,60,36,63,21
98,99,75,92,8,100,81,1,39,95,13,57,84,26,65,69,78,85,86,43,58,11,7,23,37,36,82,97,3,31,6,40,80,55,34,73,76,51,88,48,93,33,14,91,30,72,63,96,19,2,66,71,61,32,70,42,53,54,21,62,16,74,38,4,60,41,28,77,79,59,9,56,44,29,5,49,87,90,45,52,47,17,24,50,12,35,83,18,68,25,101,46,22,102,15,64,89,67,20,94,10,27
20,95,63,64,77,15,9,47,28,60,2,59,14,33,44,5,32,96,102,61,12,35,24,101,38,22,25,76,89,51,50,67,57,87,94,21,53,45,65,46,80,1,34,100,74,54,11,75,37,4,52,90,84,27,83,68,49,69,48,29,79,18,6,23,78,36,88,99,7,16,86,10,55,58,19,98,93,42,39,13,41,91,43,85,8,40,73,81,26,82,17,62,3,92,70,31,71,56,66,72,97,30
21,86,41,46,43,36,29,42,52,90,49,27,12,56,47,50,88,16,73,94,13,87,93,40,5,17,66,4,54,32,85,98,72,60,2,15,70,39,10,9,101,23,18,71,95,67,25,68,78,92,24,22,3,26,75,59,31,91,65,1,63,64,81,69,53,100,45,19,30,62,8,57,83,20,48,38,35,102,97,61,51,84,89,82,37,58,77,14,6,96,99,11,34,7,76,33,74,44,28,80,79,55
22,79,44,91,51,40,38,62,10,18,74,19,34,68,64,37,83,58,20,45,57,31,48,14,30,72,71,6,28,59,55,78,52,11,81,3,100,26,25,97,84,99,56,35,77,8,5,60,86,49,102,7,33,17,89,76,87,27,66,93,80,94,39,92,73,95,9,47,41,12,54,13,63,82,101,96,16,70,15,46,1,4,88,75,90,67,69,36,65,24,2,85,61,21,50,23,98,29,42,53,32,43
23,102,33,3,53,7,67,66,75,101,54,93,65,1,100,80,73,99,50,26,76,89,70,41,98,63,49,19,29,24,69,83,17,8,61,64,47,77,96,4,32,62,88,90,51,20,79,15,16,40,55,30,85,43,82,21,58,36,25,56,57,46,35,31,44,84,37,11,14,72,97,42,94,87,28,2,5,86,74,81,78,48,92,10,34,52,95,38,59,27,18,45,60,71,91,6,68,13,39,12,9,22
24,91,58,6,96,10,76,55,16,71,89,56,85,9,31,61,90,92,15,87,48,18,27,81,78,95,94,13,69,84,7,30,46,82,39,86,2,43,42,41,63,74,29,66,44,45,97,73,57,36,12,38,83,14,88,34,67,98,52,28,32,70,50,59,102,26,21,101,49,65,20,80,75,22,77,23,68,60,54,79,11,53,99,62,64,3,5,40,100,72,33,93,25,1,35,8,4,37,19,47,17,51
