# c-balanced sequence
# n=83
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
17,69,64,61,40,57,75,81,49,1,31,26,82,76,11,79,52,34,65,9,20,83,14,50,47,63,35,13,2,4,29,33,68,77,18,66,80,15,25,43,3,28,44,24,27,6,7,54,42,36,23,32,70,22,53,37,78,19,71,5,8,72,12,74,39,60,59,16,73,56,55,62,46,45,10,48,21,38,51,58,30,67,41
18,67,60,27,11,59,9,7,73,2,13,12,54,45,65,4,62,46,82,24,42,56,1,16,15,74,22,72,21,81,58,36,70,64,34,37,78,47,33,39,51,38,31,20,50,71,10,43,29,19,55,8,3,83,76,68,61,14,48,30,28,79,49,32,77,41,53,52,75,17,44,63,57,69,25,80,66,5,35,6,23,26,40
19,70,53,46,48,10,28,23,30,14,36,78,50,60,32,44,72,69,66,41,80,67,49,38,3,5,68,17,55,51,77,56,83,76,71,24,16,27,26,6,40,73,22,9,15,65,35,74,18,63,45,59,52,21,82,39,75,57,47,29,2,58,37,62,81,64,25,4,42,13,33,20,8,11,61,12,79,31,1,34,54,7,43
20,58,77,63,34,52,71,22,5,62,25,55,43,68,29,35,14,31,37,79,10,61,8,33,57,7,4,59,32,46,73,75,39,1,30,53,26,42,65,41,74,66,12,11,80,13,16,81,23,2,67,49,44,54,15,69,40,6,17,21,36,45,48,3,27,18,38,64,19,51,70,60,24,83,9,78,50,82,72,28,47,56,76
21,51,81,47,72,33,74,16,40,44,56,76,27,42,80,83,57,9,39,69,45,24,64,6,70,2,18,12,61,78,19,54,52,28,82,48,8,58,17,38,63,62,36,13,25,4,75,3,31,79,20,60,66,35,50,1,34,41,26,7,32,77,11,43,10,23,73,5,71,29,67,30,55,59,65,14,15,49,53,37,68,46,22
22,50,41,6,82,29,73,11,79,15,35,51,17,38,3,71,26,75,13,53,48,12,5,43,77,54,20,47,19,37,44,27,67,23,60,7,1,57,49,68,59,83,70,64,33,46,14,30,76,24,58,72,56,9,18,65,55,16,34,25,39,80,69,78,28,31,61,66,40,2,32,45,52,62,8,81,74,63,10,21,36,42,4
23,49,76,12,78,55,54,37,8,80,50,59,1,18,63,32,66,64,15,34,4,36,21,28,31,62,26,42,29,38,30,40,65,43,2,25,82,13,45,10,77,61,56,53,5,52,69,51,6,47,46,73,68,11,81,33,79,7,74,24,22,67,35,83,14,9,72,44,70,16,19,41,58,75,3,39,71,20,17,27,57,60,48
24,65,56,74,35,36,48,4,31,3,58,9,10,83,81,67,2,7,70,19,11,17,52,68,69,14,45,39,49,20,16,62,47,66,32,28,79,72,50,55,22,75,63,21,60,78,29,71,41,27,40,57,5,43,42,51,15,30,8,82,12,53,61,33,59,46,1,37,6,34,26,38,25,64,23,44,76,54,18,73,77,13,80
25,61,39,13,42,68,77,57,64,41,18,33,75,8,30,20,58,16,27,74,37,44,40,46,23,53,60,81,1,71,70,5,59,14,15,6,56,51,3,80,2,11,34,76,7,72,73,32,45,48,62,36,17,26,28,10,67,49,66,19,38,4,63,9,50,21,54,69,82,22,35,65,47,78,52,31,43,24,79,55,12,83,29
26,46,71,7,38,45,47,43,66,55,34,69,28,65,21,61,22,59,6,36,78,72,80,76,73,82,67,24,79,41,10,63,31,17,50,44,12,35,9,8,19,29,57,4,54,20,48,83,1,39,25,74,64,37,52,58,23,53,70,75,18,40,42,60,13,62,77,11,32,3,14,16,49,68,81,51,56,27,33,15,5,2,30
27,60,83,54,75,62,53,19,32,24,82,2,49,40,5,51,73,79,43,81,29,38,77,25,65,11,48,52,8,33,21,22,18,9,55,42,4,67,14,23,69,16,30,47,26,37,61,35,17,15,78,34,46,31,12,13,71,63,3,6,68,44,36,56,76,58,45,80,7,20,57,72,1,39,74,64,10,28,70,50,41,59,66
28,76,3,14,15,6,17,10,13,39,70,52,25,12,72,45,63,1,23,56,82,42,31,30,71,9,36,34,66,57,83,35,58,49,20,64,32,41,74,54,44,43,81,18,68,77,59,38,22,60,50,21,7,33,29,16,73,65,2,80,48,51,27,5,24,55,8,47,78,4,46,79,61,53,37,75,40,67,69,26,11,62,19
