# c-balanced Latin square
# n=87
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
16,45,43,85,83,1,72,63,55,4,15,5,64,2,80,31,60,79,44,3,27,81,47,30,10,59,69,34,50,53,40,39,13,14,33,6,57,70,19,18,52,17,38,24,22,61,78,68,36,46,58,73,37,56,66,11,84,9,12,75,51,23,35,65,26,82,67,54,41,62,49,8,86,29,7,77,48,20,32,25,71,28,87,21,74,42,76
17,48,83,25,66,9,67,32,6,62,58,29,57,20,85,12,42,13,86,19,5,37,49,61,46,63,47,23,87,26,74,73,4,75,35,43,72,3,51,65,77,15,27,8,41,54,28,76,60,69,56,7,53,31,68,21,82,50,18,71,10,38,80,55,16,33,30,11,14,44,2,36,24,39,52,70,45,78,34,1,64,22,84,40,79,59,81
18,65,31,68,59,81,39,7,21,67,69,53,33,41,26,16,74,8,52,32,77,24,54,22,38,1,56,35,82,66,55,11,10,84,87,36,78,2,71,28,75,44,79,76,62,70,23,80,34,30,43,42,40,64,3,57,29,86,58,45,63,85,25,49,15,5,48,20,4,17,13,46,50,19,47,60,6,14,12,37,9,83,27,61,72,51,73
19,82,40,34,4,30,76,52,70,27,50,86,61,14,45,23,46,51,81,75,28,64,38,29,17,2,84,85,12,15,9,79,7,5,37,25,60,68,83,48,24,66,80,57,49,20,32,74,39,26,13,67,10,22,47,72,59,33,87,6,77,43,78,73,1,36,58,42,21,35,65,31,69,71,16,62,41,54,44,11,8,18,3,63,56,55,53
20,71,36,87,10,62,38,37,18,54,56,22,80,9,25,43,58,3,24,73,72,16,6,39,13,44,14,48,65,78,46,50,64,42,85,30,28,53,21,12,33,31,60,47,69,19,86,11,55,5,27,8,63,70,34,49,1,52,79,83,41,66,32,59,76,40,84,45,77,81,51,26,2,67,61,57,23,17,74,35,29,4,7,68,75,82,15
21,79,42,8,44,55,49,35,13,64,51,84,40,59,17,47,69,27,78,63,11,76,68,60,57,7,75,41,74,80,71,83,77,29,34,32,23,16,73,58,67,1,6,82,4,45,50,43,72,81,87,48,36,15,12,61,26,14,2,37,53,46,24,22,31,18,62,28,86,3,56,38,9,54,5,39,85,52,65,10,66,33,25,20,70,30,19
22,74,33,2,41,35,57,77,72,1,3,31,10,28,11,36,39,26,53,66,55,15,65,8,4,70,67,5,54,25,62,19,18,63,52,61,45,76,56,86,29,14,30,20,17,37,46,71,6,21,40,9,16,83,51,81,27,75,85,38,79,60,69,82,64,44,7,87,24,78,68,23,42,48,34,84,47,59,80,73,32,13,12,58,43,49,50
23,75,86,61,73,84,70,12,43,46,60,79,66,34,32,1,30,5,48,59,56,85,50,9,87,83,82,51,40,24,81,3,49,58,20,27,15,69,47,7,38,55,25,18,78,68,63,62,44,42,65,33,2,11,14,80,35,67,36,54,19,8,21,17,13,6,16,29,52,53,71,10,74,22,64,4,76,72,28,31,57,77,41,45,39,37,26
24,52,32,7,6,80,82,78,53,47,44,2,68,19,21,49,48,29,72,20,67,43,12,71,37,36,33,42,16,39,22,76,45,57,17,26,31,41,4,54,9,10,13,84,73,85,81,75,56,59,35,64,61,74,77,70,65,28,55,3,30,50,1,40,58,23,79,51,66,25,34,5,15,18,8,14,27,63,87,83,38,60,69,11,86,46,62
25,63,50,16,38,5,62,65,45,81,13,74,11,76,77,15,54,6,40,83,14,18,69,26,52,30,27,58,19,79,86,31,47,59,28,53,35,8,64,1,46,34,41,39,87,51,3,22,7,84,49,66,23,72,82,4,56,71,29,60,9,57,10,12,68,20,37,33,61,32,73,80,43,70,78,55,44,75,67,42,2,24,36,48,17,85,21
26,51,85,17,67,29,20,71,58,55,8,34,37,23,42,14,4,10,33,87,38,31,28,18,21,73,64,77,56,61,44,70,68,60,24,66,80,11,43,78,40,65,36,2,15,82,48,52,50,57,19,5,62,32,63,46,25,16,74,69,7,83,45,81,86,72,41,39,59,12,27,75,84,30,35,13,53,49,22,76,79,47,54,1,9,3,6
27,3,87,57,49,69,41,46,60,7,78,39,17,47,75,64,35,61,9,62,79,82,23,80,84,86,45,1,22,32,72,38,21,6,48,2,44,13,5,42,74,59,33,85,83,58,14,54,12,4,10,25,76,24,37,53,66,73,30,8,18,52,26,34,67,55,77,43,70,63,15,40,20,28,11,31,65,36,50,51,56,19,29,81,68,16,71
28,70,68,56,54,37,19,4,9,24,36,59,25,65,83,84,86,66,34,22,2,12,41,53,62,35,10,15,75,52,63,69,51,43,39,67,71,81,49,50,30,18,16,55,79,40,29,26,3,73,45,31,77,78,60,13,38,17,11,20,47,42,76,74,32,27,46,44,48,87,1,85,7,6,21,80,58,33,5,61,82,23,72,14,64,57,8
29,60,15,76,14,64,43,1,82,63,40,30,44,16,48,55,81,73,57,13,50,58,42,74,20,3,31,36,8,11,23,33,85,56,7,46,34,12,77,22,68,32,53,21,27,72,67,61,47,9,70,28,79,80,39,86,87,6,65,4,62,49,84,51,5,54,71,25,19,75,83,17,45,10,69,41,18,24,37,78,59,26,66,2,35,52,38
30,80,11,5,72,52,73,66,19,51,61,26,27,18,54,71,45,65,21,85,46,32,77,76,49,79,13,59,14,20,4,6,37,83,78,69,87,36,24,70,25,86,62,10,23,8,44,1,38,17,29,75,58,2,84,43,68,48,41,31,35,39,28,33,56,22,57,74,50,47,64,16,82,12,53,3,34,42,9,81,7,15,55,60,40,63,67
31,50,28,81,39,2,79,10,3,75,33,38,6,12,7,67,53,70,56,8,25,74,72,78,47,71,16,68,57,34,17,5,55,54,45,9,19,82,84,14,37,63,35,51,48,76,66,42,13,15,21,41,18,85,1,69,36,24,40,64,44,59,73,61,23,65,60,52,49,26,86,58,11,46,87,29,4,62,43,20,30,27,32,77,83,22,80
