# c-balanced Latin square
# n=43
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
34,1,25,15,19,42,43,3,4,9,12,6,38,13,28,11,20,29,33,16,27,5,8,37,30,22,36,24,18,2,32,26,21,40,39,10,41,17,31,7,35,14,23
40,5,29,30,22,12,39,35,31,33,4,21,36,24,26,15,37,14,32,7,23,17,13,3,1,18,27,41,6,11,25,9,10,16,2,42,38,43,8,28,34,19,20
35,20,2,36,37,28,8,42,7,11,14,9,23,16,43,40,22,19,6,39,15,25,10,38,31,41,34,32,33,13,4,30,17,29,21,12,3,24,1,26,18,27,5
32,6,16,23,38,21,19,12,5,27,17,25,41,34,3,29,8,4,18,26,10,28,40,36,24,42,43,20,31,1,37,14,22,15,35,7,2,30,33,9,39,11,13
31,7,27,24,43,18,33,30,15,21,1,39,29,28,42,5,26,13,9,41,14,11,2,22,35,12,38,16,23,17,20,8,36,19,3,34,25,40,6,32,37,4,10
37,14,22,1,13,3,17,26,25,40,19,30,8,10,2,36,38,42,20,11,34,6,33,7,4,32,9,21,35,24,41,39,27,18,43,23,31,16,15,5,12,28,29
43,11,41,20,23,10,4,9,39,2,16,31,33,17,32,35,18,24,27,40,21,12,26,15,5,28,3,1,7,29,34,6,37,42,30,14,22,13,19,25,36,38,8
38,3,28,35,7,6,29,13,36,42,34,15,12,20,9,31,16,43,22,25,8,19,39,14,27,37,2,30,5,18,10,40,32,26,41,24,4,11,23,17,33,1,21
39,19,18,34,5,32,1,37,6,8,24,26,40,14,25,30,33,15,2,3,29,4,23,41,21,10,13,11,22,28,31,35,7,38,17,36,9,12,27,20,16,43,42
36,21,12,17,24,31,11,22,38,35,23,37,5,27,4,41,10,28,7,13,30,43,18,20,34,25,19,15,14,42,16,2,33,9,1,8,6,32,39,29,3,26,40
30,15,4,33,25,27,16,14,28,43,32,18,7,19,6,39,34,17,36,37,1,42,31,9,29,40,8,26,12,38,3,23,11,13,20,5,21,10,35,41,22,2,24
42,9,8,26,2,40,41,20,10,29,13,3,22,11,1,21,23,12,5,38,35,32,24,16,17,33,6,39,36,43,27,19,25,4,28,15,37,18,34,14,7,31,30
