# c-balanced sequence
# n=70
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
20,36,49,27,57,62,38,40,25,31,3,17,26,70,47,12,16,11,10,23,2,8,15,45,7,29,1,14,51,56,21,69,18,59,43,41,5,32,13,53,61,48,66,34,60,24,46,4,64,68,52,44,28,30,37,6,19,22,54,42,33,65,58,39,50,67,63,9,55,35
21,45,1,69,2,65,5,6,50,59,30,64,4,9,35,61,20,42,32,43,40,19,55,63,34,67,24,60,39,22,27,48,54,37,23,44,25,36,15,29,28,49,33,70,11,26,58,16,12,14,10,57,7,18,53,56,52,38,62,3,31,68,13,46,66,17,47,8,41,51
22,55,31,58,44,46,68,63,56,33,14,24,6,12,37,69,29,51,53,36,17,52,64,57,13,38,26,3,28,49,10,16,4,47,62,19,50,7,42,1,54,41,9,8,35,18,43,39,5,34,65,66,27,45,20,59,32,23,60,48,67,2,21,30,40,61,25,15,11,70
23,61,52,43,7,59,8,16,67,54,28,10,2,13,39,70,62,48,34,35,15,66,68,18,41,14,25,29,30,32,17,50,40,65,58,27,60,51,21,20,38,46,11,6,42,36,49,9,45,22,56,47,12,63,19,3,44,24,69,37,64,4,57,31,55,33,1,53,26,5
24,46,65,11,67,39,15,48,44,27,32,41,53,19,66,18,3,23,45,42,69,12,60,33,21,9,47,20,37,5,35,57,52,30,1,2,63,56,8,4,55,58,64,31,13,10,29,51,61,40,26,68,25,6,17,36,16,50,70,38,7,34,22,49,14,28,62,43,54,59
41,50,37,66,25,43,10,47,22,17,4,16,40,51,54,5,57,14,1,49,70,56,11,62,30,6,68,31,65,61,38,45,55,39,3,34,26,19,28,52,24,7,59,44,64,32,53,33,42,20,15,46,48,13,8,21,67,9,35,23,18,63,60,29,69,12,36,27,58,2
26,60,61,13,35,20,9,64,57,36,29,38,42,31,55,49,59,58,63,22,28,44,53,8,5,19,27,15,7,21,23,46,62,48,33,10,67,66,11,40,12,17,2,18,3,34,52,70,69,50,24,41,54,14,39,43,4,1,45,30,6,32,25,47,51,16,37,65,68,56
32,52,12,56,51,3,4,26,7,1,60,68,21,45,34,38,50,30,9,25,16,54,24,36,47,2,58,33,40,43,18,20,64,70,53,69,6,65,59,22,35,5,23,37,14,27,63,57,15,67,31,28,61,62,10,41,11,29,49,8,46,17,55,42,48,44,39,66,19,13
28,70,64,6,62,19,18,23,2,14,8,69,24,33,63,43,15,27,17,65,31,67,46,39,37,44,13,48,34,59,66,29,60,12,42,45,55,49,61,41,1,56,68,16,47,21,30,25,7,4,58,51,32,57,35,11,26,54,5,53,52,40,36,38,20,9,22,50,3,10
29,63,40,48,53,55,36,41,42,37,35,5,20,58,56,22,47,32,46,6,13,14,10,3,26,4,11,57,52,9,54,15,7,49,17,28,51,39,68,62,25,19,43,50,69,67,12,44,38,66,8,60,16,34,27,30,64,65,61,31,2,1,59,21,45,23,18,24,70,33
30,49,16,54,21,27,34,69,59,44,39,40,65,11,8,25,2,12,67,61,68,64,1,70,51,50,35,36,24,45,26,31,14,22,38,29,18,46,43,10,13,32,63,4,19,48,33,17,3,23,53,9,37,20,42,47,55,56,66,28,58,7,62,52,57,5,60,6,15,41
31,62,18,5,9,17,47,11,68,19,10,52,50,48,7,3,60,33,55,38,59,4,42,23,66,61,28,16,56,44,58,41,67,32,15,57,54,37,20,27,53,36,30,26,8,39,65,45,21,6,25,1,64,22,70,46,2,13,51,34,63,24,14,69,29,43,35,49,40,12
1,25,22,51,45,15,32,66,30,43,13,12,57,37,28,41,65,52,35,24,21,29,7,20,40,49,10,69,60,8,53,6,63,56,34,9,2,47,23,31,3,70,38,14,54,5,59,62,16,18,48,50,55,4,58,68,36,19,33,27,44,39,46,67,64,26,11,42,61,17
33,67,14,57,4,38,49,50,23,70,58,61,27,54,46,17,53,45,26,18,34,41,62,43,63,25,55,39,2,68,51,19,13,5,66,36,35,48,64,44,60,6,42,22,28,20,24,47,11,37,29,69,52,31,59,40,21,32,12,15,3,9,10,56,1,8,7,30,16,65
34,47,8,59,24,58,29,3,21,20,26,56,15,6,62,44,27,66,54,19,48,69,32,31,17,12,64,18,42,70,1,33,11,61,10,14,52,16,9,30,40,45,67,65,41,7,55,68,36,46,49,2,5,35,60,39,57,63,13,43,22,50,53,51,37,25,28,4,23,38
35,53,7,2,28,10,42,60,5,46,55,63,16,36,1,64,40,39,37,9,51,11,38,30,52,22,59,23,4,67,25,3,65,43,12,13,24,21,33,50,29,8,18,57,58,15,66,56,17,27,41,70,45,26,62,44,48,14,68,49,20,69,61,6,34,54,19,31,47,32
36,13,46,44,65,68,6,39,31,49,9,7,43,30,22,57,69,8,70,5,20,16,3,32,33,27,45,62,50,2,14,42,37,60,21,17,56,1,4,34,26,47,15,24,61,23,51,63,19,55,35,11,40,54,38,29,28,25,53,18,10,66,12,59,41,58,67,48,64,52
56,66,3,63,64,14,12,13,52,24,11,4,18,23,19,55,67,68,41,50,29,26,61,35,48,54,15,47,20,38,22,28,30,58,49,40,69,53,32,59,44,51,34,25,46,9,31,1,2,10,39,65,43,36,7,37,6,70,8,16,17,5,42,33,60,27,21,45,62,57
38,19,17,47,41,40,48,2,61,29,45,34,51,53,25,42,31,10,36,60,58,37,6,59,65,1,57,21,5,46,70,64,16,35,27,7,8,26,62,54,39,69,49,52,50,43,32,12,14,28,9,33,18,24,3,67,56,66,30,4,23,11,15,22,63,13,55,44,20,68
39,20,43,16,69,25,37,1,70,15,33,32,66,67,9,21,24,63,56,28,12,45,22,53,8,40,23,17,41,11,47,4,44,52,6,18,48,55,57,42,5,68,10,29,27,60,62,3,13,59,61,38,30,58,51,49,34,64,7,54,65,35,26,19,31,2,50,14,46,36
27,33,59,26,50,52,60,35,62,18,38,65,64,28,14,54,4,15,44,7,30,57,49,34,9,51,56,10,19,13,43,55,36,63,68,20,31,67,58,11,46,12,17,66,70,2,6,40,23,21,1,8,22,5,69,61,24,42,47,41,25,45,16,48,32,29,3,39,37,53
42,30,54,12,55,22,11,8,28,21,69,62,5,49,68,26,6,29,23,47,39,46,14,2,44,58,32,65,31,7,48,24,61,25,45,3,59,38,66,63,36,35,16,53,37,13,57,41,20,64,4,56,67,19,50,33,15,60,9,17,51,27,43,18,52,40,70,1,10,34
51,10,58,60,23,70,54,67,17,53,34,46,36,59,48,20,61,2,40,1,43,13,25,21,16,5,3,66,29,37,9,27,8,50,41,62,19,15,30,18,22,33,31,64,45,38,39,42,26,7,47,32,63,12,65,52,14,69,55,57,28,44,56,68,49,4,24,11,35,6
44,31,45,37,68,61,56,32,19,57,6,3,41,1,51,35,49,13,18,17,27,63,4,24,50,42,43,52,12,34,69,40,39,67,29,33,7,64,70,25,65,2,60,28,48,55,22,14,10,30,11,53,21,16,46,15,23,62,59,58,38,36,54,20,8,47,66,26,5,9
48,23,57,32,27,7,16,9,65,22,25,14,70,50,10,47,52,62,64,20,8,55,18,15,19,11,38,35,36,39,46,26,69,53,28,24,41,5,37,61,6,66,4,51,56,49,34,54,60,58,44,17,68,3,1,42,40,45,43,12,29,31,30,13,67,63,33,2,59,21
