# c-balanced sequence
# n=44
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
32,13,2,19,41,1,36,30,22,6,33,26,37,20,40,15,12,38,39,3,11,9,29,24,25,16,34,27,17,42,10,18,28,4,8,35,7,31,23,43,14,21,44,5
33,5,27,42,38,9,2,25,20,18,41,4,8,22,11,17,32,10,37,28,31,44,14,40,15,23,7,35,26,24,43,30,36,21,39,6,34,29,19,1,16,3,12,13
43,3,6,40,12,44,31,34,17,23,1,21,39,29,27,18,26,36,7,16,14,35,5,37,13,8,11,33,30,19,20,9,41,38,32,42,28,22,10,24,15,25,4,2
36,10,25,16,28,24,15,12,11,19,14,44,13,32,30,9,23,34,8,29,4,43,2,42,6,41,18,21,1,35,3,22,39,17,33,26,5,20,38,37,27,7,40,31
37,8,28,22,26,21,7,27,16,39,35,40,42,1,38,5,2,15,13,44,20,33,25,10,3,17,32,4,34,31,11,24,43,12,36,19,23,9,30,29,41,14,6,18
38,11,29,33,32,4,19,43,24,31,30,20,41,15,12,39,28,17,6,5,36,1,18,23,7,27,40,9,14,22,25,13,10,8,37,16,44,3,35,2,21,42,26,34
41,18,23,20,6,30,17,35,9,7,37,31,3,34,26,10,25,24,14,21,22,8,32,19,39,12,42,43,2,44,38,29,16,27,5,40,13,15,4,36,33,1,11,28
34,1,4,14,3,22,8,40,42,2,36,38,33,5,35,13,16,27,9,19,37,28,31,20,29,26,24,30,39,7,15,21,44,23,11,12,25,32,6,18,17,10,41,43
39,21,15,17,5,29,18,44,13,26,27,43,23,2,42,22,41,11,32,10,7,6,16,33,36,37,31,25,12,40,4,34,19,20,24,30,1,14,28,3,9,38,8,35
44,12,24,10,25,11,32,14,3,21,29,28,16,6,8,4,30,1,35,42,34,40,13,38,43,9,19,15,18,36,27,37,26,2,41,17,33,39,7,31,5,22,20,23
40,19,9,36,27,20,33,39,38,15,22,25,18,7,37,31,3,43,23,2,12,41,17,11,1,21,28,8,29,5,32,42,35,6,14,10,4,26,34,13,44,24,16,30
30,7,35,2,37,23,41,6,5,4,10,17,11,24,19,21,40,33,25,26,39,27,3,22,34,14,44,20,16,13,28,1,31,9,18,43,38,42,8,12,32,29,15,36
42,16,26,43,31,34,13,1,28,8,32,12,9,36,14,44,20,29,18,38,15,24,30,4,5,35,10,41,6,33,23,17,3,7,22,2,11,21,40,25,19,37,39,27
