# c-balanced Latin square
# n=56
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
17,50,9,10,53,26,25,5,31,4,12,55,33,40,42,7,15,49,21,2,3,48,34,54,30,22,24,16,13,44,43,35,32,41,23,8,51,20,1,56,39,19,36,6,46,45,29,27,37,47,38,28,52,11,14,18
28,45,46,12,32,27,47,30,24,14,8,41,56,11,34,17,19,20,6,22,43,13,51,39,37,4,49,35,3,54,52,18,55,5,36,53,38,40,29,23,31,1,44,2,7,42,48,10,33,15,26,25,50,9,21,16
29,52,2,42,33,34,13,35,9,44,39,19,36,54,7,23,26,24,48,18,1,16,21,45,38,50,31,41,10,17,46,27,15,37,11,47,49,25,3,55,43,28,53,14,32,8,51,4,12,56,30,22,40,5,6,20
56,38,15,31,11,43,49,52,20,1,25,51,6,21,32,3,45,39,10,5,35,53,33,26,9,14,42,40,36,12,16,29,8,48,50,4,28,7,54,46,17,27,22,47,30,24,41,23,2,44,18,19,34,55,37,13
30,7,16,48,55,2,21,53,18,28,5,24,22,46,41,27,47,29,4,12,37,6,40,25,8,20,44,19,23,42,39,9,14,33,56,10,34,45,13,52,26,32,50,38,1,3,15,31,49,35,11,17,54,51,36,43
31,1,37,14,51,50,35,17,44,47,3,49,23,36,10,55,13,8,46,34,54,30,28,15,5,32,12,43,20,38,7,56,24,2,27,22,18,26,4,21,42,11,16,25,6,39,40,9,19,45,53,48,33,29,41,52
42,19,43,6,41,23,4,25,26,13,54,9,40,15,14,48,18,33,30,38,2,36,52,56,50,11,29,55,45,28,22,21,53,17,44,3,24,31,47,16,35,51,5,37,49,27,20,46,34,7,39,32,1,10,12,8
34,5,54,39,3,22,40,8,7,33,17,29,53,45,50,56,16,42,11,9,20,41,32,49,48,46,52,27,6,51,26,1,10,36,31,13,12,35,19,30,37,15,21,18,43,55,14,28,44,23,24,2,47,25,38,4
38,20,10,35,27,55,2,45,22,32,11,7,44,12,24,1,28,43,53,31,39,51,18,19,16,47,4,37,25,34,40,23,5,15,52,49,6,42,41,36,14,54,8,29,56,17,13,33,50,21,9,30,3,46,26,48
36,4,12,21,49,56,19,46,51,15,48,25,30,13,52,6,37,26,8,47,29,1,23,3,17,33,2,24,54,14,41,43,18,39,20,34,16,50,11,44,10,9,38,40,55,53,22,32,45,5,31,35,7,42,27,28
