# c-balanced Latin square
# n=42
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
1,34,15,21,28,9,8,31,26,5,11,19,30,42,22,23,39,16,17,25,37,13,10,20,40,7,41,6,27,14,12,33,24,4,29,38,3,2,32,18,36,35
2,39,41,12,18,25,6,16,27,33,13,20,32,3,38,36,24,5,34,28,14,21,29,11,4,31,23,1,35,26,42,10,19,40,15,30,17,37,7,8,22,9
3,40,17,10,42,24,7,22,38,14,37,4,35,29,1,9,2,26,12,33,6,19,32,30,18,36,8,5,25,15,28,20,31,41,39,23,13,21,11,16,34,27
4,29,20,13,11,23,30,36,35,25,21,12,18,10,31,7,8,15,40,27,41,9,24,22,38,3,17,37,39,16,34,2,32,26,5,33,1,42,19,6,14,28
5,33,36,26,19,14,37,32,41,23,34,8,39,27,40,28,6,3,18,22,1,15,42,35,2,16,10,21,30,13,17,38,11,9,7,12,24,20,25,29,31,4
6,30,38,16,35,32,42,17,4,29,28,15,2,24,33,11,14,13,21,20,31,23,7,27,12,26,34,19,18,9,8,3,22,37,25,36,40,41,10,5,1,39
7,31,24,22,27,1,20,19,3,9,2,40,17,34,25,41,37,29,10,35,11,16,8,5,39,33,42,32,4,36,23,6,13,21,28,18,14,15,26,12,30,38
8,28,18,37,40,15,13,12,10,39,7,41,36,16,21,5,19,32,4,30,38,26,34,25,1,9,14,2,20,22,31,29,35,27,42,11,6,33,17,24,23,3
9,25,14,23,33,31,21,5,11,18,22,1,6,26,12,4,30,42,38,36,32,3,17,41,37,19,15,28,29,24,7,39,34,16,8,10,27,35,13,40,20,2
10,27,35,2,38,3,29,34,15,6,26,42,23,7,13,17,20,31,9,8,39,12,36,28,14,24,25,11,33,40,18,5,1,30,19,32,16,22,4,41,37,21
11,32,19,8,5,16,41,39,20,36,30,24,33,14,37,35,18,27,1,2,42,4,40,6,29,22,13,38,10,3,21,9,12,23,17,31,7,28,34,26,25,15
12,26,21,34,4,22,27,24,1,40,17,9,25,28,32,15,10,35,19,23,7,5,2,31,13,6,20,16,41,11,37,30,36,18,14,3,39,29,38,42,33,8
13,42,37,7,17,39,40,18,28,24,31,16,38,11,20,29,34,41,14,3,26,30,33,9,23,21,27,22,8,1,25,4,15,36,6,35,2,5,12,32,19,10
14,23,29,25,6,36,38,2,30,19,10,3,22,4,8,42,12,33,37,16,24,18,39,21,15,28,35,26,7,5,32,40,17,20,1,41,34,27,31,9,11,13
15,41,9,39,20,34,3,33,7,8,35,5,21,1,6,27,31,11,13,29,17,25,38,36,10,32,12,40,42,30,19,26,28,2,22,4,37,23,18,14,24,16
16,36,31,1,30,26,4,28,13,12,32,14,37,5,19,2,21,23,6,15,40,22,35,3,34,11,18,24,17,38,41,27,25,10,33,20,9,8,39,7,29,42
17,22,32,28,10,2,11,9,37,42,23,27,13,15,18,16,38,25,7,41,19,20,4,33,8,1,39,31,12,29,35,24,14,6,34,21,26,36,30,3,5,40
18,24,33,30,8,12,35,25,21,32,20,29,31,41,10,26,40,36,39,9,34,27,14,37,42,5,4,3,23,2,15,16,7,11,13,22,19,38,1,28,6,17
19,38,6,3,29,11,1,40,14,16,4,36,26,2,39,34,17,22,24,5,10,28,15,13,7,20,30,33,32,37,27,21,8,42,12,9,31,25,35,23,18,41
20,35,42,27,41,5,33,23,6,34,18,25,19,40,7,3,22,28,8,11,12,2,1,26,17,30,29,9,13,31,39,14,37,38,16,24,4,10,15,36,21,32
21,37,13,4,14,7,10,15,8,17,38,39,12,9,23,24,32,30,35,42,29,31,6,16,19,41,28,36,34,18,20,1,5,3,26,40,25,11,33,27,2,22
22,16,5,40,9,42,26,41,2,31,3,7,27,38,30,13,1,21,33,32,36,37,18,24,25,8,11,4,14,6,10,23,29,39,35,15,28,19,20,17,12,34
23,11,34,36,31,19,15,29,17,27,1,10,28,20,41,25,9,4,26,14,18,39,3,12,21,2,40,35,16,42,38,22,33,24,32,5,8,13,6,37,7,30
24,18,39,32,12,37,28,30,42,22,16,33,8,35,14,19,11,6,20,10,13,17,5,23,27,34,38,15,3,7,2,25,41,31,21,29,36,9,40,4,26,1
25,3,4,15,2,21,34,38,24,35,29,6,11,8,36,33,5,40,28,1,22,7,41,10,9,27,37,12,26,19,13,32,18,17,23,14,42,30,16,20,39,31
26,12,1,20,25,17,39,14,31,37,5,13,9,21,15,18,29,7,23,4,30,8,16,32,35,40,22,10,6,28,36,19,42,34,27,2,41,24,3,11,38,33
27,7,8,33,13,6,32,10,19,26,40,30,24,22,3,39,16,20,2,34,25,38,11,42,31,29,36,17,21,41,9,12,4,28,37,1,18,14,5,15,35,23
28,2,40,38,36,35,23,1,9,21,41,18,34,6,4,12,42,17,31,37,27,33,19,15,32,14,5,25,24,39,30,11,3,8,20,26,29,16,22,13,10,7
29,10,30,5,16,41,22,13,36,11,15,28,42,17,26,37,25,38,3,24,35,14,23,1,20,18,33,7,2,8,4,34,40,12,31,6,32,39,9,21,27,19
42,9,3,19,24,4,18,7,12,20,14,23,16,31,5,32,27,8,15,39,21,40,28,29,26,38,6,34,1,33,22,35,10,13,30,25,11,17,37,2,41,36
31,14,11,35,37,27,25,20,39,13,33,32,29,30,34,10,36,2,41,21,9,6,26,4,22,42,19,23,15,17,5,18,16,7,3,8,38,40,24,1,28,12
41,17,22,6,21,18,5,8,40,3,9,2,1,23,35,38,28,19,30,12,16,11,37,7,24,39,31,13,36,27,33,15,26,14,10,34,20,32,42,25,4,29
32,15,7,17,34,10,16,27,33,4,24,26,41,12,11,22,13,1,29,31,5,36,20,2,3,25,9,14,37,21,40,28,39,35,38,42,30,6,23,19,8,18
33,6,26,29,23,40,19,42,25,38,36,37,4,39,28,14,7,24,32,18,8,34,12,17,30,35,16,41,11,20,1,13,9,22,2,27,15,31,21,10,3,5
30,1,28,31,39,8,12,35,22,2,25,21,3,36,42,20,15,9,27,19,23,10,13,18,16,4,24,29,38,32,11,7,6,5,41,17,33,26,14,34,40,37
38,13,10,14,26,20,2,11,5,7,27,34,15,37,16,6,33,18,42,40,3,1,22,39,41,17,32,8,19,23,29,31,21,25,4,28,35,12,36,30,9,24
36,8,23,24,1,29,9,4,32,30,19,35,40,25,17,31,41,34,5,38,33,42,21,14,6,10,3,20,28,12,26,37,27,15,18,16,22,7,2,39,13,11
39,21,16,41,3,28,17,37,18,15,42,22,14,13,24,30,4,10,11,26,2,35,25,40,5,12,7,27,9,34,6,8,38,33,36,19,23,1,29,31,32,20
34,5,2,18,7,38,31,6,29,10,12,11,20,19,9,40,23,39,36,13,28,32,27,8,33,15,26,42,22,25,3,17,30,1,24,37,21,4,41,35,16,14
35,20,12,9,22,33,14,3,16,1,8,31,7,32,27,21,26,37,25,17,4,41,30,19,36,13,2,18,40,10,24,42,23,29,11,39,5,34,28,38,15,6
40,19,25,42,15,13,36,21,23,28,39,38,10,18,29,8,35,14,22,6,20,24,31,34,11,37,1,30,5,4,16,41,2,32,9,7,12,3,27,33,17,26
37,4,27,11,32,30,24,26,34,41,6,17,5,33,2,1,3,12,16,7,15,29,9,38,28,23,21,39,31,35,14,36,20,19,40,13,10,18,8,22,42,25
