# c-balanced sequence
# n=81
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
17,74,28,41,77,42,38,31,27,4,66,32,79,6,64,73,81,13,21,62,11,24,55,36,40,23,15,39,34,69,20,76,9,5,67,70,19,29,22,53,75,47,33,60,57,2,68,71,10,48,44,59,35,54,26,16,18,61,56,1,43,50,49,46,65,45,52,63,72,37,8,25,78,30,12,14,7,3,58,51,80
18,43,58,49,63,29,76,61,1,7,12,44,72,25,60,9,36,69,39,37,35,65,53,75,3,59,45,38,17,8,22,52,50,74,68,41,71,56,19,32,16,55,5,46,30,14,4,15,27,51,26,57,64,77,80,62,67,78,40,70,23,66,79,13,33,34,11,81,48,10,31,73,42,54,6,47,24,21,20,2,28
19,46,30,43,52,2,27,8,14,13,69,53,78,42,70,22,21,28,16,15,54,7,77,80,67,71,63,57,64,11,47,24,35,48,51,58,1,66,37,25,18,79,6,36,9,3,20,41,49,50,81,61,73,4,34,31,74,45,29,10,76,68,60,62,12,56,38,33,5,39,75,40,32,44,55,17,72,26,65,23,59
20,45,36,72,65,34,81,59,29,71,23,55,33,51,35,78,5,74,47,68,46,9,60,31,42,26,66,56,10,79,30,32,43,77,54,44,62,4,3,40,61,67,80,69,12,73,28,13,38,37,25,39,21,11,15,2,6,17,75,49,63,16,24,18,52,41,1,53,7,14,27,50,57,58,19,8,70,64,76,22,48
21,41,73,6,40,57,10,68,75,15,11,20,76,32,24,4,48,38,50,2,59,64,44,49,25,62,17,7,27,1,18,65,22,16,61,29,5,13,12,81,26,39,14,51,31,8,58,79,53,52,34,63,70,23,33,46,47,37,72,36,54,42,67,80,77,28,55,3,19,69,78,66,71,45,35,60,56,43,9,74,30
22,55,53,1,39,79,80,67,60,47,63,13,56,54,30,8,18,12,6,71,58,3,73,61,52,14,11,74,70,75,78,48,19,33,45,72,23,49,38,50,28,24,17,66,59,64,21,76,32,36,7,77,42,9,27,20,44,5,69,35,57,81,65,29,25,43,40,68,51,2,26,16,10,4,15,31,37,46,34,62,41
23,50,66,16,81,12,62,9,69,44,10,58,28,26,65,33,31,77,4,14,19,76,57,5,51,27,40,35,37,21,80,6,15,25,46,34,60,7,2,74,72,63,41,73,29,42,43,47,56,71,8,18,78,68,3,48,55,53,30,45,39,59,64,32,61,24,22,70,1,36,17,20,52,79,13,38,75,67,54,49,11
24,49,32,7,35,61,37,51,38,3,45,52,17,67,56,34,64,29,42,70,30,78,48,66,68,72,41,59,77,36,43,23,53,2,75,63,20,65,15,10,27,60,31,55,50,62,16,54,33,69,22,76,40,46,1,19,79,13,14,11,26,74,44,71,8,21,5,4,9,81,57,58,80,18,28,73,6,12,47,39,25
25,44,31,54,70,11,36,17,5,73,2,18,37,19,40,74,16,41,80,43,47,79,46,69,22,39,28,13,81,12,4,71,55,32,57,26,8,64,9,30,6,1,52,49,20,10,35,45,66,63,58,67,72,62,24,60,51,65,7,15,34,38,75,48,78,42,59,14,76,3,23,56,27,53,61,21,68,50,77,33,29
26,80,59,71,3,48,77,34,42,9,21,57,39,62,15,51,60,1,45,25,55,75,81,50,20,56,58,8,29,24,53,33,67,14,66,47,79,76,28,68,70,43,13,78,22,18,38,52,5,61,17,6,27,65,10,4,73,32,23,37,46,11,12,2,31,54,69,49,30,64,72,74,41,36,16,7,19,40,63,44,35
27,76,14,8,4,64,53,33,78,35,79,6,61,68,46,49,52,72,32,23,63,1,13,10,17,54,65,2,16,3,26,73,38,42,40,7,21,36,69,77,58,11,57,75,19,44,39,74,81,59,31,30,28,41,71,25,56,12,22,50,51,20,18,9,70,29,67,43,80,47,48,37,15,24,34,62,55,45,66,5,60
28,48,11,15,38,72,20,47,40,50,22,64,12,41,14,69,63,27,19,7,31,43,67,33,30,74,76,9,5,49,60,62,54,34,18,78,59,24,16,45,44,68,56,37,25,46,26,23,55,29,21,4,80,66,70,77,3,36,6,8,75,17,58,35,13,57,65,79,73,53,42,39,61,81,51,71,10,2,52,32,1
29,75,55,5,62,46,18,13,65,6,56,43,66,74,71,10,58,37,81,24,34,36,20,8,45,32,4,21,31,57,44,41,68,70,79,39,35,42,17,51,3,73,54,48,61,11,67,80,12,9,53,19,15,2,49,50,28,72,52,78,40,1,7,16,47,63,23,30,26,60,59,33,77,69,64,25,27,22,38,76,14
30,59,22,2,78,23,1,52,77,24,75,54,70,44,63,25,55,9,67,65,16,72,38,26,15,80,73,69,51,61,29,28,27,56,19,4,37,53,71,48,34,76,7,32,14,40,47,42,60,13,35,50,45,12,64,57,39,41,43,81,21,62,33,74,5,10,66,36,20,58,68,46,6,3,79,11,49,8,18,31,17
31,58,57,42,10,19,45,49,76,74,46,36,68,53,21,7,17,3,40,66,39,29,35,6,62,79,60,48,47,52,50,1,64,12,20,77,11,80,18,8,22,81,27,23,33,51,5,75,25,30,24,14,34,16,69,55,59,38,9,71,56,41,61,28,15,2,72,37,67,13,32,4,43,63,70,26,78,73,44,65,54
32,60,13,12,69,25,39,28,16,67,4,26,23,50,81,77,47,73,18,33,2,5,11,14,37,43,53,61,55,71,66,63,59,72,9,6,3,41,31,78,30,10,15,62,49,70,56,36,65,1,64,54,44,38,8,17,76,35,58,20,79,45,52,27,40,68,19,46,22,29,51,34,7,21,80,24,74,48,57,75,42
33,52,80,79,61,8,56,30,41,51,65,7,60,38,22,11,20,44,36,75,78,27,18,70,34,49,64,63,15,13,40,42,2,58,47,81,17,43,46,39,67,21,29,45,35,1,24,37,69,57,3,68,32,48,74,5,26,31,54,53,19,73,4,10,55,6,14,71,77,25,76,62,23,66,59,50,12,16,28,72,9
34,51,9,64,57,24,21,3,71,58,72,73,48,37,59,5,35,62,54,10,45,41,28,42,23,12,25,76,68,32,19,74,46,36,50,31,22,14,52,55,33,65,38,2,16,4,15,6,44,77,43,79,26,29,7,63,75,66,80,27,47,49,39,8,56,17,70,40,78,18,61,11,1,60,69,30,67,13,81,20,53
35,68,17,47,54,73,66,15,70,1,14,8,16,27,80,29,61,26,59,11,53,56,4,71,81,7,77,6,30,78,9,39,51,65,69,13,38,12,57,75,20,40,28,74,58,76,22,48,72,2,67,52,23,49,43,18,34,10,64,42,60,32,25,24,21,31,50,62,63,44,41,79,19,33,5,45,46,37,55,3,36
36,53,26,62,6,50,55,42,63,32,18,34,2,3,31,43,76,67,57,79,17,69,40,22,19,24,46,72,75,10,45,44,23,49,60,74,70,25,64,1,5,80,66,8,21,71,27,73,28,41,78,20,11,37,51,13,61,16,33,77,59,48,14,30,7,81,12,9,35,54,65,15,38,52,47,39,29,4,68,58,56
37,66,67,70,27,44,25,29,74,19,81,28,40,30,39,1,13,68,48,49,52,12,65,21,54,58,38,16,20,41,17,8,77,24,5,10,15,33,61,63,59,4,26,79,72,9,53,50,7,62,14,46,47,36,56,11,78,60,73,2,3,57,76,69,51,18,32,34,43,45,55,22,75,31,71,64,42,6,35,80,23
