# c-balanced sequence
# n=58
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
58,53,24,13,17,8,16,1,6,26,52,27,44,28,23,19,57,30,34,51,11,3,7,2,32,40,41,18,50,47,49,39,12,31,10,21,46,42,14,35,25,5,56,45,33,20,43,36,9,37,54,4,38,15,55,22,48,29
25,45,34,40,56,16,14,41,31,20,12,13,57,51,4,33,49,50,6,36,37,35,22,30,38,46,43,9,27,21,11,15,48,55,54,32,44,23,29,8,1,3,26,18,17,2,53,10,5,19,42,52,24,47,58,7,39,28
26,51,54,9,18,5,36,47,39,46,2,19,29,10,15,3,55,48,52,8,45,42,20,53,4,58,24,17,56,1,44,6,25,7,34,13,27,22,41,43,28,37,38,23,40,12,49,21,30,32,31,35,57,50,33,16,11,14
27,31,35,2,37,32,21,12,41,22,43,33,11,56,7,54,8,10,38,9,49,24,50,14,16,23,34,42,52,28,4,17,20,30,40,39,57,47,53,55,45,15,58,13,26,5,46,29,48,44,19,6,18,36,1,25,3,51
28,50,14,44,42,3,43,55,25,30,7,1,22,48,32,53,58,46,17,47,40,18,5,21,57,36,29,38,6,45,19,2,31,8,51,26,33,12,24,9,11,20,54,35,41,49,13,16,56,27,10,23,39,52,15,37,34,4
29,39,52,11,15,6,23,57,51,4,27,49,45,17,34,24,28,16,33,26,41,19,54,37,13,44,42,31,25,35,46,48,14,3,43,5,18,1,40,10,32,38,47,53,36,30,22,9,20,58,50,55,21,7,12,2,56,8
30,8,48,53,1,24,38,37,10,21,58,15,47,20,40,44,13,12,26,39,3,2,36,56,23,22,55,33,5,16,7,29,9,57,50,25,35,49,17,34,52,19,18,6,27,46,4,42,41,43,14,11,51,31,54,28,32,45
57,5,46,20,3,18,4,36,19,42,56,14,35,31,9,41,50,23,53,43,10,27,51,11,48,32,15,49,12,34,47,52,37,54,6,58,45,28,39,2,21,33,7,44,16,1,29,26,55,13,8,22,25,24,40,30,17,38
45,26,49,6,33,54,13,40,34,28,17,38,21,8,16,29,18,32,1,52,56,25,44,7,35,55,39,41,2,43,58,51,22,27,36,14,30,11,3,31,42,24,10,4,9,47,15,50,12,46,23,53,37,20,48,5,57,19
55,11,9,12,22,25,47,50,24,35,5,7,30,58,46,2,14,40,37,15,31,13,8,20,1,19,26,10,18,54,32,53,42,56,23,4,28,52,38,48,16,51,43,29,45,57,39,17,34,33,36,41,3,49,44,27,6,21
32,16,43,52,41,29,17,44,49,23,48,11,20,39,36,45,51,3,27,34,28,57,33,6,46,4,30,50,22,9,21,37,38,24,13,19,15,56,55,54,53,40,12,14,5,31,8,35,7,25,2,42,47,26,10,1,18,58
38,2,7,14,10,56,54,27,18,31,37,25,39,57,42,55,48,22,19,6,21,4,58,45,47,51,53,24,40,5,33,44,1,50,26,29,8,41,20,12,49,36,30,17,23,32,52,11,3,28,15,9,34,46,16,13,35,43
42,19,13,10,4,34,53,15,26,16,46,52,3,9,43,1,5,38,24,7,30,29,12,41,49,28,31,11,36,27,8,25,23,35,39,17,32,44,47,18,37,58,22,57,2,6,50,51,21,48,56,40,20,45,14,33,55,54
51,58,40,36,31,23,30,2,20,32,33,6,8,50,54,47,35,25,12,55,18,17,53,43,9,15,21,57,48,7,26,14,28,46,4,3,1,16,5,45,34,27,13,56,19,38,44,49,37,24,39,10,52,42,29,11,22,41
50,17,44,21,28,39,45,19,8,29,47,24,13,22,49,58,56,11,42,41,46,16,37,26,10,5,3,14,23,38,52,40,30,34,55,36,20,27,7,57,9,25,15,43,48,54,18,33,6,1,35,51,4,2,32,12,31,53
1,22,33,35,5,27,12,9,48,56,4,55,53,32,37,51,44,57,36,45,14,23,39,34,18,52,54,25,13,20,43,10,15,41,2,11,31,24,46,29,6,8,50,42,21,3,47,40,16,38,58,26,19,30,28,17,7,49
41,3,15,34,7,28,57,52,1,43,54,12,26,38,31,6,30,29,21,20,35,32,2,42,40,17,58,55,16,33,39,50,56,49,47,53,37,51,13,19,48,11,46,24,10,25,27,22,14,4,18,44,45,8,36,9,5,23
37,27,47,24,6,21,46,51,40,14,36,2,18,16,17,25,10,4,8,13,48,38,11,5,22,1,19,44,34,49,3,57,45,29,7,9,42,33,26,58,35,31,23,32,55,28,41,30,52,54,53,39,12,43,56,20,15,50
39,25,55,23,49,58,26,11,33,41,45,44,28,42,19,52,7,20,31,54,9,15,56,50,30,43,8,6,32,12,53,35,13,16,21,48,22,4,10,14,2,18,5,51,37,40,36,3,57,17,34,38,29,27,46,24,47,1
46,18,30,29,57,15,22,38,14,3,53,50,5,40,48,34,9,49,35,4,47,28,10,24,12,27,2,45,54,37,17,19,36,51,58,44,21,43,23,16,39,41,52,1,20,56,11,13,8,7,55,31,32,33,25,6,26,42
43,13,16,56,20,35,42,31,17,6,1,32,19,11,26,39,27,33,50,23,51,52,3,29,36,53,47,7,46,24,40,41,18,9,15,8,38,25,22,49,12,44,55,28,34,58,2,54,45,30,21,5,14,57,37,4,10,48
48,4,8,54,45,36,34,18,5,55,51,10,37,24,30,14,21,2,44,49,58,41,25,38,31,57,33,56,29,42,28,11,6,17,12,43,40,3,1,27,47,32,20,26,46,53,7,39,19,9,16,15,23,35,22,50,52,13
53,12,37,8,32,52,10,58,9,47,28,21,27,23,41,57,1,7,43,40,19,55,46,16,26,14,13,22,15,2,45,20,39,48,42,34,5,50,30,56,17,54,35,33,44,4,6,24,36,31,29,25,49,38,3,18,51,11
