# c-balanced Latin square
# n=73
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
19,37,36,16,40,73,64,15,13,69,47,56,33,58,45,44,53,68,31,50,63,32,43,25,30,62,55,59,10,67,21,26,42,20,54,39,72,12,23,18,7,48,3,9,38,49,65,41,8,29,57,60,61,5,1,17,66,6,34,2,22,35,28,51,46,11,70,52,14,71,24,4,27
20,41,66,2,8,47,55,54,57,70,51,27,26,67,48,6,29,11,21,23,59,14,35,49,24,73,17,52,12,33,61,5,22,56,46,34,28,40,44,1,4,13,63,71,30,64,15,43,53,69,50,10,25,19,16,65,32,38,37,62,72,18,39,7,42,45,3,58,9,36,68,60,31
21,43,65,10,60,51,68,31,5,22,13,62,45,72,71,39,32,16,69,9,48,3,37,7,42,26,36,38,6,28,34,18,49,50,4,27,24,63,73,11,15,52,47,35,19,58,66,59,70,56,44,20,41,33,46,14,67,55,23,29,1,54,53,40,30,2,17,61,25,12,8,64,57
22,61,70,1,53,63,20,30,14,15,7,18,42,29,64,34,46,57,2,38,17,44,52,71,56,58,40,72,35,25,16,9,54,8,68,59,23,62,43,32,6,31,55,5,33,36,73,21,60,45,13,67,12,37,49,24,11,39,50,51,27,4,41,3,26,66,47,48,28,19,65,69,10
23,55,67,9,11,25,36,38,58,10,59,49,12,19,52,28,3,26,24,1,8,27,53,60,65,66,30,50,4,68,47,41,64,29,7,21,14,51,17,70,37,69,16,45,61,20,54,18,34,42,48,39,71,31,56,40,35,2,15,33,63,62,57,73,13,5,43,72,46,32,44,6,22
24,50,35,4,12,69,44,6,32,39,28,72,73,66,37,13,65,33,19,5,54,22,45,41,29,23,15,70,8,43,31,51,40,48,60,57,61,10,71,26,27,42,46,64,25,2,30,14,11,62,58,3,21,36,53,52,34,47,59,68,17,67,20,9,63,7,16,49,56,55,18,1,38
25,49,21,45,46,2,42,18,40,31,33,16,47,41,4,61,14,66,59,62,39,55,56,5,67,20,69,11,48,63,13,36,1,44,3,6,58,53,72,38,34,32,17,23,28,7,68,29,37,9,73,19,22,64,27,43,8,12,57,60,65,10,50,52,24,35,54,71,70,15,26,51,30
26,51,63,57,34,9,32,48,68,56,37,60,8,43,38,17,27,15,53,30,10,7,12,64,36,49,47,71,18,62,54,2,52,73,55,19,35,67,65,39,33,24,13,20,22,72,11,50,31,16,1,66,70,45,29,44,58,3,6,46,61,28,14,4,69,40,25,59,42,5,41,23,21
27,65,14,58,52,1,72,62,23,43,71,50,11,20,46,30,63,70,54,42,35,15,31,73,45,16,44,40,29,61,3,57,24,69,28,12,25,49,9,21,22,2,41,59,56,5,48,47,6,7,4,51,13,17,26,39,10,36,55,18,8,53,38,60,64,32,19,68,34,66,37,67,33
28,64,13,5,71,17,7,61,37,41,55,67,68,2,24,57,36,22,60,18,6,4,21,46,33,59,3,39,34,70,58,19,50,10,14,38,66,1,47,52,25,49,65,53,8,43,40,51,9,26,15,35,32,69,23,72,30,54,48,73,42,56,16,11,31,44,62,45,12,20,27,63,29
29,47,59,6,73,19,8,26,53,54,35,3,25,10,69,23,40,44,51,48,43,20,67,9,34,17,31,32,64,56,4,27,66,63,45,11,15,42,50,30,16,36,62,18,68,12,37,71,57,55,49,52,46,60,28,38,22,33,5,24,41,1,21,58,70,65,14,39,2,7,13,72,61
