# c-balanced sequence
# n=38
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
36,33,23,1,28,24,22,15,16,25,20,8,9,7,11,12,10,18,26,4,34,30,37,29,13,2,6,17,35,19,31,21,38,32,5,3,27,14
2,37,30,9,27,26,7,6,19,5,35,13,1,34,3,15,22,17,36,33,21,38,31,14,32,18,11,29,24,25,23,8,16,12,28,20,4,10
3,38,32,11,17,14,18,21,10,12,29,4,23,24,31,20,19,2,27,28,6,8,35,25,16,5,1,34,36,7,13,30,37,22,9,26,15,33
4,25,35,13,29,8,31,34,37,27,38,33,14,30,21,26,32,5,3,16,23,20,7,24,36,10,28,9,12,22,15,18,2,6,1,11,19,17
5,21,16,10,19,20,36,11,17,2,32,18,37,28,6,8,14,25,9,13,15,12,1,22,33,38,30,3,27,4,26,35,7,24,23,34,29,31
6,31,15,24,34,12,28,30,9,3,26,22,16,5,27,38,7,1,35,29,32,19,11,17,23,4,8,14,2,20,37,33,10,36,21,13,25,18
7,22,14,12,18,15,33,4,1,23,36,31,25,17,35,13,29,6,37,24,10,2,27,5,21,20,19,26,28,32,3,9,11,34,16,38,30,8
8,20,19,26,38,32,35,29,13,21,28,11,10,2,33,4,34,23,30,25,22,3,9,18,12,37,31,15,16,1,6,17,27,14,7,36,5,24
9,27,18,3,6,37,5,23,2,7,30,24,19,15,16,36,28,11,31,14,1,17,33,8,26,34,21,22,38,10,29,20,4,13,25,35,12,32
10,1,17,8,16,25,13,20,32,24,14,34,36,22,29,9,21,4,12,38,5,18,26,15,27,3,35,7,30,33,11,28,31,19,2,37,23,6
11,26,34,2,31,30,4,17,35,33,6,3,27,12,32,18,37,38,10,20,7,16,36,28,19,14,23,25,13,21,24,5,29,8,15,22,9,1
12,28,29,21,22,23,10,25,14,31,1,5,38,8,37,19,30,24,7,15,35,13,6,2,11,9,36,33,4,34,27,32,18,3,26,17,20,16
13,29,7,5,33,36,9,27,38,34,15,19,20,26,23,17,3,16,22,18,11,4,32,10,31,25,24,37,6,8,12,14,1,35,30,21,28,2
14,32,37,4,35,11,19,3,18,28,16,21,6,13,25,1,24,33,8,2,26,29,34,20,30,22,12,5,31,9,17,23,15,38,27,10,36,7
15,24,36,20,30,2,38,8,26,22,9,7,12,35,10,5,31,27,34,17,19,28,21,13,6,1,32,18,23,14,16,25,3,33,29,4,11,37
16,23,27,25,1,21,6,12,33,4,37,17,29,11,20,2,9,13,32,8,36,14,30,3,35,7,15,10,19,5,38,34,28,26,18,31,24,22
17,34,6,31,7,3,1,24,22,11,10,27,30,18,28,14,33,15,21,5,9,25,23,4,38,29,16,8,26,37,2,36,19,20,13,32,35,12
18,35,28,38,14,5,16,26,15,8,13,2,32,4,36,25,23,20,19,1,31,37,10,12,7,24,27,21,17,29,22,11,9,30,33,6,3,34
19,30,33,22,32,9,3,37,36,29,12,23,21,31,7,34,35,26,11,6,27,24,28,16,17,15,13,20,1,18,10,2,5,4,8,25,14,38
20,13,8,19,4,10,2,14,31,18,25,15,24,38,1,22,16,12,29,3,37,27,5,9,34,35,33,32,11,30,36,26,6,7,17,28,21,23
21,9,10,34,37,28,27,5,7,30,17,35,26,6,14,32,8,36,18,23,2,33,22,38,25,31,4,11,3,16,20,1,12,15,24,29,13,19
25,11,12,29,23,17,24,1,34,20,33,32,22,16,13,3,6,28,38,30,4,21,15,36,37,26,14,2,7,27,8,19,35,31,10,9,18,5
31,3,26,36,15,35,29,38,23,6,4,9,18,19,2,11,5,21,33,10,12,7,24,1,8,17,20,13,34,28,25,22,14,37,32,27,16,30
24,2,22,27,13,7,11,32,8,16,5,20,28,10,17,30,15,37,14,31,25,35,3,19,18,23,9,38,29,6,4,12,34,21,36,33,1,26
30,16,38,18,25,33,12,36,21,19,8,37,3,1,34,27,4,35,13,9,14,26,20,32,29,28,10,6,15,31,5,24,23,17,22,2,7,11
1,14,5,37,10,6,34,9,28,17,7,36,31,33,26,24,11,19,20,22,29,23,16,30,2,27,18,12,21,3,35,13,32,25,4,8,38,15
32,15,4,35,20,18,23,13,27,26,11,25,2,21,38,29,12,7,28,34,17,1,8,6,5,19,22,24,9,36,30,10,33,16,37,14,31,3
26,5,24,6,2,16,21,31,29,10,3,14,15,9,30,23,25,8,17,32,33,22,12,11,4,13,7,36,37,38,1,27,20,18,35,19,34,28
28,7,1,17,8,38,20,19,30,14,22,12,4,37,18,31,36,10,24,35,16,34,13,27,3,32,2,23,33,26,21,15,25,29,11,5,6,9
22,4,3,33,11,13,32,16,25,15,34,29,35,27,5,10,26,9,6,36,38,31,19,21,14,30,37,28,8,24,18,7,17,23,12,1,2,20
27,36,21,23,12,19,37,2,6,35,24,28,8,29,9,7,1,3,25,11,18,15,38,31,20,33,5,30,32,17,34,4,26,10,14,16,22,13
23,17,31,7,9,34,30,10,5,13,18,38,33,32,22,16,20,14,2,37,28,11,4,26,1,12,3,35,25,15,19,29,36,27,6,24,8,21
29,8,11,14,26,4,25,18,3,36,19,1,13,20,12,37,27,32,15,21,24,5,17,23,22,6,34,16,10,2,9,38,30,28,31,7,33,35
33,12,20,28,21,22,15,35,24,1,2,30,17,23,4,6,38,34,16,26,8,10,25,7,9,36,29,19,14,11,32,31,13,5,3,18,37,27
34,19,9,32,24,27,26,33,11,37,31,10,5,36,15,21,13,30,4,7,3,6,29,35,28,8,38,1,18,12,14,16,22,2,20,23,17,25
35,6,25,30,3,31,17,22,20,38,27,16,7,14,8,28,2,29,1,12,13,32,18,34,24,11,26,4,5,23,33,37,21,9,19,15,10,36
38,10,13,16,36,29,14,28,12,32,23,6,11,25,24,33,18,31,5,19,20,9,2,37,15,21,17,27,22,35,7,3,8,1,34,30,26,4
37,18,2,15,5,1,8,7,4,9,21,26,34,3,19,35,17,22,23,27,30,36,14,33,10,16,25,31,20,13,28,6,24,11,38,12,32,29
