# c-balanced sequence
# n=77
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
18,48,50,1,32,3,69,42,53,40,23,5,66,59,58,41,77,51,30,28,20,44,12,21,27,8,52,45,49,65,62,6,36,73,76,55,16,56,75,22,71,39,46,47,57,4,37,68,24,10,61,60,74,2,15,43,13,33,19,72,35,64,54,25,34,67,63,26,14,9,17,11,7,70,38,31,29
19,73,75,2,37,43,64,65,16,70,55,54,17,33,27,60,29,7,31,56,4,14,72,76,63,36,25,46,34,53,61,57,68,13,67,30,32,11,45,42,15,9,12,35,18,74,40,66,38,6,1,41,26,48,77,5,20,52,24,71,28,69,51,3,22,49,50,44,10,62,21,8,47,59,39,23,58
20,65,66,61,74,5,34,1,41,60,47,71,9,49,15,39,42,63,24,35,48,67,68,37,38,30,10,70,64,22,28,25,72,69,21,29,19,50,58,17,31,3,44,26,8,43,27,16,11,7,53,36,46,73,23,56,62,14,57,13,59,55,18,12,76,32,45,6,77,54,51,2,52,33,4,40,75
21,46,26,62,57,56,39,68,28,12,45,6,69,11,77,10,52,8,33,36,58,76,43,23,7,20,18,50,73,44,4,55,75,48,2,54,40,63,9,51,59,5,38,14,67,41,71,13,32,17,31,47,70,35,3,30,34,42,29,49,22,37,15,1,72,53,74,64,16,66,24,25,61,60,19,65,27
22,77,38,15,14,31,54,44,51,7,21,13,30,25,71,64,76,24,74,19,40,17,34,53,1,6,35,32,59,37,66,56,12,42,3,10,26,27,49,4,2,72,16,60,52,29,8,65,23,20,57,33,75,39,11,55,68,41,62,69,61,73,47,58,48,5,36,28,70,63,67,18,46,9,50,45,43
23,47,58,42,11,40,63,2,29,32,39,50,67,16,73,37,72,46,53,55,22,66,75,59,41,3,49,44,5,9,33,31,60,51,43,15,45,36,74,18,70,64,24,61,62,25,69,28,77,48,19,21,27,76,10,6,54,26,35,65,4,56,8,52,20,7,1,38,13,34,57,71,14,30,12,17,68
24,72,67,45,8,55,20,30,27,15,4,35,62,68,28,48,57,19,70,50,65,18,61,9,12,69,16,26,13,29,38,17,58,7,71,14,46,47,52,11,77,6,23,73,56,1,5,75,54,64,43,37,34,25,49,66,51,63,2,60,74,33,41,32,36,31,39,40,3,42,53,76,21,22,44,10,59
25,69,60,70,59,52,36,43,49,75,64,3,31,44,61,63,6,56,21,13,5,10,27,54,14,57,47,74,28,71,19,39,41,34,66,35,8,12,37,76,1,40,65,33,7,68,32,22,51,67,45,58,42,9,18,4,16,46,17,53,30,38,23,2,50,11,77,29,72,20,73,15,24,55,48,62,26
26,54,7,10,51,9,53,33,23,14,48,76,74,34,45,1,18,62,4,29,38,59,46,73,52,11,2,8,42,17,75,65,77,55,24,70,49,68,20,69,25,32,13,58,30,28,50,44,61,63,15,12,3,72,67,36,40,66,21,39,47,27,22,19,57,71,35,60,43,56,5,31,6,64,16,41,37
27,41,5,12,71,25,3,17,58,37,73,10,77,46,72,47,66,34,2,32,30,16,35,33,60,67,4,24,40,63,15,36,50,64,20,62,6,22,31,21,56,19,57,43,53,59,76,55,42,18,49,39,14,38,29,52,48,7,61,1,75,9,44,26,45,68,13,54,65,28,74,23,51,8,11,69,70
28,76,55,6,49,61,22,19,38,13,56,11,32,20,36,40,41,68,65,17,31,57,74,51,42,15,43,39,62,21,72,45,23,54,52,1,3,48,26,66,44,73,27,75,2,60,9,10,53,29,4,69,16,50,71,8,59,37,34,64,5,70,14,33,30,12,24,47,46,58,63,7,25,18,77,67,35
