# c-balanced sequence
# n=68
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
21,62,11,13,65,47,17,36,8,44,15,24,2,26,25,64,20,49,61,3,16,67,23,4,68,37,12,45,41,55,63,50,32,56,10,57,60,39,54,46,51,43,35,33,66,38,31,28,9,58,22,27,59,52,48,29,30,5,19,1,34,14,40,7,6,53,18,42
22,14,51,1,64,41,53,29,6,10,37,28,33,50,43,13,54,19,57,34,52,30,40,39,66,7,38,58,4,42,18,44,17,27,55,45,23,48,26,59,9,49,16,5,47,46,25,2,62,67,8,12,32,31,56,63,15,20,60,3,35,24,65,11,21,68,36,61
23,38,9,61,57,68,2,60,52,31,66,35,65,45,27,30,46,67,18,63,11,43,32,56,26,47,5,3,25,48,29,20,15,34,12,28,14,42,62,37,16,24,50,1,21,54,19,36,41,7,40,13,6,44,33,58,55,22,53,4,59,49,8,17,51,10,39,64
24,42,55,5,6,35,58,7,22,48,27,9,62,56,15,39,16,10,1,59,20,54,12,41,33,49,64,40,61,31,51,65,13,38,21,25,8,53,17,36,68,32,44,45,4,63,18,60,29,50,34,11,47,14,3,28,46,37,67,23,2,30,26,52,66,57,19,43
47,50,46,59,25,3,63,28,23,4,49,36,19,21,57,17,14,32,53,30,66,37,58,34,52,60,18,44,8,2,24,43,11,22,67,1,5,7,65,40,29,38,10,27,51,6,35,56,64,26,48,20,62,42,68,54,61,39,15,41,9,45,31,55,16,13,12,33
26,37,8,41,12,49,34,13,45,16,53,20,54,44,40,67,51,29,4,48,9,5,31,36,15,11,23,14,62,6,7,68,42,64,30,39,33,66,19,28,60,63,52,61,46,22,43,55,24,2,3,57,18,65,17,27,35,10,38,21,25,56,47,58,59,50,1,32
27,43,39,67,56,62,33,1,19,18,61,38,25,42,64,22,2,44,24,45,26,65,68,50,10,55,63,17,29,21,53,58,35,16,59,46,9,32,41,31,47,14,3,34,15,13,11,12,4,23,30,66,8,49,7,57,6,40,48,36,51,37,20,5,54,60,52,28
28,68,57,48,52,15,66,18,40,3,32,31,46,58,33,11,55,47,60,35,12,7,13,21,20,2,51,50,59,4,36,26,9,6,63,56,54,24,10,45,30,42,17,8,29,23,44,39,37,16,19,5,53,1,64,41,62,49,25,14,61,43,22,34,65,27,38,67
29,56,64,60,8,16,30,5,65,43,7,17,51,10,23,59,37,6,25,39,14,46,61,47,19,38,1,22,52,34,54,3,41,48,62,44,13,49,15,57,27,12,58,55,26,32,40,67,53,20,68,28,4,36,18,50,21,33,31,63,66,2,42,45,35,24,11,9
30,36,10,12,9,54,4,55,2,42,14,67,34,68,53,63,66,21,28,41,23,49,62,45,22,18,24,43,57,27,5,11,37,31,19,20,40,38,35,33,50,39,25,59,65,52,8,61,3,1,56,58,46,13,51,26,32,60,47,7,64,16,6,44,48,15,17,29
31,11,6,52,20,38,26,44,17,47,58,48,24,49,1,3,15,50,40,13,33,27,5,35,16,65,32,25,60,56,66,28,8,53,61,37,51,29,2,64,21,67,41,7,68,36,34,57,10,42,45,63,9,39,22,23,59,43,12,54,30,19,46,18,14,55,62,4
32,58,17,2,59,7,21,35,54,50,41,13,63,29,61,36,62,8,27,64,51,42,57,6,9,67,46,39,15,49,30,45,60,12,18,14,16,22,4,1,43,66,23,20,19,26,48,5,47,33,31,55,44,3,11,25,65,24,28,52,53,38,37,10,34,56,40,68
33,65,63,4,23,45,24,46,1,37,55,22,20,39,31,34,11,43,19,56,59,38,25,48,53,28,44,7,26,47,10,66,40,35,3,50,52,68,67,6,18,30,54,2,64,17,62,9,51,14,15,32,21,16,12,60,29,42,8,27,57,5,58,36,13,41,61,49
34,40,15,25,19,53,60,14,57,51,9,62,12,61,32,16,41,5,37,18,54,3,4,10,8,29,13,42,68,64,21,67,47,36,65,43,11,55,58,44,48,56,46,28,49,24,59,27,6,52,7,17,38,35,66,45,26,31,23,20,39,1,30,50,33,63,22,2
35,45,61,66,39,28,49,22,68,27,64,6,43,52,5,19,42,26,7,58,44,11,2,17,30,20,36,33,55,23,12,57,1,15,24,32,38,4,63,8,14,13,31,40,9,16,60,54,50,65,41,37,25,51,34,67,10,18,56,59,62,48,29,21,46,47,53,3
