# c-balanced Latin square
# n=39
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
1,29,39,24,37,34,31,32,30,27,15,14,5,25,22,36,10,12,35,8,6,7,28,9,19,38,33,20,13,3,23,18,11,16,26,4,21,17,2
2,36,18,12,16,7,6,10,26,8,17,28,33,39,11,37,13,27,15,34,1,35,23,3,20,21,4,32,30,19,22,14,25,31,24,9,29,38,5
3,38,13,11,19,9,25,23,22,35,4,21,20,7,2,18,31,32,30,24,29,5,26,14,15,16,17,36,6,28,1,10,27,8,33,34,39,12,37
4,21,14,27,33,8,5,28,20,19,9,1,29,34,26,23,16,37,17,38,22,39,31,18,12,11,24,10,25,2,36,30,7,13,32,6,15,35,3
5,32,20,10,30,15,35,17,13,24,36,16,3,12,6,33,38,25,7,2,4,11,21,27,1,8,37,34,31,39,26,9,29,22,14,18,23,28,19
6,22,34,28,17,26,14,18,39,2,11,38,31,23,30,8,3,9,19,21,13,32,33,36,25,5,29,35,12,15,16,24,37,4,7,20,1,27,10
7,23,15,25,31,1,29,3,21,12,37,18,27,24,19,9,4,28,16,36,20,10,2,34,39,22,26,14,5,33,32,38,6,17,35,11,8,13,30
8,26,37,35,4,22,11,16,33,38,5,32,10,13,1,24,14,20,29,18,3,15,17,30,6,2,23,9,7,27,21,12,28,39,19,25,36,31,34
9,30,17,2,21,27,38,36,29,31,25,6,19,35,32,28,39,34,33,14,26,12,37,10,4,13,7,1,8,18,11,20,5,3,23,15,16,24,22
10,24,19,23,39,3,20,12,9,7,13,34,22,15,4,5,6,26,1,11,27,25,16,8,29,35,18,28,38,37,31,17,21,36,30,2,32,14,33
11,25,16,32,18,36,33,15,37,1,30,7,8,17,14,29,21,2,23,5,28,24,19,13,31,3,27,39,22,4,6,35,34,10,38,12,26,20,9
12,28,33,6,20,13,2,34,4,14,3,39,26,21,27,35,17,36,31,10,23,9,22,38,24,32,30,15,16,29,8,19,1,5,11,37,7,25,18
13,31,35,5,38,28,24,19,8,18,10,23,37,36,16,25,15,11,22,39,17,30,20,32,7,14,12,21,26,9,34,3,33,2,1,27,4,6,29
14,27,7,26,29,32,4,1,6,34,22,2,11,9,38,20,30,8,3,12,37,18,25,35,33,36,31,19,17,24,5,13,23,15,28,39,10,16,21
15,35,31,9,22,21,39,24,5,16,33,12,30,29,10,7,1,18,6,32,19,38,4,11,37,34,28,25,23,14,27,2,26,20,3,17,13,36,8
16,34,3,8,36,23,30,27,25,11,26,17,4,28,18,15,19,5,13,9,33,14,1,21,2,20,6,29,37,10,35,39,12,24,22,38,31,7,32
17,37,29,38,14,12,19,21,10,23,20,35,13,2,31,39,32,24,28,4,7,8,6,16,26,27,22,3,11,34,25,15,36,9,18,5,30,33,1
18,39,36,1,25,10,37,7,2,3,32,24,6,20,5,12,22,33,38,27,31,34,29,15,23,9,16,8,35,17,30,4,13,19,21,14,28,26,11
19,33,11,4,8,6,13,26,27,28,16,15,9,14,3,34,7,21,39,25,30,36,24,5,17,10,1,2,18,20,38,37,31,32,29,35,12,22,23
20,1,2,30,9,5,17,22,38,32,29,31,36,37,8,10,34,23,26,35,21,3,12,39,28,18,15,11,24,13,7,33,14,6,27,16,25,19,4
21,6,28,15,24,14,7,11,23,25,12,30,18,26,33,27,35,31,4,16,9,1,13,22,5,19,3,38,36,32,20,29,8,34,37,10,2,39,17
22,18,32,34,3,35,16,2,31,36,39,19,1,38,17,13,20,29,8,37,14,26,11,7,27,25,10,12,4,21,33,28,30,23,9,24,6,5,15
23,12,26,37,27,29,32,33,15,5,21,9,25,4,24,6,11,14,10,13,16,17,38,28,34,30,39,31,19,1,2,22,18,7,36,8,35,3,20
24,10,30,17,13,39,28,4,34,20,35,8,7,19,12,1,2,3,5,22,15,27,18,37,36,6,9,33,21,23,29,16,32,26,25,31,38,11,14
25,20,8,7,10,31,18,9,14,6,38,22,23,16,21,11,33,30,36,19,2,29,32,24,35,4,13,26,15,5,3,1,17,12,39,28,34,37,27
33,4,5,19,26,11,1,35,36,39,28,27,15,3,29,22,37,17,12,20,34,2,8,31,14,23,38,7,32,6,9,25,10,21,16,13,18,30,24
27,9,38,16,34,2,3,37,17,29,24,13,21,31,28,32,25,6,18,23,5,33,10,20,30,12,11,4,14,7,39,26,15,35,8,19,22,1,36
38,5,22,14,15,30,12,8,18,10,7,37,32,11,35,4,26,1,25,28,36,19,39,23,13,33,21,24,20,16,17,34,2,27,31,29,3,9,6
31,13,21,39,1,16,23,25,19,26,14,20,34,30,36,2,27,15,24,7,35,6,9,17,3,29,5,22,28,8,37,11,38,18,10,32,33,4,12
29,3,9,36,12,24,22,6,11,4,8,33,17,10,23,16,18,39,37,15,38,31,30,25,32,1,2,27,34,35,28,5,19,14,13,26,20,21,7
36,7,6,29,28,20,27,13,35,33,2,3,39,5,34,38,9,19,32,26,18,21,14,1,16,17,8,37,10,12,4,31,24,30,15,22,11,23,25
32,17,23,21,11,37,15,31,28,30,1,10,12,8,25,14,24,7,20,29,39,4,35,6,22,26,19,18,9,36,13,27,16,33,34,3,5,2,38
35,2,4,33,5,19,34,14,1,13,18,26,38,22,9,21,23,16,27,3,8,37,36,12,10,31,25,30,29,11,24,32,20,28,6,7,17,15,39
26,19,25,3,32,18,10,30,16,17,6,5,24,27,20,31,28,22,34,33,11,13,7,2,8,15,14,23,39,38,12,21,9,1,4,36,37,29,35
37,8,12,20,35,38,21,39,7,15,31,36,28,32,13,17,29,4,11,6,10,16,3,19,9,24,34,5,33,30,14,23,22,25,2,1,27,18,26
34,15,27,18,6,4,9,29,24,22,23,11,2,33,7,30,12,13,14,1,25,28,5,26,38,39,32,17,3,31,10,36,35,37,20,21,19,8,16
39,14,24,22,2,25,36,5,12,37,19,29,16,1,15,3,8,35,21,31,32,23,34,33,11,7,20,13,27,26,18,6,4,38,17,30,9,10,28
30,16,10,31,7,33,26,20,3,9,34,4,14,18,37,19,36,38,2,17,12,22,27,29,21,28,35,6,1,25,15,8,39,11,5,23,24,32,13
28,11,1,13,23,17,8,38,32,21,27,25,35,6,39,26,5,10,9,30,24,20,15,4,18,37,36,16,2,22,19,7,3,29,12,33,14,34,31
