# c-balanced Latin square
# n=96
# c=2
# mode=weak
# latin=true
# found_by=greedy
# rows=items, cols=days, entry=player
15,65,78,28,56,94,69,67,31,20,71,25,46,43,22,51,10,35,8,91,58,48,1,57,36,62,21,18,55,60,27,61,49,7,82,39,26,96,42,73,50,53,34,17,54,3,64,92,29,11,24,87,68,79,14,16,85,66,13,74,44,4,19,38,93,30,32,5,47,70,52,45,59,90,89,9,81,40,63,6,84,86,23,72,80,33,2,83,95,12,37,77,41,75,76,88
16,59,32,36,96,37,35,27,66,95,11,89,80,45,81,38,86,33,5,40,2,12,3,87,90,24,83,93,54,84,88,29,77,44,42,72,13,4,39,6,47,69,28,94,31,19,68,70,52,67,73,53,41,7,76,65,20,49,26,25,75,23,50,43,63,85,9,64,51,17,56,58,48,62,34,8,91,46,78,15,82,74,55,71,22,1,92,18,60,30,10,14,79,21,61,57
17,70,50,34,79,53,86,71,23,74,78,7,13,41,57,87,82,6,30,42,76,60,72,55,56,58,68,26,46,15,51,65,92,52,10,2,48,18,14,77,62,38,8,1,75,25,96,88,37,9,63,36,94,61,45,93,21,90,67,84,89,33,91,66,40,29,81,83,22,16,27,31,39,95,4,43,59,28,54,73,32,5,35,3,69,64,12,20,24,19,47,80,44,11,85,49
18,76,89,63,3,9,54,26,25,33,32,66,12,93,49,14,80,44,39,19,85,27,75,4,31,47,79,22,81,24,73,64,70,34,83,20,16,30,15,11,91,43,21,87,7,40,5,78,95,35,74,1,23,59,46,58,10,69,28,96,55,52,56,48,60,2,72,86,71,92,38,94,53,61,88,57,17,42,37,77,67,36,90,62,65,41,51,6,45,29,50,68,8,13,82,84
19,68,38,92,47,10,60,91,48,1,61,29,88,21,72,62,45,94,64,9,67,41,8,16,52,43,39,5,28,37,80,71,90,23,95,22,86,59,53,17,76,49,66,51,56,18,84,12,57,82,79,42,30,44,50,13,78,73,35,83,77,7,6,75,3,65,26,11,40,14,54,24,87,2,74,20,69,36,89,93,85,63,15,31,58,81,46,33,70,96,25,4,27,55,32,34
20,81,40,95,51,11,87,83,2,15,36,31,58,73,17,33,28,24,85,82,13,37,77,65,35,23,6,69,45,93,75,25,78,96,14,3,54,84,55,61,27,4,63,46,74,48,67,89,26,49,60,32,34,72,38,70,88,92,71,21,47,90,29,79,5,1,62,57,8,30,80,68,12,52,64,22,18,50,19,56,42,41,44,91,7,76,10,94,9,86,39,59,53,66,16,43
21,84,42,94,74,1,85,52,89,54,69,30,64,4,63,70,55,59,20,53,7,56,96,40,32,34,46,13,48,43,50,44,57,62,67,12,81,47,10,88,68,58,93,3,41,29,14,33,86,8,90,45,22,2,91,27,37,76,19,16,80,15,82,9,24,39,17,18,31,79,73,6,65,66,26,72,71,77,51,38,49,11,25,28,61,75,95,87,23,78,60,83,5,35,92,36
22,56,44,90,41,5,75,73,18,65,8,72,57,68,59,26,16,95,66,71,50,19,53,25,29,49,9,82,86,77,7,31,91,38,76,21,35,80,60,92,52,24,79,64,36,28,11,6,20,85,39,61,83,47,4,43,48,51,81,23,12,45,32,94,69,87,67,84,58,42,78,93,96,46,55,14,70,27,33,10,89,88,34,13,37,74,17,30,15,1,63,3,2,54,62,40
23,96,46,6,93,2,39,43,37,3,79,49,84,10,61,12,83,36,88,27,77,17,51,11,92,5,74,78,14,40,1,89,55,8,32,66,87,75,9,33,30,94,13,65,42,70,50,16,58,62,15,54,80,69,53,56,31,24,34,22,86,60,71,44,19,28,25,63,45,41,59,95,82,7,81,35,85,67,76,47,21,4,29,64,68,72,91,57,90,38,48,73,52,20,18,26
24,90,48,58,52,57,4,47,35,62,28,55,87,76,92,96,15,69,38,60,18,91,70,34,83,71,30,67,2,20,94,42,27,41,29,63,19,73,72,45,37,1,85,25,59,10,81,77,43,51,17,7,65,88,89,95,26,40,33,68,64,8,54,39,78,50,61,14,46,13,44,66,74,56,86,5,3,80,75,53,23,79,16,82,12,32,36,49,11,31,84,21,22,93,6,9
25,82,64,29,45,33,13,53,16,50,14,39,34,86,67,65,79,32,78,68,44,63,80,61,6,66,81,17,95,21,54,46,36,3,26,15,74,56,22,38,7,31,57,35,84,12,83,4,71,23,19,59,5,1,55,52,9,75,30,87,18,11,93,73,62,49,27,37,72,48,76,91,88,20,94,51,2,10,43,41,92,60,96,8,90,40,70,85,47,42,58,69,24,89,77,28
26,49,66,8,43,7,12,22,88,9,80,93,51,40,60,11,54,42,73,89,23,31,90,62,94,76,86,47,10,92,18,52,85,64,28,5,82,61,20,70,48,44,2,24,69,34,37,91,68,16,75,72,3,6,78,25,29,46,77,41,63,95,58,35,57,96,53,55,33,21,36,50,15,84,32,19,30,38,65,87,1,13,39,27,4,83,45,14,71,59,56,74,81,17,67,79
27,63,72,59,78,71,31,38,19,30,24,74,91,2,58,35,75,77,15,21,1,81,84,10,93,87,57,41,51,4,33,56,79,6,45,49,60,85,36,69,89,95,26,82,53,32,47,18,90,13,92,67,14,12,66,28,11,96,39,8,17,61,70,20,34,43,22,42,54,23,3,16,73,83,40,37,64,68,9,7,44,62,94,5,48,52,50,76,80,25,65,55,88,46,86,29
