# c-balanced sequence
# n=54
# c=2
# mode=weak
# latin=true
# guarantee=2-balanced
# rows=items, cols=days, entry=player
26,50,42,11,48,47,14,38,7,1,40,43,20,32,35,24,41,30,17,4,45,5,46,28,13,29,31,12,8,25,52,15,23,16,33,10,3,53,21,2,19,9,51,49,39,27,18,37,34,44,36,22,54,6
27,41,3,31,52,2,13,17,54,51,15,18,46,23,50,39,19,49,32,8,21,33,38,36,43,44,45,53,40,20,37,6,35,22,12,4,7,34,48,5,10,28,16,11,24,47,9,1,30,14,26,29,25,42
28,23,5,30,6,37,1,18,25,47,44,12,4,7,53,20,26,11,10,48,42,9,34,51,16,19,22,21,2,24,39,54,29,14,27,46,49,38,36,52,50,17,33,41,8,31,15,3,35,40,32,43,45,13
29,22,17,43,49,9,8,50,24,14,39,41,34,13,36,3,38,16,40,46,33,35,37,2,53,32,28,15,47,4,11,27,30,1,26,31,5,42,45,25,44,23,54,21,7,48,6,12,51,18,19,10,52,20
30,26,40,44,51,42,19,52,10,45,32,35,21,15,12,27,9,31,7,54,6,25,48,3,20,39,18,17,5,37,1,36,13,43,28,23,24,8,14,41,34,29,47,4,38,16,22,11,53,50,46,33,49,2
31,54,2,34,38,21,25,48,4,16,5,53,45,36,8,33,29,44,14,23,1,41,11,52,47,46,7,50,3,49,19,43,42,51,6,32,22,12,30,20,35,18,26,10,17,13,40,39,28,24,37,9,27,15
32,10,13,33,20,39,46,15,28,11,49,27,26,25,37,52,22,43,47,24,50,17,42,18,4,8,6,34,48,41,12,29,45,40,53,9,44,7,2,51,38,35,5,3,23,19,36,14,21,31,54,16,30,1
35,24,12,1,7,27,17,36,37,3,6,2,29,14,28,18,49,51,5,19,16,13,30,54,40,38,26,9,10,23,44,33,31,21,11,15,39,50,52,32,46,43,22,20,42,53,41,45,25,34,47,8,48,4
47,16,8,19,32,4,43,53,21,31,9,42,23,40,30,38,46,1,20,3,28,15,36,45,12,41,35,2,27,14,22,34,10,50,52,18,25,17,11,54,29,48,13,7,37,6,26,33,5,49,24,51,44,39
45,6,11,7,41,50,9,33,18,48,22,52,10,44,54,40,34,15,4,39,37,31,29,49,5,25,1,51,42,38,53,46,24,20,47,13,19,28,26,14,27,8,30,12,16,2,32,21,3,43,23,36,17,35
